Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Vitz, Matthew","
HILA 131 - Mexico/Conquest to Mod (A)
",WI21,91,"
24
","
87.5%
","
82.6%
","
4.00
","
B+ (3.52)
","
A- (3.81)
"
"Vitz, Matthew","
HILA 131 - Mexico/Conquest to Mod (A)
",FA19,75,"
30
","
100.0%
","
100.0%
","
3.35
","
B+ (3.67)
","
B+ (3.63)
"
"Vitz, Matthew","
HILA 131 - Mexico/Conquest to Mod (A)
",FA15,57,"
29
","
92.0%
","
96.0%
","
4.66
","
B+ (3.41)
","
B (3.07)
"
"Vitz, Matthew","
HILA 131 - History of Mexico:1821-1924 (A)
",FA14,61,"
22
","
94.4%
","
100.0%
","
4.83
","
B+ (3.53)
","
B (3.25)
"
"Vitz, Matthew Werner","
HILA 131 - History of Mexico:1821-1924 (A)
",FA14,60,"
22
","
94.4%
","
100.0%
","
4.83
","
B+ (3.53)
","
N/A
"
"Rios, Gerardo","
HILA 131 - History of Mexico:1821-1924 (A)
",S114,12,"
3
","
100.0%
","
100.0%
","
15.17
","
B+ (3.50)
","
N/A
"
"Van Young, Eric","
HILA 131 - History of Mexico:1821-1924 (A)
",WI14,63,"
29
","
92.9%
","
89.3%
","
4.94
","
B+ (3.30)
","
B- (2.95)
"
"Meade, Everard","
HILA 131 - History of Mexico:1821-1924 (A)
",FA12,74,"
30
","
82.8%
","
93.1%
","
5.07
","
B (3.24)
","
B (3.02)
"
"Meade, Everard                     ","
HILA 131 - History of Mexico:1821-1924    (A)
",FA10,92,"
44
","
86.0%
","
95.3%
","
7.32
","
B+ (3.39)
","
B (3.19)
"
"Meade, Everard                     ","
HILA 131 - History of Mexico:1821-1924    (A)
",WI10,78,"
32
","
78.1%
","
90.6%
","
5.75
","
B (3.24)
","
B- (2.97)
"
"Van Young, Eric","
HILA 131 - History of Mexico:1821-1924    (A)
",WI09,84,"
65
","
96.9%
","
92.2%
","
5.03
","
B+ (3.32)
","
B- (2.73)
"
"Meade, Everard                ","
HILA 131 - History of Mexico:1821-1924    (A)
",WI08,55,"
33
","
71.4%
","
83.3%
","
4.81
","
B+ (3.30)
","
B+ (3.37)
"
