Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Matsumura, Wendy Y","
HILD 12 - Twentieth-Century East Asia (A)
",SP23,184,"
80
","
92.0%
","
95.9%
","
3.21
","
A- (3.87)
","
A- (3.85)
"
"Henry, Todd A.","
HILD 12 - Twentieth-Century East Asia (A)
",SP22,158,"
59
","
81.0%
","
87.7%
","
4.43
","
B+ (3.31)
","
B (3.09)
"
"Matsumura, Wendy Y","
HILD 12 - Twentieth-Century East Asia (A)
",SP21,163,"
54
","
88.9%
","
87.0%
","
3.46
","
B+ (3.67)
","
A- (3.94)
"
"Henry, Todd A.","
HILD 12 - Twentieth-Century East Asia (A)
",SP20,157,"
61
","
94.8%
","
94.6%
","
4.36
","
B+ (3.50)
","
B+ (3.52)
"
"Matsumura, Wendy Y","
HILD 12 - Twentieth-Century East Asia (A)
",SP19,197,"
78
","
62.0%
","
55.1%
","
4.08
","
B (3.23)
","
B+ (3.31)
"
"Merrill O'Keefe, Amy Roxanne","
HILD 12 - Twentieth-Century East Asia (A)
",SP18,137,"
71
","
62.0%
","
64.8%
","
4.89
","
B+ (3.42)
","
B+ (3.31)
"
"Matsumura, Wendy Y","
HILD 12 - Twentieth-Century East Asia (A)
",SP17,173,"
75
","
70.4%
","
69.0%
","
5.12
","
B+ (3.43)
","
B (3.13)
"
"Henry, Todd A.","
HILD 12 - Twentieth-Century East Asia (A)
",SP16,116,"
50
","
85.7%
","
79.6%
","
5.70
","
B+ (3.48)
","
B (3.13)
"
"Henry, Todd A.","
HILD 12 - Twentieth-Century East Asia (A)
",SP14,102,"
77
","
84.4%
","
93.5%
","
4.66
","
B (3.04)
","
B (3.02)
"
"Henry, Todd A.                     ","
HILD 12 - Twentieth-Century East Asia    (A)
",SP10,189,"
92
","
75.6%
","
77.5%
","
5.27
","
B (3.21)
","
B- (2.91)
"
"Jung, Ji Hee                       ","
HILD 12 - Twentieth-Century East Asia    (A)
",SP09,204,"
122
","
70.9%
","
41.2%
","
3.89
","
B+ (3.35)
","
B (3.01)
"
"Sasaki, Tomoyuki                   ","
HILD 12 - Twentieth-Century East Asia    (A)
",SP09,204,"
122
","
70.9%
","
41.2%
","
3.89
","
B+ (3.35)
","
B (3.01)
"
"Johnson, Matthew D            ","
HILD 12 - Twentieth-Century East Asia    (A)
",SP08,185,"
83
","
92.5%
","
87.5%
","
4.16
","
B+ (3.50)
","
B (3.22)
"
