Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Hanna, Mark G.","
HILD 2A - United States History (A)
",FA22,181,"
75
","
93.2%
","
98.6%
","
3.99
","
B+ (3.44)
","
B+ (3.37)
"
"Hanna, Mark G.","
HILD 2A - United States History (A)
",FA21,181,"
121
","
93.2%
","
97.4%
","
3.65
","
B+ (3.56)
","
B+ (3.42)
"
"Hanna, Mark G.","
HILD 2A - United States History (A)
",FA20,179,"
108
","
93.5%
","
97.2%
","
3.82
","
B+ (3.42)
","
B+ (3.33)
"
"Wishon, Mark T","
HILD 2A - United States History (A)
",FA19,182,"
141
","
87.7%
","
90.5%
","
3.03
","
B+ (3.40)
","
B+ (3.49)
"
"Mack, Graeme","
HILD 2A - United States History (A)
",S119,25,"
23
","
91.3%
","
100.0%
","
4.23
","
B+ (3.57)
","
B+ (3.53)
"
"Wishon, Mark T","
HILD 2A - United States History (A)
",FA18,181,"
90
","
90.7%
","
96.5%
","
3.79
","
B+ (3.32)
","
B (3.25)
"
"Mack, Graeme","
HILD 2A - United States History (A)
",S118,25,"
22
","
100.0%
","
100.0%
","
4.23
","
B+ (3.50)
","
A- (3.70)
"
"Wishon, Mark T","
HILD 2A - United States History (A)
",FA17,195,"
93
","
90.1%
","
93.3%
","
4.52
","
B+ (3.53)
","
B (3.27)
"
"Wishon, Mark T","
HILD 2A - United States History (A)
",FA16,186,"
91
","
90.9%
","
97.7%
","
4.27
","
B+ (3.46)
","
B+ (3.30)
"
"Wishon, Mark T","
HILD 2A - United States History (A)
",FA15,189,"
96
","
84.9%
","
83.9%
","
3.91
","
B+ (3.42)
","
B+ (3.48)
"
"Hanna, Mark G.","
HILD 2A - United States History (A)
",S215,28,"
11
","
100.0%
","
100.0%
","
5.90
","
B+ (3.33)
","
B (3.08)
"
"Hanna, Mark G.","
HILD 2A - United States History (A)
",FA14,186,"
103
","
90.7%
","
97.7%
","
4.59
","
B+ (3.44)
","
B+ (3.48)
"
"Hanna, Mark G.","
HILD 2A - United States History (A)
",FA13,187,"
101
","
92.0%
","
97.0%
","
4.34
","
B+ (3.52)
","
B+ (3.59)
"
"Weeks, William E","
HILD 2A - United States History (A)
",FA12,154,"
72
","
77.3%
","
75.8%
","
4.94
","
B+ (3.53)
","
B+ (3.42)
"
