Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Hendrickson, Gerald M.","
HILD 2C - United States History (A)
",SP23,163,"
47
","
93.0%
","
97.7%
","
3.79
","
B+ (3.44)
","
C+ (2.67)
"
"Hartung, Felicitas","
HILD 2C - United States History (A)
",S122,26,"
7
","
85.7%
","
85.7%
","
4.21
","
A- (3.83)
","
A- (3.80)
"
"Hendrickson, Gerald M.","
HILD 2C - United States History (A)
",SP22,181,"
58
","
90.7%
","
98.1%
","
4.35
","
B+ (3.32)
","
B (3.02)
"
"Edwards, Robert Scott","
HILD 2C - United States History (A)
",S221,25,"
18
","
94.1%
","
100.0%
","
4.26
","
A- (3.81)
","
B+ (3.46)
"
"Hendrickson, Gerald M.","
HILD 2C - United States History (A)
",SP21,180,"
59
","
79.6%
","
88.7%
","
4.91
","
B+ (3.59)
","
B+ (3.41)
"
"Mylet, Jordan Lee","
HILD 2C - United States History (A)
",S220,28,"
9
","
100.0%
","
100.0%
","
8.06
","
B+ (3.50)
","
B+ (3.42)
"
"Hendrickson, Gerald M.","
HILD 2C - United States History (A)
",SP20,201,"
59
","
100.0%
","
100.0%
","
4.19
","
A- (3.76)
","
B+ (3.47)
"
"Hendrickson, Gerald M.","
HILD 2C - United States History (A)
",SP19,197,"
124
","
88.4%
","
94.1%
","
3.78
","
B+ (3.31)
","
B (3.16)
"
"Hendrickson, Gerald M.","
HILD 2C - United States History (A)
",SP18,190,"
162
","
88.3%
","
95.0%
","
3.61
","
B+ (3.38)
","
B (3.26)
"
"Hendrickson, Gerald M.","
HILD 2C - United States History (A)
",SP17,181,"
143
","
89.2%
","
92.1%
","
3.67
","
B+ (3.44)
","
B (3.15)
"
"Flach, Kathryn L","
HILD 2C - United States History (A)
",S116,14,"
12
","
83.3%
","
91.7%
","
5.59
","
B+ (3.44)
","
N/A
"
"Parrish, Michael E.","
HILD 2C - United States History (A)
",SP16,173,"
60
","
86.2%
","
89.7%
","
4.03
","
B+ (3.44)
","
B+ (3.38)
"
"Klann, Mary Cameron","
HILD 2C - United States History (A)
",S115,24,"
12
","
90.9%
","
100.0%
","
6.50
","
A- (3.75)
","
B+ (3.55)
"
"Hendrickson, Gerald M.","
HILD 2C - United States History (A)
",SP15,187,"
133
","
95.5%
","
100.0%
","
3.84
","
B+ (3.53)
","
B (3.26)
"
"Parrish, Michael E.","
HILD 2C - United States History (A)
",SP14,152,"
47
","
73.8%
","
90.5%
","
3.93
","
B (3.21)
","
B (3.20)
"
"Edwards, Cutler C","
HILD 2C - United States History (A)
",S113,11,"
4
","
100.0%
","
100.0%
","
5.00
","
A (4.00)
","
N/A
"
"Alvarez, Luis A","
HILD 2C - United States History (B)
",SP13,115,"
29
","
72.4%
","
82.8%
","
4.86
","
B+ (3.43)
","
B (3.09)
"
