Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Man, Simeon S","
HILD 7B - Race & Ethnicity/United States (A)
",WI23,372,"
166
","
99.4%
","
99.4%
","
3.42
","
A- (3.78)
","
A- (3.85)
"
"Man, Simeon S","
HILD 7B - Race & Ethnicity/United States (A)
",S222,123,"
39
","
100.0%
","
100.0%
","
4.39
","
A- (3.91)
","
B+ (3.65)
"
"Kwak, Nancy","
HILD 7B - Race & Ethnicity/United States (A)
",FA21,365,"
167
","
90.1%
","
95.7%
","
4.06
","
A- (3.77)
","
B+ (3.60)
"
"Kwak, Nancy","
HILD 7B - Race & Ethnicity/United States (A)
",S121,58,"
15
","
86.7%
","
100.0%
","
6.23
","
A- (3.75)
","
B+ (3.56)
"
"Man, Simeon S","
HILD 7B - Race & Ethnicity/United States (A)
",WI21,379,"
184
","
94.4%
","
98.3%
","
3.58
","
A- (3.83)
","
A- (3.88)
"
"Kwak, Nancy","
HILD 7B - Race & Ethnicity/United States (A)
",S120,118,"
29
","
96.6%
","
93.1%
","
5.95
","
B+ (3.45)
","
B+ (3.70)
"
"Man, Simeon S","
HILD 7B - Race & Ethnicity/United States (A)
",WI20,376,"
179
","
89.6%
","
90.7%
","
3.40
","
B+ (3.59)
","
A- (3.83)
"
"Man, Simeon S","
HILD 7B - Race & Ethnicity/United States (A)
",WI19,371,"
249
","
84.8%
","
90.9%
","
3.93
","
B+ (3.42)
","
B+ (3.42)
"
"Kwak, Nancy","
HILD 7B - Race & Ethnicity/United States (A)
",S218,56,"
20
","
90.0%
","
90.0%
","
4.40
","
A- (3.71)
","
B (3.17)
"
"Man, Simeon S","
HILD 7B - Race & Ethnicity/United States (A)
",WI18,327,"
262
","
89.6%
","
91.9%
","
4.13
","
B+ (3.49)
","
B+ (3.59)
"
"Man, Simeon S","
HILD 7B - Race & Ethnicity/United States (A)
",WI17,367,"
228
","
89.6%
","
93.7%
","
3.94
","
B+ (3.70)
","
A- (3.74)
"
"Kwak, Nancy","
HILD 7B - Race & Ethnicity/United States (A)
",S216,66,"
19
","
84.2%
","
94.7%
","
6.50
","
B+ (3.30)
","
B+ (3.34)
"
"Man, Simeon S","
HILD 7B - Race & Ethnicity/United States (A)
",WI16,293,"
163
","
91.8%
","
97.5%
","
4.20
","
B+ (3.69)
","
B+ (3.69)
"
"Kim, Gloria","
HILD 7B - Race & Ethnicity/United States (A)
",WI15,345,"
145
","
89.0%
","
89.0%
","
3.74
","
B+ (3.46)
","
B (3.25)
"
"Kim, Gloria","
HILD 7B - Race & Ethnicity/United States (A)
",WI14,382,"
193
","
86.8%
","
87.4%
","
4.05
","
B+ (3.55)
","
B+ (3.48)
"
"Fuste, Jose Ignacio","
HILD 7B - Race & Ethnicity/United States (A)
",S213,59,"
26
","
100.0%
","
100.0%
","
9.42
","
B+ (3.35)
","
B+ (3.42)
"
"Kwak, Nancy","
HILD 7B - Race & Ethnicity/United States (A)
",FA12,372,"
167
","
90.1%
","
98.8%
","
3.86
","
B+ (3.54)
","
B+ (3.50)
"
