Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Kayali, Hasan","
HINE 118 - Middle East/Twentieth Century (A)
",SP23,14,"
8
","
87.5%
","
75.0%
","
3.50
","
B (3.29)
","
N/A
"
"Kayali, Hasan","
HINE 118 - Middle East/Twentieth Century (A)
",WI22,33,"
8
","
100.0%
","
100.0%
","
5.00
","
B (3.25)
","
B- (2.80)
"
"Kayali, Hasan","
HINE 118 - Middle East/Twentieth Century (A)
",SP21,45,"
19
","
88.9%
","
94.4%
","
4.85
","
B+ (3.44)
","
B+ (3.43)
"
"Kayali, Hasan","
HINE 118 - Middle East/Twentieth Century (A)
",SP20,50,"
29
","
96.6%
","
96.4%
","
4.84
","
B+ (3.38)
","
B+ (3.66)
"
"Silverman, Reuben William","
HINE 118 - Middle East/Twentieth Century (A)
",S119,15,"
9
","
88.9%
","
100.0%
","
6.94
","
B+ (3.56)
","
N/A
"
"Wasef, Mirna Mofid","
HINE 118 - Middle East/Twentieth Century (A)
",WI19,41,"
16
","
100.0%
","
100.0%
","
3.79
","
B+ (3.69)
","
B+ (3.53)
"
"Silverman, Reuben William","
HINE 118 - Middle East/Twentieth Century (A)
",S218,16,"
4
","
75.0%
","
75.0%
","
7.00
","
B+ (3.33)
","
N/A
"
"Kayali, Hasan","
HINE 118 - Middle East/Twentieth Century (A)
",WI18,72,"
33
","
90.9%
","
93.9%
","
4.32
","
B+ (3.37)
","
B (3.18)
"
"Kayali, Hasan","
HINE 118 - Middle East/Twentieth Century (A)
",SP17,34,"
14
","
92.3%
","
84.6%
","
6.19
","
B (3.23)
","
B (3.20)
"
"Kayali, Hasan","
HINE 118 - Middle East/Twentieth Century (A)
",SP16,66,"
26
","
96.0%
","
96.0%
","
4.33
","
B+ (3.36)
","
B (3.25)
"
"Smuin, Benjamin James","
HINE 118 - Middle East/Twentieth Century (A)
",S215,15,"
4
","
100.0%
","
75.0%
","
8.00
","
A (4.00)
","
N/A
"
"Provence, Michael","
HINE 118 - Middle East/Twentieth Century (A)
",SP14,37,"
13
","
91.7%
","
91.7%
","
4.00
","
B+ (3.40)
","
B+ (3.42)
"
"Kayali, Hasan","
HINE 118 - Middle East/Twentieth Century (A)
",WI13,40,"
13
","
92.3%
","
92.3%
","
4.19
","
B+ (3.46)
","
B (3.22)
"
"Kayali, Hasan                      ","
HINE 118 - Middle East/Twentieth Century  (A)
",SP10,118,"
53
","
96.2%
","
90.6%
","
4.42
","
B+ (3.42)
","
B (3.18)
"
"Kayali, Hasan                      ","
HINE 118 - Middle East/Twentieth Century  (A)
",SP09,108,"
55
","
96.2%
","
96.3%
","
4.43
","
B+ (3.67)
","
B (3.19)
"
"Kayali, Hasan                 ","
HINE 118 - Middle East/Twentieth Century  (A)
",SP08,102,"
67
","
95.4%
","
93.8%
","
4.50
","
B+ (3.50)
","
B (3.20)
"
