Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Pineda De Avila, Nydia","
HISC 106 - The Scientific Revolution (A)
",FA22,39,"
8
","
62.5%
","
62.5%
","
3.50
","
B+ (3.67)
","
A- (3.75)
"
"Westman, Robert S","
HISC 106 - The Scientific Revolution (A)
",WI21,35,"
19
","
68.4%
","
68.4%
","
4.71
","
B+ (3.55)
","
B (3.06)
"
"Westman, Robert S","
HISC 106 - The Scientific Revolution (A)
",WI20,22,"
5
","
20.0%
","
60.0%
","
1.70
","
C+ (2.33)
","
B+ (3.62)
"
"Westman, Robert S","
HISC 106 - The Scientific Revolution (A)
",WI19,36,"
17
","
58.8%
","
70.6%
","
4.26
","
C+ (2.56)
","
B- (2.99)
"
"Westman, Robert S","
HISC 106 - The Scientific Revolution (A)
",WI18,39,"
25
","
70.8%
","
83.3%
","
3.67
","
B+ (3.44)
","
B- (2.74)
"
"Westman, Robert S","
HISC 106 - The Scientific Revolution (A)
",WI17,33,"
19
","
72.2%
","
83.3%
","
4.50
","
B (3.11)
","
B- (2.99)
"
"Westman, Robert S","
HISC 106 - The Scientific Revolution (A)
",WI16,22,"
7
","
85.7%
","
85.7%
","
4.21
","
B+ (3.60)
","
B (3.17)
"
"Westman, Robert S","
HISC 106 - The Scientific Revolution (A)
",WI15,46,"
16
","
93.8%
","
87.5%
","
4.63
","
B (3.11)
","
B- (2.96)
"
"Westman, Robert S","
HISC 106 - The Scientific Revolution (A)
",WI14,46,"
15
","
86.7%
","
86.7%
","
2.93
","
B (3.11)
","
B- (2.96)
"
"Clements, Philip W","
HISC 106 - The Scientific Revolution (A)
",S113,11,"
3
","
100.0%
","
100.0%
","
9.83
","
B+ (3.50)
","
N/A
"
"Westman, Robert S","
HISC 106 - The Scientific Revolution (A)
",FA12,32,"
9
","
77.8%
","
88.9%
","
2.94
","
B (3.20)
","
B- (2.87)
"
"Westman, Robert S                  ","
HISC 106 - The Scientific Revolution      (A)
",WI10,45,"
19
","
68.4%
","
89.5%
","
5.45
","
B (3.14)
","
B (3.12)
"
"Clark, William                     ","
HISC 106 - The Scientific Revolution      (A)
",SU09,21,"
11
","
100.0%
","
100.0%
","
2.50
","
A- (3.80)
","
N/A
"
"Westman, Robert S                  ","
HISC 106 - The Scientific Revolution      (A)
",FA08,35,"
21
","
85.7%
","
85.7%
","
3.26
","
B (3.15)
","
B (3.06)
"
"Westman, Robert S             ","
HISC 106 - The Scientific Revolution      (A)
",WI08,34,"
20
","
85.0%
","
75.0%
","
3.76
","
B+ (3.50)
","
B (3.06)
"
