Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Patterson, Patrick H.","
HITO 119 - Human Rights I: Introduction (A)
",WI23,11,"
9
","
100.0%
","
100.0%
","
8.06
","
B+ (3.56)
","
N/A
"
"Shafir, Gershon","
HITO 119 - Human Rights I: Introduction (A)
",WI22,15,"
7
","
100.0%
","
100.0%
","
7.93
","
B+ (3.43)
","
N/A
"
"Shafir, Gershon","
HITO 119 - Human Rights I: Introduction (A)
",WI21,11,"
6
","
83.3%
","
100.0%
","
5.17
","
A (4.00)
","
N/A
"
"Patterson, Patrick H.","
HITO 119 - Human Rights I: Introduction (A)
",WI20,14,"
12
","
91.7%
","
91.7%
","
7.83
","
A- (3.75)
","
N/A
"
"Shafir, Gershon","
HITO 119 - Human Rights I: Introduction (A)
",WI19,6,"
3
","
100.0%
","
100.0%
","
5.17
","
B+ (3.33)
","
N/A
"
"Patterson, Patrick H.","
HITO 119 - Human Rights I: Introduction (A)
",WI18,13,"
12
","
100.0%
","
91.7%
","
8.17
","
A- (3.91)
","
N/A
"
"Patterson, Patrick H.","
HITO 119 - Human Rights I: Introduction (A)
",WI17,12,"
10
","
100.0%
","
100.0%
","
7.90
","
A (4.00)
","
N/A
"
"Patterson, Patrick H.","
HITO 119 - Human Rights I: Introduction (A)
",WI16,15,"
11
","
100.0%
","
100.0%
","
8.14
","
A- (3.70)
","
N/A
"
"Patterson, Patrick H.","
HITO 119 - Human Rights I: Introduction (A)
",WI15,8,"
3
","
100.0%
","
100.0%
","
6.50
","
B+ (3.50)
","
N/A
"
"Patterson, Patrick H.","
HITO 119 - Human Rights I: Hist. & Theory (A)
",WI14,12,"
6
","
100.0%
","
100.0%
","
9.17
","
B+ (3.67)
","
N/A
"
"Meade, Everard","
HITO 119 - Human Rights I: Hist. & Theory (A)
",WI13,15,"
6
","
100.0%
","
100.0%
","
5.30
","
B- (2.80)
","
N/A
"
"Meade, Everard                     ","
HITO 119 - Human Rights I: Hist. & Theory (A)
",WI10,56,"
18
","
72.2%
","
72.2%
","
4.94
","
B+ (3.50)
","
B+ (3.53)
"
"Meade, Everard","
HITO 119 - Human Rights I: Hist. & Theory (A)
",WI09,40,"
20
","
85.0%
","
85.0%
","
4.40
","
B (3.21)
","
B+ (3.42)
"
