Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Martinez-Matsuda, Veronica","
HIUS 113 - History of Mexican America (A)
",WI23,25,"
6
","
100.0%
","
100.0%
","
1.50
","
B+ (3.60)
","
B (3.10)
"
"Ramirez, Jorge","
HIUS 113 - History of Mexican America (A)
",S121,22,"
5
","
100.0%
","
100.0%
","
4.50
","
A- (3.80)
","
A- (3.90)
"
"Ramirez, Jorge","
HIUS 113 - History of Mexican America (A)
",SP21,36,"
17
","
93.8%
","
100.0%
","
4.74
","
A- (3.81)
","
A- (3.94)
"
"Castaneda, Miguel Angel","
HIUS 113 - History of Mexican America (A)
",S120,21,"
6
","
100.0%
","
100.0%
","
4.50
","
B+ (3.67)
","
A- (3.98)
"
"Castaneda, Miguel Angel","
HIUS 113 - History of Mexican America (A)
",S119,20,"
4
","
100.0%
","
100.0%
","
5.00
","
B+ (3.50)
","
B+ (3.48)
"
"Fairchild, Stephanie Kate","
HIUS 113 - History of Mexican America (A)
",SP19,56,"
17
","
100.0%
","
100.0%
","
4.38
","
B+ (3.50)
","
B (3.05)
"
"Mendez, Alina Ramirez","
HIUS 113 - History of Mexican America (A)
",S217,28,"
9
","
100.0%
","
87.5%
","
5.75
","
B+ (3.60)
","
N/A
"
"Gutierrez, David G","
HIUS 113 - History of Mexican America (A)
",FA16,106,"
41
","
87.5%
","
85.0%
","
4.40
","
B (3.12)
","
B (3.07)
"
"Gutierrez, David G","
HIUS 113 - History of Mexican America (A)
",FA15,103,"
37
","
73.5%
","
70.6%
","
4.85
","
B (3.17)
","
B (3.04)
"
"Gutierrez, Laura D","
HIUS 113 - History of Mexican America (A)
",S215,32,"
12
","
90.9%
","
100.0%
","
6.68
","
B+ (3.50)
","
B+ (3.59)
"
"Gutierrez, David G","
HIUS 113 - History of Mexican America (A)
",WI15,66,"
21
","
78.9%
","
78.9%
","
4.17
","
B+ (3.67)
","
B (3.10)
"
"Gutierrez, David G","
HIUS 113 - History of Mexican America (A)
",WI14,45,"
14
","
57.1%
","
71.4%
","
3.79
","
B+ (3.33)
","
B- (2.91)
"
"Gutierrez, David G","
HIUS 113 - History of Mexican America (A)
",WI13,17,"
8
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
