Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Postero, Nancy Grey","
HMNR 101 - Human Rights II: Contemp Issue (A)
",SP22,6,"
3
","
100.0%
","
100.0%
","
3.17
","
B+ (3.67)
","
N/A
"
"Postero, Nancy Grey","
HMNR 101 - Human Rights II: Contemp Issue (A)
",SP21,9,"
5
","
100.0%
","
100.0%
","
8.10
","
A- (3.80)
","
N/A
"
"Postero, Nancy Grey","
HMNR 101 - Human Rights II: Contemp Issue (A)
",SP20,13,"
7
","
100.0%
","
100.0%
","
4.21
","
A- (3.71)
","
N/A
"
"Postero, Nancy Grey","
HMNR 101 - Human Rights II: Contemp Issue (A)
",SP19,12,"
4
","
100.0%
","
100.0%
","
7.00
","
A (4.00)
","
N/A
"
"Postero, Nancy Grey","
HMNR 101 - Human Rights II: Contemp Issue (A)
",SP17,11,"
4
","
100.0%
","
75.0%
","
3.50
","
B+ (3.50)
","
N/A
"
"Postero, Nancy Grey","
HMNR 101 - Human Rights II: Contemp Issue (A)
",SP16,18,"
11
","
81.8%
","
81.8%
","
5.70
","
B+ (3.33)
","
N/A
"
"Postero, Nancy Grey","
HMNR 101 - Human Rights II: Contemp Issue (B)
",SP15,11,"
4
","
100.0%
","
100.0%
","
5.50
","
A- (3.75)
","
N/A
"
"Postero, Nancy Grey","
HMNR 101 - Human Rights II: Contemp Issue (A)
",SP13,24,"
7
","
100.0%
","
100.0%
","
6.50
","
B+ (3.57)
","
B+ (3.41)
"
"Postero, Nancy Grey                ","
HMNR 101 - Human Rights II: Contemp Issue (A)
",SP10,54,"
28
","
92.9%
","
100.0%
","
6.93
","
N/A
","
B+ (3.58)
"
"Postero, Nancy Grey                ","
HMNR 101 - Human Rights II: Contemp Issue (A)
",SP09,113,"
62
","
98.4%
","
96.8%
","
6.15
","
N/A
","
B+ (3.43)
"
