Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"West, Geoffrey Scott","
HUM 3 - Renaissance,Reform&Early Europ (A)
",FA22,235,"
175
","
69.7%
","
92.5%
","
5.57
","
B (3.26)
","
B+ (3.43)
"
"Zavodny, Tatiana Sophia","
HUM 3 - Renaissance,Reform&Early Europ (B)
",FA22,202,"
147
","
79.2%
","
93.8%
","
5.04
","
B (3.08)
","
B (3.08)
"
"Patterson, Patrick H.","
HUM 3 - Renaissance,Reform&Early Europ (C)
",FA22,215,"
77
","
51.4%
","
81.1%
","
5.38
","
B (3.15)
","
B+ (3.45)
"
"Lyon, Antony J.","
HUM 3 - Renaissance,Reform&Early Europ (D)
",FA22,286,"
206
","
67.3%
","
91.6%
","
6.00
","
B (3.15)
","
B+ (3.33)
"
"West, Geoffrey Scott","
HUM 3 - Renaissance,Reform&Early Europ (A)
",S222,77,"
68
","
73.5%
","
92.5%
","
6.74
","
B (3.18)
","
B (3.24)
"
"Patterson, Patrick H.","
HUM 3 - Renaissance,Reform&Early Europ (A)
",S122,47,"
31
","
83.9%
","
100.0%
","
7.98
","
B+ (3.39)
","
B (3.10)
"
"Zavodny, Tatiana Sophia","
HUM 3 - Renaissance,Reform&Early Europ (B)
",S122,48,"
38
","
76.3%
","
97.4%
","
7.34
","
B (3.03)
","
C+ (2.66)
"
"Patterson, Patrick H.","
HUM 3 - Renaissance,Reform&Early Europ (A)
",FA21,204,"
130
","
67.2%
","
93.3%
","
6.37
","
B (3.03)
","
B (3.16)
"
"West, Geoffrey Scott","
HUM 3 - Renaissance,Reform&Early Europ (B)
",FA21,206,"
179
","
64.6%
","
86.4%
","
5.52
","
B (3.14)
","
B- (2.97)
"
"Zavodny, Tatiana Sophia","
HUM 3 - Renaissance,Reform&Early Europ (C)
",FA21,158,"
121
","
74.2%
","
93.3%
","
6.06
","
B (3.03)
","
C+ (2.63)
"
"Markman, Kristina","
HUM 3 - Renaissance,Reform&Early Europ (D)
",FA21,219,"
149
","
69.4%
","
95.9%
","
6.03
","
B (3.20)
","
B (3.20)
"
"Markman, Kristina","
HUM 3 - Renaissance,Reform&Early Europ (A)
",S221,41,"
28
","
75.0%
","
96.4%
","
9.14
","
B (3.04)
","
B (3.19)
"
