Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Tronzo, William","
HUM 3GS - Renaissance,Reform&Early Europ (A)
",S122,28,"
9
","
100.0%
","
100.0%
","
3.61
","
A- (3.89)
","
A (4.00)
"
"Caldwell, Michael Alan","
HUM 3GS - Renaissance,Reform&Early Europ (B)
",S122,23,"
7
","
100.0%
","
100.0%
","
5.07
","
B (3.29)
","
B (3.29)
"
"Tronzo, William","
HUM 3GS - Renaissance,Reform&Early Europ (A)
",S121,28,"
8
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
A- (3.98)
"
"Patterson, Patrick H.","
HUM 3GS - Renaissance,Reform&Early Europ (A)
",S219,21,"
3
","
100.0%
","
100.0%
","
5.50
","
B+ (3.50)
","
A- (3.96)
"
"Tronzo, William","
HUM 3GS - Renaissance,Reform&Early Europ (A)
",S119,28,"
16
","
100.0%
","
100.0%
","
3.43
","
A- (3.87)
","
A- (3.96)
"
"Patterson, Patrick H.","
HUM 3GS - Renaissance,Reform&Early Europ (A)
",S218,18,"
17
","
75.0%
","
100.0%
","
7.50
","
A- (3.80)
","
N/A
"
"Herbst, Matthew","
HUM 3GS - Renaissance,Reform&Early Europ (A)
",S118,28,"
23
","
100.0%
","
100.0%
","
8.41
","
B+ (3.68)
","
B+ (3.60)
"
"Jed, Stephanie H","
HUM 3GS - Renaissance,Reform&Early Europ (A)
",S117,27,"
11
","
100.0%
","
100.0%
","
5.90
","
A (4.00)
","
A (4.00)
"
"Jed, Stephanie H","
HUM 3GS - Renaissance,Reform&Early Europ (A)
",S116,28,"
16
","
100.0%
","
100.0%
","
8.37
","
A (4.00)
","
A- (3.95)
"
"Jed, Stephanie H","
HUM 3GS - Renaissance,Reform&Early Europ (A)
",S115,22,"
12
","
100.0%
","
100.0%
","
6.33
","
A- (3.92)
","
A- (3.99)
"
"Chodorow, Stanley A.","
HUM 3GS - Renaissance,Reform&Early Europ (A)
",S114,26,"
3
","
100.0%
","
100.0%
","
11.17
","
C+ (2.67)
","
B- (2.94)
"
"Marino, John A.","
HUM 3GS - Renaissance,Reform&Early Europ (A)
",S113,27,"
4
","
100.0%
","
100.0%
","
5.17
","
B (3.00)
","
B (3.09)
"
"Marino, John A.                    ","
HUM 3GS - Renaissance,Reform&Early Europ (A)
",S112,24,"
16
","
93.8%
","
100.0%
","
8.88
","
B (3.20)
","
B (3.18)
"
"Marino, John A.                    ","
HUM 3GS - Renaissance,Reform&Early Europ (A)
",S111,25,"
13
","
76.9%
","
100.0%
","
11.88
","
B+ (3.31)
","
B (3.19)
"
"Marino, John A.                    ","
HUM 3GS - Renaissance,Reform&Early Europ (A)
",SU10,26,"
16
","
93.8%
","
100.0%
","
9.17
","
B (3.27)
","
N/A
"
"Marino, John A.                    ","
HUM 3GS - Renaissance,Reform&Early Europ (A)
",SU09,22,"
17
","
94.1%
","
100.0%
","
9.21
","
B+ (3.31)
","
N/A
"
"Jed, Stephanie H                   ","
HUM 3GS - Renaissance,Reform&Early Europ (A)
",SU08,13,"
10
","
100.0%
","
100.0%
","
8.50
","
A (4.00)
","
N/A
"
