Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Spellman, Lisa Naomi","
ICAM 101 - Digtl Imaging:Image&Interactiv (A)
",FA13,17,"
5
","
60.0%
","
40.0%
","
2.90
","
B+ (3.40)
","
N/A
"
"Bratton, Benjamin H.","
ICAM 101 - Digtl Imaging:Image&Interactiv (A)
",SP13,25,"
14
","
78.6%
","
71.4%
","
4.79
","
A- (3.79)
","
B+ (3.43)
"
"Bratton, Benjamin H.","
ICAM 101 - Digtl Imaging:Image&Interactiv (A)
",FA12,16,"
9
","
37.5%
","
75.0%
","
4.75
","
B+ (3.50)
","
N/A
"
"Bratton, Benjamin H.               ","
ICAM 101 - Digtl Imaging:Image&Interactiv (A)
",FA10,55,"
19
","
63.2%
","
68.4%
","
6.92
","
N/A
","
B- (2.88)
"
"Spellman, Lisa Naomi               ","
ICAM 101 - Digtl Imaging:Image&Interactiv (A)
",SP10,49,"
20
","
90.0%
","
85.0%
","
7.20
","
N/A
","
B- (2.95)
"
"Bratton, Benjamin H.               ","
ICAM 101 - Digtl Imaging:Image&Interactiv (A)
",WI10,46,"
21
","
66.7%
","
66.7%
","
4.98
","
N/A
","
B+ (3.53)
"
"Spellman, Lisa Naomi               ","
ICAM 101 - Digtl Imaging:Image&Interactiv (A)
",FA09,39,"
22
","
72.7%
","
45.5%
","
4.50
","
N/A
","
B+ (3.43)
"
"Spellman, Lisa Naomi               ","
ICAM 101 - Digtl Imaging:Image&Interactiv (A)
",SP09,40,"
33
","
48.5%
","
36.4%
","
3.56
","
N/A
","
B+ (3.46)
"
"Spellman, Lisa Naomi","
ICAM 101 - Digtl Imaging:Image&Interactiv (A)
",WI09,48,"
31
","
53.3%
","
70.0%
","
3.17
","
N/A
","
B+ (3.61)
"
"Spellman, Lisa Naomi               ","
ICAM 101 - Digtl Imaging:Image&Interactiv (A)
",FA08,46,"
31
","
58.1%
","
50.0%
","
3.34
","
N/A
","
B+ (3.30)
"
"Spellman, Lisa Naomi          ","
ICAM 101 - Digtl Imaging:Image&Interactiv (A)
",SP08,43,"
11
","
50.0%
","
27.3%
","
3.41
","
N/A
","
B+ (3.63)
"
"Spellman, Lisa Naomi          ","
ICAM 101 - Digtl Imaging:Image&Interactiv (A)
",WI08,43,"
29
","
86.2%
","
79.3%
","
4.14
","
N/A
","
B+ (3.68)
"
