Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Brown, Sheldon Glenn","
ICAM 160A - Senior Projct/Computing Arts I (A)
",WI18,13,"
3
","
66.7%
","
33.3%
","
6.50
","
A (4.00)
","
N/A
"
"Yoldas, Pinar","
ICAM 160A - Senior Projct/Computing Arts I (B)
",WI18,8,"
7
","
100.0%
","
100.0%
","
7.50
","
B+ (3.50)
","
N/A
"
"Dubnov, Shlomo","
ICAM 160A - Senior Projct/Computing Arts I (C)
",WI18,10,"
5
","
100.0%
","
100.0%
","
4.10
","
A (4.00)
","
N/A
"
"Yadegari, Shahrokh D","
ICAM 160A - Senior Projct/Computing Arts I (D)
",WI18,12,"
6
","
100.0%
","
100.0%
","
14.50
","
A (4.00)
","
N/A
"
"Alexander, Amy J","
ICAM 160A - Senior Projct/Computing Arts I (A)
",FA17,7,"
5
","
100.0%
","
100.0%
","
10.90
","
A- (3.75)
","
N/A
"
"Alexander, Amy J","
ICAM 160A - Senior Projct/Computing Arts I (A)
",WI17,20,"
17
","
100.0%
","
100.0%
","
5.88
","
B+ (3.47)
","
B+ (3.37)
"
"Dubnov, Shlomo","
ICAM 160A - Senior Projct/Computing Arts I (B)
",WI17,29,"
13
","
81.8%
","
100.0%
","
6.14
","
A- (3.82)
","
A- (3.71)
"
"Crandall, Jordan","
ICAM 160A - Senior Projct/Computing Arts I (A)
",FA16,10,"
6
","
100.0%
","
100.0%
","
8.50
","
A (4.00)
","
N/A
"
"Alexander, Amy J","
ICAM 160A - Senior Projct/Computing Arts I (A)
",WI16,16,"
8
","
100.0%
","
100.0%
","
5.25
","
A- (3.75)
","
N/A
"
"Steiger, Rand","
ICAM 160A - Senior Projct/Computing Arts I (B)
",WI16,19,"
3
","
100.0%
","
100.0%
","
5.17
","
A (4.00)
","
N/A
"
"Brown, Sheldon Glenn","
ICAM 160A - Senior Projct/Computing Arts I (C)
",WI16,15,"
7
","
100.0%
","
100.0%
","
7.93
","
B+ (3.57)
","
N/A
"
"Otto, Peter G","
ICAM 160A - Senior Projct/Computing Arts I (A)
",WI15,12,"
3
","
100.0%
","
100.0%
","
10.50
","
A (4.00)
","
N/A
"
"Alexander, Amy J","
ICAM 160A - Senior Projct/Computing Arts I (A)
",WI14,13,"
3
","
66.7%
","
100.0%
","
5.17
","
B+ (3.67)
","
N/A
"
"Otto, Peter G","
ICAM 160A - Senior Projct/Computing Arts I (B)
",WI14,16,"
9
","
87.5%
","
75.0%
","
7.75
","
A- (3.75)
","
N/A
"
"Mehrmand, Elizabeth","
ICAM 160A - Senior Projct/Computing Arts I (C)
",WI14,8,"
4
","
100.0%
","
100.0%
","
6.50
","
B+ (3.50)
","
N/A
"
"Dubnov, Shlomo","
ICAM 160A - Senior Projct/Computing Arts I (A)
",FA13,8,"
4
","
100.0%
","
75.0%
","
8.00
","
A- (3.75)
","
N/A
"
"Brown, Sheldon Glenn","
ICAM 160A - Senior Projct/Computing Arts I (A)
",WI13,17,"
6
","
100.0%
","
100.0%
","
7.17
","
B+ (3.50)
","
N/A
"
"Otto, Peter G","
ICAM 160A - Senior Projct/Computing Arts I (B)
",WI13,10,"
4
","
100.0%
","
100.0%
","
6.00
","
A (4.00)
","
N/A
"
"Steiger, Rand","
ICAM 160A - Senior Projct/Computing Arts I (C)
",WI13,9,"
4
","
100.0%
","
100.0%
","
5.50
","
A (4.00)
","
N/A
"
