Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Yoldas, Pinar","
ICAM 160B - Senior Prjct/Computing Arts II (A)
",SP18,12,"
11
","
100.0%
","
90.9%
","
10.86
","
B+ (3.64)
","
N/A
"
"Brown, Sheldon Glenn","
ICAM 160B - Senior Prjct/Computing Arts II (B)
",SP18,9,"
4
","
100.0%
","
100.0%
","
7.50
","
A- (3.75)
","
N/A
"
"Erbe, Tom","
ICAM 160B - Senior Prjct/Computing Arts II (C)
",SP18,9,"
4
","
100.0%
","
100.0%
","
7.00
","
A- (3.75)
","
N/A
"
"Yadegari, Shahrokh D","
ICAM 160B - Senior Prjct/Computing Arts II (D)
",SP18,12,"
5
","
100.0%
","
100.0%
","
17.50
","
A (4.00)
","
N/A
"
"Alexander, Amy J","
ICAM 160B - Senior Prjct/Computing Arts II (A)
",SP17,13,"
4
","
75.0%
","
100.0%
","
4.00
","
A- (3.75)
","
N/A
"
"Dubnov, Shlomo","
ICAM 160B - Senior Prjct/Computing Arts II (B)
",SP17,27,"
9
","
100.0%
","
100.0%
","
5.93
","
A- (3.83)
","
B+ (3.60)
"
"Alexander, Amy J","
ICAM 160B - Senior Prjct/Computing Arts II (A)
",SP16,16,"
8
","
100.0%
","
87.5%
","
10.00
","
B+ (3.50)
","
N/A
"
"Steiger, Rand","
ICAM 160B - Senior Prjct/Computing Arts II (B)
",SP16,16,"
5
","
100.0%
","
100.0%
","
11.30
","
A (4.00)
","
N/A
"
"Brown, Sheldon Glenn","
ICAM 160B - Senior Prjct/Computing Arts II (C)
",SP16,16,"
10
","
100.0%
","
100.0%
","
7.90
","
A- (3.80)
","
N/A
"
"Alexander, Amy J","
ICAM 160B - Senior Prjct/Computing Arts II (A)
",SP15,4,"
3
","
100.0%
","
100.0%
","
17.83
","
A (4.00)
","
N/A
"
"Otto, Peter G","
ICAM 160B - Senior Prjct/Computing Arts II (A)
",SP14,15,"
5
","
80.0%
","
80.0%
","
10.10
","
B+ (3.60)
","
N/A
"
"Alexander, Amy J","
ICAM 160B - Senior Prjct/Computing Arts II (B)
",SP14,15,"
7
","
85.7%
","
71.4%
","
9.07
","
B+ (3.57)
","
N/A
"
"Brown, Sheldon Glenn","
ICAM 160B - Senior Prjct/Computing Arts II (C)
",SP14,8,"
3
","
100.0%
","
100.0%
","
14.50
","
A (4.00)
","
N/A
"
"Brown, Sheldon Glenn","
ICAM 160B - Senior Prjct/Computing Arts II (A)
",SP13,15,"
6
","
100.0%
","
83.3%
","
7.83
","
B+ (3.67)
","
N/A
"
"Steiger, Rand","
ICAM 160B - Senior Prjct/Computing Arts II (C)
",SP13,9,"
4
","
100.0%
","
100.0%
","
9.00
","
A- (3.75)
","
N/A
"
