Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Fisk, David Lee","
INTL 102 - Econ, Politics & Intn'l Change (A)
",SP23,173,"
92
","
90.6%
","
100.0%
","
4.90
","
B+ (3.64)
","
B+ (3.33)
"
"Nellis, Gareth Hb","
INTL 102 - Econ, Politics & Intn'l Change (A)
",WI23,143,"
63
","
77.0%
","
78.7%
","
5.02
","
B+ (3.41)
","
B (3.12)
"
"Walter, Barbara Florence","
INTL 102 - Econ, Politics & Intn'l Change (A)
",FA22,174,"
51
","
78.0%
","
78.0%
","
5.98
","
B (3.12)
","
B- (2.79)
"
"Fisk, David Lee","
INTL 102 - Econ, Politics & Intn'l Change (A)
",SP22,207,"
81
","
97.2%
","
97.2%
","
5.29
","
B+ (3.56)
","
B+ (3.48)
"
"Broz, James Lawrence","
INTL 102 - Econ, Politics & Intn'l Change (A)
",WI22,188,"
67
","
82.8%
","
81.0%
","
5.82
","
B+ (3.42)
","
B (3.19)
"
"Walter, Barbara Florence","
INTL 102 - Econ, Politics & Intn'l Change (A)
",FA21,175,"
56
","
83.3%
","
90.6%
","
6.76
","
B (3.06)
","
B- (2.88)
"
"Lee, James","
INTL 102 - Econ, Politics & Intn'l Change (A)
",SP21,214,"
80
","
87.2%
","
92.3%
","
5.65
","
B+ (3.69)
","
B+ (3.33)
"
"Broz, James Lawrence","
INTL 102 - Econ, Politics & Intn'l Change (A)
",WI21,221,"
78
","
74.3%
","
71.6%
","
6.23
","
B (3.27)
","
B (3.09)
"
"Walter, Barbara Florence","
INTL 102 - Econ, Politics & Intn'l Change (A)
",FA20,245,"
103
","
85.0%
","
87.8%
","
6.58
","
B (3.29)
","
B (3.11)
"
"Rothman, Jay Manuel","
INTL 102 - Econ, Politics & Intn'l Change (A)
",SP20,220,"
154
","
88.2%
","
92.1%
","
5.37
","
B+ (3.68)
","
A- (3.81)
"
"Broz, James Lawrence","
INTL 102 - Econ, Politics & Intn'l Change (A)
",WI20,229,"
97
","
87.2%
","
96.8%
","
5.27
","
B (3.16)
","
B (3.02)
"
"Haggard, Stephan M.","
INTL 102 - Econ, Politics & Intn'l Change (A)
",FA19,253,"
115
","
92.2%
","
96.9%
","
5.40
","
B+ (3.37)
","
B (3.23)
"
"Haggard, Stephan M.","
INTL 102 - Econ, Politics & Intn'l Change (A)
",SP19,272,"
99
","
88.5%
","
95.8%
","
5.30
","
B+ (3.33)
","
B (3.26)
"
"Broz, James Lawrence","
INTL 102 - Econ, Politics & Intn'l Change (A)
",WI19,254,"
131
","
84.8%
","
82.4%
","
5.70
","
B (3.18)
","
B (3.13)
"
"Walter, Barbara Florence","
INTL 102 - Econ, Politics & Intn'l Change (A)
",FA18,246,"
125
","
95.0%
","
94.9%
","
6.92
","
B (3.25)
","
B (3.00)
"
"Haggard, Stephan M.","
INTL 102 - Econ, Politics & Intn'l Change (A)
",WI18,233,"
214
","
88.7%
","
95.8%
","
5.99
","
B+ (3.35)
","
B (3.14)
"
