Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Nadkarni, Vidya","
INTL 190 - Seminar/International Studies (A)
",SP23,15,"
5
","
80.0%
","
80.0%
","
6.90
","
B (3.20)
","
N/A
"
"McIntosh, Justin Daniel","
INTL 190 - Seminar/International Studies (B)
",SP23,19,"
6
","
100.0%
","
100.0%
","
4.17
","
B+ (3.67)
","
N/A
"
"Segui, Alan S","
INTL 190 - Seminar/International Studies (C)
",SP23,19,"
3
","
100.0%
","
100.0%
","
6.50
","
B+ (3.67)
","
N/A
"
"Segui, Alan S","
INTL 190 - Seminar/International Studies (D)
",SP23,20,"
6
","
100.0%
","
100.0%
","
7.30
","
B+ (3.40)
","
B+ (3.38)
"
"Auerbach, Bradford C","
INTL 190 - Seminar/International Studies (E)
",SP23,20,"
18
","
100.0%
","
100.0%
","
6.72
","
B+ (3.61)
","
B (3.16)
"
"Auerbach, Bradford C","
INTL 190 - Seminar/International Studies (F)
",SP23,20,"
16
","
100.0%
","
100.0%
","
5.63
","
B+ (3.56)
","
C+ (2.62)
"
"Appel, Benjamin Jay","
INTL 190 - Seminar/International Studies (G)
",SP23,21,"
7
","
100.0%
","
100.0%
","
5.36
","
A- (3.71)
","
B+ (3.37)
"
"Appel, Benjamin Jay","
INTL 190 - Seminar/International Studies (H)
",SP23,19,"
4
","
100.0%
","
100.0%
","
2.50
","
B+ (3.50)
","
N/A
"
"Scott, Jeffrey F","
INTL 190 - Seminar/International Studies (I)
",SP23,17,"
6
","
100.0%
","
100.0%
","
7.30
","
B+ (3.40)
","
N/A
"
"Lettieri, Michael Joseph","
INTL 190 - Seminar/International Studies (K)
",SP23,19,"
8
","
100.0%
","
100.0%
","
5.75
","
B+ (3.63)
","
N/A
"
"Day, Joel Keith","
INTL 190 - Seminar/International Studies (A)
",WI23,20,"
7
","
100.0%
","
100.0%
","
5.07
","
B (3.29)
","
B+ (3.44)
"
"Fisk, David Lee","
INTL 190 - Seminar/International Studies (C)
",WI23,18,"
7
","
100.0%
","
100.0%
","
7.50
","
A (4.00)
","
N/A
"
"Fisk, David Lee","
INTL 190 - Seminar/International Studies (D)
",WI23,20,"
5
","
100.0%
","
100.0%
","
5.70
","
A- (3.80)
","
B- (2.83)
"
"Vos, Stacie Nicole","
INTL 190 - Seminar/International Studies (E)
",WI23,18,"
14
","
78.6%
","
64.3%
","
5.79
","
B+ (3.46)
","
N/A
"
"Patterson, Patrick H.","
INTL 190 - Seminar/International Studies (F)
",WI23,12,"
10
","
90.0%
","
80.0%
","
8.50
","
B+ (3.40)
","
N/A
"
"Herberg, Mikkal E.","
INTL 190 - Seminar/International Studies (G)
",WI23,19,"
3
","
100.0%
","
100.0%
","
5.83
","
B+ (3.67)
","
N/A
"
"Fortier, Jana","
INTL 190 - Seminar/International Studies (H)
",WI23,20,"
9
","
62.5%
","
75.0%
","
4.75
","
B (3.25)
","
B+ (3.54)
"
"Ravanilla, Nico","
INTL 190 - Seminar/International Studies (I)
",WI23,20,"
3
","
100.0%
","
100.0%
","
11.83
","
B+ (3.33)
","
A- (3.70)
"
"Auerbach, Bradford C","
INTL 190 - Seminar/International Studies (A)
",FA22,19,"
15
","
93.3%
","
93.3%
","
6.23
","
B+ (3.40)
","
N/A
"
"Auerbach, Bradford C","
INTL 190 - Seminar/International Studies (B)
",FA22,17,"
12
","
100.0%
","
100.0%
","
4.67
","
B+ (3.67)
","
N/A
"
"Fortier, Jana","
INTL 190 - Seminar/International Studies (C)
",FA22,19,"
7
","
85.7%
","
85.7%
","
9.07
","
A- (3.86)
","
N/A
"
"Kshatriya, Krista C","
INTL 190 - Seminar/International Studies (D)
",FA22,17,"
5
","
100.0%
","
100.0%
","
9.00
","
A (4.00)
","
N/A
"
"Nadkarni, Vidya","
INTL 190 - Seminar/International Studies (E)
",FA22,19,"
7
","
85.7%
","
85.7%
","
6.50
","
B+ (3.57)
","
N/A
"
"Scott, Jeffrey F","
INTL 190 - Seminar/International Studies (F)
",FA22,19,"
7
","
85.7%
","
100.0%
","
7.36
","
B+ (3.43)
","
N/A
"
"Segui, Alan S","
INTL 190 - Seminar/International Studies (G)
",FA22,17,"
6
","
100.0%
","
100.0%
","
6.50
","
B+ (3.33)
","
N/A
"
"Segui, Alan S","
INTL 190 - Seminar/International Studies (H)
",FA22,16,"
4
","
100.0%
","
100.0%
","
4.00
","
A- (3.75)
","
N/A
"
"Gagnon, Jeffrey C","
INTL 190 - Seminar/International Studies (A)
",S222,13,"
12
","
100.0%
","
100.0%
","
7.50
","
B (3.25)
","
N/A
"
"Gagnon, Jeffrey C","
INTL 190 - Seminar/International Studies (A)
",S122,12,"
9
","
100.0%
","
100.0%
","
7.50
","
A- (3.75)
","
N/A
"
"Segui, Alan S","
INTL 190 - Seminar/International Studies (B)
",S122,15,"
3
","
100.0%
","
100.0%
","
11.17
","
B+ (3.67)
","
N/A
"
"Appel, Benjamin Jay","
INTL 190 - Seminar/International Studies (A)
",SP22,20,"
5
","
80.0%
","
100.0%
","
5.30
","
B (3.20)
","
B (3.22)
"
"Appel, Benjamin Jay","
INTL 190 - Seminar/International Studies (B)
",SP22,19,"
3
","
100.0%
","
100.0%
","
5.50
","
A (4.00)
","
N/A
"
"Auerbach, Bradford C","
INTL 190 - Seminar/International Studies (C)
",SP22,20,"
19
","
89.5%
","
94.7%
","
5.72
","
B (3.22)
","
B (3.24)
"
"Auerbach, Bradford C","
INTL 190 - Seminar/International Studies (D)
",SP22,20,"
17
","
100.0%
","
94.1%
","
5.09
","
B+ (3.53)
","
B (3.08)
"
"Lettieri, Michael Joseph","
INTL 190 - Seminar/International Studies (E)
",SP22,20,"
8
","
71.4%
","
71.4%
","
6.21
","
B- (2.71)
","
B- (2.98)
"
"Nadkarni, Vidya","
INTL 190 - Seminar/International Studies (F)
",SP22,18,"
8
","
100.0%
","
100.0%
","
7.36
","
A- (3.71)
","
N/A
"
"Samphantharak, Krislert","
INTL 190 - Seminar/International Studies (H)
",SP22,19,"
7
","
100.0%
","
100.0%
","
3.93
","
B+ (3.57)
","
N/A
"
"Segui, Alan S","
INTL 190 - Seminar/International Studies (I)
",SP22,19,"
5
","
100.0%
","
100.0%
","
7.70
","
A- (3.80)
","
N/A
"
"Segui, Alan S","
INTL 190 - Seminar/International Studies (J)
",SP22,20,"
10
","
90.0%
","
70.0%
","
5.10
","
A- (3.70)
","
B (3.16)
"
"Vos, Stacie Nicole","
INTL 190 - Seminar/International Studies (K)
",SP22,20,"
4
","
100.0%
","
100.0%
","
7.00
","
B (3.25)
","
B (3.05)
"
"Gray, Taylor Erin","
INTL 190 - Seminar/International Studies (L)
",SP22,20,"
10
","
77.8%
","
100.0%
","
10.72
","
B (3.11)
","
B- (2.71)
"
"Lee, Munseob","
INTL 190 - Seminar/International Studies (A)
",WI22,19,"
5
","
100.0%
","
100.0%
","
7.70
","
B (3.20)
","
N/A
"
"Carreri, Maria","
INTL 190 - Seminar/International Studies (B)
",WI22,16,"
16
","
81.3%
","
81.3%
","
6.63
","
B+ (3.69)
","
N/A
"
"Fortier, Jana","
INTL 190 - Seminar/International Studies (D)
",WI22,19,"
3
","
33.3%
","
50.0%
","
5.83
","
B+ (3.33)
","
N/A
"
"Herberg, Mikkal E.","
INTL 190 - Seminar/International Studies (E)
",WI22,20,"
4
","
100.0%
","
100.0%
","
7.50
","
B+ (3.50)
","
B (3.25)
"
"Lettieri, Michael Joseph","
INTL 190 - Seminar/International Studies (F)
",WI22,20,"
3
","
100.0%
","
100.0%
","
9.83
","
B (3.00)
","
B (3.05)
"
"Steelman, Katherine Wallis","
INTL 190 - Seminar/International Studies (H)
",WI22,19,"
4
","
75.0%
","
75.0%
","
5.00
","
A (4.00)
","
N/A
"
"Feeley, Maureen Catherine","
INTL 190 - Seminar/International Studies (I)
",WI22,20,"
6
","
100.0%
","
100.0%
","
8.83
","
A (4.00)
","
B+ (3.55)
"
"Auerbach, Bradford C","
INTL 190 - Seminar/International Studies (0)
",FA21,19,"
18
","
94.4%
","
94.1%
","
4.94
","
B+ (3.67)
","
N/A
"
"Fisk, David Lee","
INTL 190 - Seminar/International Studies (0)
",FA21,16,"
5
","
100.0%
","
100.0%
","
8.10
","
B+ (3.60)
","
N/A
"
"Fortier, Jana","
INTL 190 - Seminar/International Studies (0)
",FA21,15,"
7
","
85.7%
","
85.7%
","
5.64
","
B+ (3.43)
","
N/A
"
"Kshatriya, Krista C","
INTL 190 - Seminar/International Studies (0)
",FA21,15,"
4
","
100.0%
","
100.0%
","
7.50
","
A (4.00)
","
N/A
"
"McIntosh, Justin Daniel","
INTL 190 - Seminar/International Studies (0)
",FA21,19,"
6
","
100.0%
","
100.0%
","
5.83
","
A- (3.83)
","
N/A
"
"Nadkarni, Vidya","
INTL 190 - Seminar/International Studies (0)
",FA21,15,"
7
","
71.4%
","
85.7%
","
7.36
","
A (4.00)
","
N/A
"
"Ravanilla, Nico","
INTL 190 - Seminar/International Studies (0)
",FA21,16,"
7
","
100.0%
","
100.0%
","
7.36
","
B+ (3.43)
","
N/A
"
"Scott, Jeffrey F","
INTL 190 - Seminar/International Studies (0)
",FA21,21,"
9
","
44.4%
","
55.6%
","
7.39
","
B (3.13)
","
B (3.15)
"
"Segui, Alan S","
INTL 190 - Seminar/International Studies (0)
",FA21,20,"
9
","
88.9%
","
100.0%
","
6.06
","
A- (3.78)
","
B+ (3.46)
"
"Gagnon, Jeffrey C","
INTL 190 - Seminar/International Studies (B)
",S221,14,"
11
","
100.0%
","
100.0%
","
7.23
","
B (3.18)
","
N/A
"
"Fisk, David Lee","
INTL 190 - Seminar/International Studies (A)
",SP21,20,"
6
","
100.0%
","
100.0%
","
8.50
","
B+ (3.50)
","
B+ (3.39)
"
"Shelby, Karen Lee","
INTL 190 - Seminar/International Studies (B)
",SP21,19,"
6
","
100.0%
","
100.0%
","
5.70
","
B+ (3.60)
","
N/A
"
"Day, Joel Keith","
INTL 190 - Seminar/International Studies (C)
",SP21,19,"
10
","
100.0%
","
100.0%
","
8.30
","
B+ (3.30)
","
N/A
"
"Yin, Yidan","
INTL 190 - Seminar/International Studies (D)
",SP21,20,"
17
","
100.0%
","
100.0%
","
5.56
","
A- (3.82)
","
B+ (3.61)
"
"McIntosh, Justin Daniel","
INTL 190 - Seminar/International Studies (E)
",SP21,20,"
6
","
100.0%
","
100.0%
","
6.17
","
B+ (3.50)
","
B+ (3.43)
"
"Fortier, Jana","
INTL 190 - Seminar/International Studies (F)
",SP21,20,"
5
","
100.0%
","
100.0%
","
12.50
","
B+ (3.50)
","
B+ (3.49)
"
"Auerbach, Bradford C","
INTL 190 - Seminar/International Studies (G)
",SP21,20,"
10
","
100.0%
","
100.0%
","
4.90
","
B (3.10)
","
B- (2.84)
"
"Auerbach, Bradford C","
INTL 190 - Seminar/International Studies (H)
",SP21,20,"
9
","
100.0%
","
88.9%
","
4.06
","
B+ (3.56)
","
B (3.19)
"
"Segui, Alan S","
INTL 190 - Seminar/International Studies (I)
",SP21,20,"
10
","
100.0%
","
90.0%
","
8.90
","
B+ (3.40)
","
B+ (3.33)
"
"Kshatriya, Krista C","
INTL 190 - Seminar/International Studies (J)
",SP21,20,"
5
","
100.0%
","
100.0%
","
6.10
","
A- (3.80)
","
B+ (3.30)
"
"Nadkarni, Vidya","
INTL 190 - Seminar/International Studies (K)
",SP21,18,"
6
","
66.7%
","
66.7%
","
6.83
","
B- (2.83)
","
N/A
"
"Campos, Amie","
INTL 190 - Seminar/International Studies (L)
",SP21,19,"
5
","
80.0%
","
80.0%
","
4.10
","
A- (3.80)
","
N/A
"
"Lettieri, Michael Joseph","
INTL 190 - Seminar/International Studies (A)
",WI21,20,"
4
","
25.0%
","
50.0%
","
9.00
","
C+ (2.67)
","
B- (2.80)
"
"Fisk, David Lee","
INTL 190 - Seminar/International Studies (B)
",WI21,20,"
6
","
100.0%
","
100.0%
","
9.83
","
B+ (3.67)
","
B+ (3.61)
"
"Segui, Alan S","
INTL 190 - Seminar/International Studies (C)
",WI21,20,"
3
","
100.0%
","
100.0%
","
5.50
","
A (4.00)
","
B+ (3.56)
"
"Carreri, Maria","
INTL 190 - Seminar/International Studies (D)
",WI21,20,"
19
","
100.0%
","
100.0%
","
7.13
","
B+ (3.58)
","
B+ (3.66)
"
"Khanna, Gaurav","
INTL 190 - Seminar/International Studies (E)
",WI21,19,"
10
","
100.0%
","
100.0%
","
5.30
","
A- (3.90)
","
N/A
"
"Patterson, Patrick H.","
INTL 190 - Seminar/International Studies (F)
",WI21,16,"
15
","
100.0%
","
100.0%
","
7.70
","
B+ (3.53)
","
N/A
"
"Fortier, Jana","
INTL 190 - Seminar/International Studies (G)
",WI21,19,"
9
","
100.0%
","
88.9%
","
7.39
","
B+ (3.56)
","
N/A
"
"Herberg, Mikkal E.","
INTL 190 - Seminar/International Studies (H)
",WI21,18,"
7
","
83.3%
","
83.3%
","
4.17
","
B+ (3.67)
","
N/A
"
"Ravanilla, Nico","
INTL 190 - Seminar/International Studies (A)
",FA20,21,"
11
","
90.9%
","
90.9%
","
6.32
","
B+ (3.64)
","
A- (3.80)
"
"Nadkarni, Vidya","
INTL 190 - Seminar/International Studies (B)
",FA20,19,"
4
","
75.0%
","
100.0%
","
7.00
","
B+ (3.50)
","
N/A
"
"Auerbach, Bradford C","
INTL 190 - Seminar/International Studies (C)
",FA20,20,"
19
","
89.5%
","
94.7%
","
4.92
","
B+ (3.47)
","
B+ (3.47)
"
"Lettieri, Michael Joseph","
INTL 190 - Seminar/International Studies (D)
",FA20,19,"
7
","
71.4%
","
85.7%
","
5.36
","
B- (2.86)
","
N/A
"
"Kshatriya, Krista C","
INTL 190 - Seminar/International Studies (E)
",FA20,20,"
11
","
100.0%
","
100.0%
","
6.32
","
B+ (3.36)
","
B (3.10)
"
