Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Simpson, Junko Tokuda","
JAPN 130C - Third Year Japanese III (A)
",SP23,15,"
5
","
80.0%
","
100.0%
","
8.10
","
B+ (3.60)
","
N/A
"
"Ross, Kayoko F","
JAPN 130C - Third Year Japanese III (B)
",SP23,15,"
4
","
100.0%
","
75.0%
","
4.50
","
A- (3.75)
","
N/A
"
"Simpson, Junko Tokuda","
JAPN 130C - Third Year Japanese III (A)
",SP22,11,"
7
","
100.0%
","
100.0%
","
5.64
","
A (4.00)
","
N/A
"
"Inada, Minori","
JAPN 130C - Third Year Japanese III (B)
",SP22,21,"
7
","
100.0%
","
100.0%
","
4.79
","
A (4.00)
","
A- (3.84)
"
"Inada, Minori","
JAPN 130C - Third Year Japanese III (A)
",SP21,25,"
12
","
100.0%
","
100.0%
","
4.67
","
A- (3.83)
","
B+ (3.65)
"
"Simpson, Junko Tokuda","
JAPN 130C - Third Year Japanese III (B)
",SP21,13,"
6
","
100.0%
","
83.3%
","
7.17
","
B+ (3.40)
","
N/A
"
"Inada, Minori","
JAPN 130C - Third Year Japanese III (B)
",SP20,21,"
6
","
100.0%
","
100.0%
","
3.50
","
B+ (3.67)
","
B+ (3.62)
"
"Sato, Kyoko","
JAPN 130C - Third Year Japanese III (A)
",SP19,16,"
9
","
100.0%
","
100.0%
","
5.39
","
B+ (3.67)
","
N/A
"
"Sato, Kyoko","
JAPN 130C - Third Year Japanese III (B)
",SP19,14,"
7
","
100.0%
","
100.0%
","
4.50
","
A- (3.83)
","
N/A
"
"Sato, Kyoko","
JAPN 130C - Third Year Japanese III (A)
",SP18,8,"
8
","
100.0%
","
100.0%
","
5.50
","
A- (3.88)
","
N/A
"
"Sato, Kyoko","
JAPN 130C - Third Year Japanese III (B)
",SP18,15,"
15
","
93.3%
","
100.0%
","
5.17
","
A- (3.79)
","
N/A
"
"Sato, Kyoko","
JAPN 130C - Third Year Japanese III (B)
",SP17,9,"
5
","
80.0%
","
80.0%
","
2.50
","
B+ (3.60)
","
N/A
"
"Sato, Kyoko","
JAPN 130C - Third Year Japanese III (B)
",SP16,9,"
3
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
"Sato, Kyoko","
JAPN 130C - Third Year Japanese III (A)
",SP15,9,"
3
","
100.0%
","
100.0%
","
5.17
","
B+ (3.67)
","
N/A
"
"Sato, Kyoko","
JAPN 130C - Third Year Japanese III (B)
",SP15,9,"
3
","
100.0%
","
100.0%
","
4.50
","
B+ (3.33)
","
N/A
"
"Sato, Kyoko","
JAPN 130C - Third Year Japanese III (A)
",SP14,7,"
5
","
100.0%
","
100.0%
","
6.10
","
A (4.00)
","
N/A
"
"Sato, Kyoko","
JAPN 130C - Third Year Japanese III (B)
",SP14,11,"
5
","
100.0%
","
100.0%
","
6.90
","
B+ (3.40)
","
N/A
"
"Sato, Kyoko","
JAPN 130C - Third Year Japanese III (B)
",SP13,8,"
4
","
100.0%
","
100.0%
","
5.00
","
A (4.00)
","
N/A
"
