Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Inada, Minori","
JAPN 135A - Japanese/Professional Purposes (A)
",FA22,18,"
7
","
85.7%
","
100.0%
","
3.64
","
A- (3.86)
","
N/A
"
"Takeda, Izumi","
JAPN 135A - Japanese/Professional Purposes (B)
",FA22,16,"
8
","
100.0%
","
100.0%
","
2.50
","
A- (3.88)
","
N/A
"
"Takeda, Izumi","
JAPN 135A - Japanese/Professional Purposes (A)
",FA21,29,"
19
","
100.0%
","
94.7%
","
4.39
","
A- (3.89)
","
A- (3.80)
"
"Takeda, Izumi","
JAPN 135A - Japanese/Professional Purposes (A)
",FA20,25,"
14
","
85.7%
","
100.0%
","
3.64
","
A- (3.86)
","
A- (3.79)
"
"Takeda, Izumi","
JAPN 135A - Japanese/Professional Purposes (A)
",FA19,19,"
7
","
100.0%
","
100.0%
","
3.64
","
A- (3.86)
","
N/A
"
"Takeda, Izumi","
JAPN 135A - Japanese/Professional Purposes (A)
",FA18,18,"
19
","
89.5%
","
100.0%
","
4.82
","
A- (3.72)
","
N/A
"
"Simpson, Junko Tokuda","
JAPN 135A - Japanese/Professional Purposes (A)
",FA17,9,"
5
","
40.0%
","
100.0%
","
10.10
","
B (3.00)
","
N/A
"
"Takeda, Izumi","
JAPN 135A - Japanese/Professional Purposes (A)
",FA16,17,"
6
","
100.0%
","
100.0%
","
5.50
","
B+ (3.67)
","
N/A
"
"Takeda, Izumi","
JAPN 135A - Japanese/Professional Purposes (A)
",FA15,11,"
11
","
81.8%
","
90.9%
","
5.23
","
B+ (3.50)
","
N/A
"
"Takeda, Izumi","
JAPN 135A - Japanese/Professional Purposes (A)
",FA13,13,"
11
","
90.9%
","
81.8%
","
5.90
","
B+ (3.55)
","
N/A
"
