Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Sato, Kyoko","
JAPN 140B - Fourth Year Japanese II (A)
",WI23,10,"
5
","
75.0%
","
75.0%
","
6.00
","
A (4.00)
","
N/A
"
"Sato, Kyoko","
JAPN 140B - Fourth Year Japanese II (A)
",WI22,15,"
12
","
90.9%
","
100.0%
","
7.17
","
B+ (3.64)
","
N/A
"
"Sato, Kyoko","
JAPN 140B - Fourth Year Japanese II (A)
",WI21,12,"
3
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
N/A
"
"Sato, Kyoko","
JAPN 140B - Fourth Year Japanese II (A)
",WI20,18,"
10
","
100.0%
","
100.0%
","
5.70
","
A- (3.70)
","
N/A
"
"McKee, Mayumi Mochizuki","
JAPN 140B - Fourth Year Japanese II (A)
",WI19,10,"
8
","
100.0%
","
100.0%
","
3.75
","
A- (3.75)
","
N/A
"
"McKee, Mayumi Mochizuki","
JAPN 140B - Fourth Year Japanese II (A)
",WI18,5,"
3
","
100.0%
","
100.0%
","
4.50
","
B+ (3.67)
","
N/A
"
"McKee, Mayumi Mochizuki","
JAPN 140B - Fourth Year Japanese II (A)
",WI16,10,"
3
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"McKee, Mayumi Mochizuki","
JAPN 140B - Fourth Year Japanese II (A)
",WI15,14,"
5
","
100.0%
","
100.0%
","
4.50
","
A- (3.80)
","
N/A
"
"McKee, Mayumi Mochizuki","
JAPN 140B - Fourth Year Japanese II (A)
",WI14,12,"
6
","
83.3%
","
83.3%
","
5.17
","
B+ (3.67)
","
N/A
"
"McKee, Mayumi Mochizuki","
JAPN 140B - Fourth Year Japanese II (A)
",WI13,9,"
6
","
100.0%
","
100.0%
","
4.17
","
B+ (3.67)
","
N/A
"
"McKee, Mayumi Mochizuki","
JAPN 140B - Fourth Year Japanese II (B)
",WI13,9,"
5
","
100.0%
","
100.0%
","
5.70
","
A- (3.80)
","
N/A
"
