Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Miyao, Daisuke","
JAPN 190 - Japanese St Research Seminar (A)
",SP23,19,"
10
","
100.0%
","
100.0%
","
4.70
","
A- (3.90)
","
N/A
"
"Turner, Christena L.","
JAPN 190 - Japanese St Research Seminar (A)
",WI23,9,"
3
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
N/A
"
"Berman, Michael David","
JAPN 190 - Sel Topcs/Contmp Japn Studies (A)
",SP22,19,"
10
","
100.0%
","
100.0%
","
4.90
","
A- (3.70)
","
N/A
"
"Turner, Christena L.","
JAPN 190 - Sel Topcs/Contmp Japn Studies (A)
",FA21,20,"
5
","
100.0%
","
100.0%
","
6.10
","
B+ (3.67)
","
A- (3.80)
"
"Matsumura, Wendy Y","
JAPN 190 - Sel Topcs/Contmp Japn Studies (A)
",SP21,19,"
9
","
88.9%
","
88.9%
","
4.50
","
A- (3.86)
","
N/A
"
"Turner, Christena L.","
JAPN 190 - Sel Topcs/Contmp Japn Studies (A)
",WI21,19,"
11
","
100.0%
","
100.0%
","
7.41
","
B+ (3.64)
","
N/A
"
"Turner, Christena L.","
JAPN 190 - Sel Topcs/Contmp Japn Studies (A)
",WI20,17,"
9
","
100.0%
","
100.0%
","
7.17
","
A- (3.78)
","
N/A
"
"Turner, Christena L.","
JAPN 190 - Sel Topcs/Contmp Japn Studies (A)
",WI19,20,"
11
","
100.0%
","
100.0%
","
4.86
","
B+ (3.45)
","
B+ (3.56)
"
"Turner, Christena L.","
JAPN 190 - Sel Topcs/Contmp Japn Studies (A)
",WI18,14,"
7
","
83.3%
","
100.0%
","
5.17
","
A- (3.83)
","
N/A
"
"Turner, Christena L.","
JAPN 190 - Sel Topcs/Contmp Japn Studies (A)
",SP17,19,"
6
","
100.0%
","
100.0%
","
4.83
","
B+ (3.33)
","
N/A
"
"Turner, Christena L.","
JAPN 190 - Sel Topcs/Contmp Japn Studies (A)
",WI16,17,"
7
","
100.0%
","
100.0%
","
7.50
","
A- (3.83)
","
N/A
"
"Turner, Christena L.","
JAPN 190 - Sel Topcs/Contmp Japn Studies (A)
",WI15,10,"
3
","
100.0%
","
100.0%
","
3.17
","
B+ (3.67)
","
N/A
"
"Turner, Christena L.","
JAPN 190 - Sel Topcs/Contmp Japn Studies (A)
",WI14,13,"
8
","
100.0%
","
100.0%
","
8.50
","
A- (3.75)
","
N/A
"
"Turner, Christena L.","
JAPN 190 - Sel Topcs/Contmp Japn Studies (A)
",WI13,22,"
8
","
87.5%
","
87.5%
","
8.00
","
B (3.25)
","
B+ (3.58)
"
"Turner, Christena L.               ","
JAPN 190 - Sel Topcs/Contmp Japn Studies  (A)
",WI10,10,"
5
","
100.0%
","
100.0%
","
9.30
","
A- (3.80)
","
N/A
"
"Yoneyama, Lisa","
JAPN 190 - Topic/Contemp Japanese Studies (A)
",WI09,14,"
14
","
100.0%
","
100.0%
","
7.93
","
B+ (3.54)
","
N/A
"
"Yoneyama, Lisa                ","
JAPN 190 - Topic/Contemp Japanese Studies (A)
",SP08,15,"
10
","
100.0%
","
100.0%
","
7.70
","
A- (3.75)
","
N/A
"
"Turner, Christena L.          ","
JAPN 190 - Topic/Contemp Japanese Studies (A)
",WI08,15,"
13
","
92.3%
","
92.3%
","
6.65
","
B+ (3.54)
","
N/A
"
