Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Shuster, Alana","
JUDA 2 - Intermediate Hebrew (A)
",WI19,16,"
3
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
N/A
"
"Shuster, Alana","
JUDA 2 - Intermediate Hebrew (A)
",WI18,10,"
4
","
100.0%
","
100.0%
","
3.00
","
A (4.00)
","
N/A
"
"Shuster, Alana","
JUDA 2 - Intermediate Hebrew (A)
",WI17,11,"
7
","
100.0%
","
100.0%
","
4.21
","
A- (3.83)
","
N/A
"
"Shuster, Alana","
JUDA 2 - Intermediate Hebrew (A)
",WI16,11,"
6
","
100.0%
","
100.0%
","
3.17
","
A- (3.80)
","
N/A
"
"Shuster, Alana","
JUDA 2 - Intermediate Hebrew (A)
",WI15,16,"
8
","
100.0%
","
100.0%
","
5.00
","
B+ (3.43)
","
N/A
"
"Shuster, Alana","
JUDA 2 - Intermediate Hebrew (A)
",WI14,12,"
7
","
85.7%
","
85.7%
","
3.64
","
A (4.00)
","
N/A
"
"Shuster, Alana","
JUDA 2 - Intermediate Hebrew (A)
",WI13,14,"
5
","
100.0%
","
80.0%
","
5.30
","
B (3.20)
","
N/A
"
"Shuster, Alana                     ","
JUDA 2 - Intermediate Hebrew            (A)
",WI10,30,"
10
","
90.0%
","
90.0%
","
3.10
","
A- (3.90)
","
A- (3.74)
"
"Shuster, Alana","
JUDA 2 - Intermediate Hebrew            (A)
",WI09,22,"
17
","
100.0%
","
94.1%
","
4.74
","
A- (3.82)
","
B+ (3.66)
"
"Shuster, Alana                ","
JUDA 2 - Intermediate Hebrew            (A)
",WI08,33,"
27
","
100.0%
","
100.0%
","
2.81
","
A- (3.91)
","
B+ (3.69)
"
