Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Kennemore, Amy Michelle","
LATI 10 - Lat Amer Studies&US Liberation (A)
",SP23,73,"
36
","
97.2%
","
100.0%
","
3.30
","
A- (3.82)
","
B+ (3.65)
"
"Kennemore, Amy Michelle","
LATI 10 - Lat Amer Studies&US Liberation (A)
",WI23,130,"
55
","
94.3%
","
96.2%
","
4.01
","
A- (3.72)
","
B+ (3.63)
"
"Kennemore, Amy Michelle","
LATI 10 - Lat Amer Studies&US Liberation (A)
",FA22,126,"
49
","
95.7%
","
100.0%
","
3.96
","
A- (3.85)
","
A (4.00)
"
"Kennemore, Amy Michelle","
LATI 10 - Lat Amer Studies&US Liberation (A)
",S222,26,"
6
","
100.0%
","
100.0%
","
4.17
","
A (4.00)
","
B+ (3.47)
"
"Kennemore, Amy Michelle","
LATI 10 - Lat Amer Studies&US Liberation (A)
",SP22,65,"
25
","
96.0%
","
100.0%
","
3.78
","
A- (3.96)
","
A- (3.79)
"
"Kennemore, Amy Michelle","
LATI 10 - Lat Amer Studies&US Liberation (A)
",WI22,99,"
45
","
95.3%
","
95.3%
","
3.99
","
A- (3.77)
","
A- (3.74)
"
"Kennemore, Amy Michelle","
LATI 10 - Lat Amer Studies&US Liberation (A)
",FA21,92,"
36
","
94.1%
","
97.1%
","
4.09
","
A- (3.73)
","
B+ (3.57)
"
"Kennemore, Amy Michelle","
LATI 10 - Lat Amer Studies&US Liberation (A)
",S221,33,"
9
","
77.8%
","
100.0%
","
4.50
","
A- (3.71)
","
A- (3.88)
"
"Kennemore, Amy Michelle","
LATI 10 - Lat Amer Studies&US Liberation (A)
",SP21,55,"
29
","
89.3%
","
96.3%
","
4.21
","
B+ (3.64)
","
B (3.25)
"
"Kennemore, Amy Michelle","
LATI 10 - Lat Amer Studies&US Liberation (A)
",WI21,62,"
41
","
92.3%
","
97.4%
","
5.23
","
B+ (3.57)
","
B+ (3.43)
"
"Kennemore, Amy Michelle","
LATI 10 - Colonialisms & The Americas (A)
",FA20,85,"
48
","
95.7%
","
97.8%
","
5.27
","
B+ (3.68)
","
B+ (3.51)
"
"Kokinis, Troy Andreas","
LATI 10 - Colonialisms & The Americas (A)
",S220,33,"
11
","
72.7%
","
54.5%
","
4.14
","
A- (3.75)
","
B+ (3.41)
"
"Simon Salazar, Harry Love","
LATI 10 - Colonialisms & The Americas (A)
",SP20,29,"
10
","
100.0%
","
100.0%
","
3.17
","
B+ (3.63)
","
A (4.00)
"
"Simon Salazar, Harry Love","
LATI 10 - Colonialisms & The Americas (A)
",WI20,15,"
10
","
100.0%
","
100.0%
","
3.10
","
A- (3.80)
","
N/A
"
"Simon Salazar, Harry Love","
LATI 10 - Lat Amer Studies&US Liberation (A)
",FA19,32,"
29
","
96.6%
","
100.0%
","
3.40
","
A- (3.74)
","
B+ (3.59)
"
"Martin-Cabrera, Luis","
LATI 10 - Lat Amer Studies&US Liberation (A)
",WI19,30,"
12
","
90.0%
","
90.0%
","
2.30
","
B+ (3.33)
","
B (3.17)
"
