Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"McIntosh, Justin Daniel","
LIGN 8 - Languages & Cultures/America (A)
",SP23,227,"
84
","
100.0%
","
100.0%
","
3.24
","
B+ (3.65)
","
B+ (3.45)
"
"McIntosh, Justin Daniel","
LIGN 8 - Languages & Cultures/America (A)
",WI23,231,"
85
","
100.0%
","
100.0%
","
3.23
","
A- (3.78)
","
B+ (3.50)
"
"McIntosh, Justin Daniel","
LIGN 8 - Languages & Cultures/America (A)
",FA22,298,"
104
","
93.1%
","
97.0%
","
3.81
","
A- (3.74)
","
B+ (3.58)
"
"McIntosh, Justin Daniel","
LIGN 8 - Languages & Cultures/America (A)
",S222,164,"
37
","
97.2%
","
100.0%
","
4.50
","
A- (3.74)
","
B+ (3.60)
"
"McIntosh, Justin Daniel","
LIGN 8 - Languages & Cultures/America (A)
",SP22,251,"
102
","
99.0%
","
99.0%
","
3.40
","
A- (3.73)
","
B+ (3.69)
"
"McIntosh, Justin Daniel","
LIGN 8 - Languages & Cultures/America (A)
",WI22,248,"
103
","
97.0%
","
98.0%
","
3.61
","
A- (3.76)
","
B+ (3.70)
"
"Caballero, Gabriela Hernandez","
LIGN 8 - Languages & Cultures/America (A)
",FA21,206,"
76
","
97.3%
","
100.0%
","
4.09
","
A- (3.79)
","
B+ (3.48)
"
"McIntosh, Justin Daniel","
LIGN 8 - Languages & Cultures/America (A)
",S121,136,"
37
","
94.6%
","
97.3%
","
6.39
","
A- (3.71)
","
B+ (3.43)
"
"McIntosh, Justin Daniel","
LIGN 8 - Languages & Cultures/America (A)
",SP21,237,"
98
","
93.8%
","
95.8%
","
4.30
","
A- (3.70)
","
B+ (3.64)
"
"Chai, Yuan","
LIGN 8 - Languages & Cultures/America (A)
",WI21,178,"
66
","
93.9%
","
93.9%
","
3.20
","
A- (3.89)
","
B+ (3.59)
"
"McIntosh, Justin Daniel","
LIGN 8 - Languages & Cultures/America (A)
",FA20,252,"
108
","
100.0%
","
100.0%
","
3.73
","
A- (3.87)
","
A- (3.79)
"
"McIntosh, Justin Daniel","
LIGN 8 - Languages & Cultures/America (A)
",S120,56,"
18
","
100.0%
","
100.0%
","
5.32
","
B+ (3.57)
","
A- (3.76)
"
"McIntosh, Justin Daniel","
LIGN 8 - Languages & Cultures/America (A)
",SP20,216,"
81
","
96.2%
","
98.7%
","
3.64
","
A- (3.86)
","
A- (3.87)
"
"McIntosh, Justin Daniel","
LIGN 8 - Languages & Cultures/America (A)
",WI20,181,"
90
","
93.3%
","
93.3%
","
2.75
","
B+ (3.65)
","
A- (3.71)
"
"Caballero, Gabriela Hernandez","
LIGN 8 - Languages & Cultures/America (A)
",FA19,188,"
97
","
92.4%
","
97.8%
","
2.76
","
B+ (3.57)
","
B+ (3.49)
"
"McIntosh, Justin Daniel","
LIGN 8 - Languages & Cultures/America (A)
",S219,26,"
8
","
100.0%
","
100.0%
","
3.75
","
B+ (3.57)
","
A- (3.95)
"
"McIntosh, Justin Daniel","
LIGN 8 - Languages & Cultures/America (A)
",SP19,146,"
73
","
92.3%
","
95.4%
","
2.47
","
B+ (3.54)
","
B+ (3.34)
"
"McIntosh, Justin Daniel","
LIGN 8 - Languages & Cultures/America (A)
",WI19,184,"
94
","
93.2%
","
89.4%
","
3.40
","
B+ (3.49)
","
B+ (3.51)
"
"Biswas, Priyanka","
LIGN 8 - Languages & Cultures/America (A)
",FA18,213,"
108
","
85.6%
","
91.3%
","
2.84
","
B+ (3.57)
","
B+ (3.41)
"
"Aguilar, Andres Ehecatl","
LIGN 8 - Languages & Cultures/America (A)
",S118,56,"
19
","
100.0%
","
100.0%
","
3.83
","
A- (3.82)
","
B+ (3.69)
"
"Biswas, Priyanka","
LIGN 8 - Languages & Cultures/America (A)
",SP18,121,"
55
","
92.5%
","
92.5%
","
2.84
","
B+ (3.49)
","
B (3.15)
"
"Aguilar, Andres Ehecatl","
LIGN 8 - Languages & Cultures/America (A)
",WI18,198,"
112
","
83.5%
","
88.0%
","
3.08
","
B+ (3.47)
","
B (3.28)
"
"Caballero, Gabriela Hernandez","
LIGN 8 - Languages & Cultures/America (A)
",FA17,204,"
91
","
90.9%
","
98.9%
","
3.58
","
B+ (3.64)
","
B+ (3.56)
"
"Biswas, Priyanka","
LIGN 8 - Languages & Cultures/America (A)
",S117,49,"
38
","
89.5%
","
97.4%
","
3.34
","
B+ (3.32)
","
B+ (3.39)
"
"Biswas, Priyanka","
LIGN 8 - Languages & Cultures/America (A)
",SP17,177,"
68
","
79.1%
","
68.7%
","
2.74
","
B+ (3.31)
","
B (3.15)
"
"Caballero, Gabriela Hernandez","
LIGN 8 - Languages & Cultures/America (A)
",FA16,187,"
89
","
89.5%
","
98.8%
","
2.95
","
A- (3.82)
","
B+ (3.56)
"
"Namboodiripad, Savithry","
LIGN 8 - Languages & Cultures/America (A)
",S116,47,"
44
","
81.4%
","
88.4%
","
3.88
","
B+ (3.66)
","
B+ (3.66)
"
"Caballero, Gabriela Hernandez","
LIGN 8 - Languages & Cultures/America (A)
",FA15,183,"
104
","
81.2%
","
95.0%
","
3.81
","
B+ (3.60)
","
B+ (3.34)
"
"Caballero, Gabriela Hernandez","
LIGN 8 - Languages & Cultures/America (A)
",SP15,141,"
55
","
85.2%
","
94.4%
","
3.78
","
B+ (3.49)
","
B+ (3.33)
"
