Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Akjeje, Abdelhak","
LIHL 116 - Arabic for Arabic Speakers (A)
",WI14,11,"
6
","
83.3%
","
100.0%
","
5.17
","
A- (3.83)
","
N/A
"
"Akjeje, Abdelhak","
LIHL 116 - Arabic for Arabic Speakers (A)
",FA13,8,"
4
","
100.0%
","
100.0%
","
3.50
","
B+ (3.50)
","
N/A
"
"Akjeje, Abdelhak","
LIHL 116 - Arabic for Arabic Speakers (A)
",FA12,10,"
5
","
100.0%
","
100.0%
","
4.10
","
A (4.00)
","
N/A
"
"Akjeje, Abdelhak                   ","
LIHL 116 - Arabic for Arabic Speakers     (A)
",FA10,13,"
10
","
90.0%
","
80.0%
","
5.10
","
B+ (3.50)
","
N/A
"
"Akjeje, Abdelhak                   ","
LIHL 116 - Arabic for Arabic Speakers     (A)
",SP10,14,"
3
","
100.0%
","
66.7%
","
9.83
","
A (4.00)
","
N/A
"
"Akjeje, Abdelhak                   ","
LIHL 116 - Arabic for Arabic Speakers     (A)
",WI10,12,"
5
","
80.0%
","
80.0%
","
6.90
","
B+ (3.50)
","
N/A
"
"Akjeje, Abdelhak                   ","
LIHL 116 - Arabic for Arabic Speakers     (A)
",SP09,17,"
15
","
78.6%
","
57.1%
","
3.21
","
A (4.00)
","
N/A
"
"Akjeje, Abdelhak","
LIHL 116 - Arabic for Arabic Speakers     (A)
",WI09,13,"
12
","
91.7%
","
100.0%
","
5.33
","
A- (3.90)
","
N/A
"
"Akjeje, Abdelhak                   ","
LIHL 116 - Arabic for Arabic Speakers     (A)
",FA08,9,"
8
","
87.5%
","
87.5%
","
8.00
","
A (4.00)
","
N/A
"
"Saab, Dima                    ","
LIHL 116 - Arabic:Communication & Culture (A)
",SP08,13,"
12
","
100.0%
","
100.0%
","
5.59
","
A- (3.70)
","
N/A
"
"Saab, Dima                    ","
LIHL 116 - Arabic:Communication & Culture (A)
",WI08,8,"
8
","
100.0%
","
100.0%
","
3.75
","
A (4.00)
","
N/A
"
"Saab, Dima                    ","
LIHL 116 - Arabic:Communication & Culture (A)
",FA07,6,"
6
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
