Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Chacon, Gloria Elizabeth","
LTAM 110 - Latin American Lit/Translation (A)
",FA22,39,"
13
","
83.3%
","
75.0%
","
5.88
","
A- (3.75)
","
A- (3.70)
"
"Parra, Max","
LTAM 110 - Latin American Lit/Translation (A)
",WI22,34,"
15
","
64.3%
","
64.3%
","
5.64
","
B (3.21)
","
B+ (3.45)
"
"Blanco, John D","
LTAM 110 - Latin American Lit/Translation (A)
",WI21,38,"
14
","
84.6%
","
80.0%
","
4.36
","
B+ (3.33)
","
A- (3.75)
"
"Martin-Cabrera, Luis","
LTAM 110 - Latin American Lit/Translation (A)
",FA20,53,"
13
","
100.0%
","
100.0%
","
5.27
","
A- (3.75)
","
B+ (3.45)
"
"Nunez, Bernardo","
LTAM 110 - Latin American Lit/Translation (A)
",S220,19,"
6
","
100.0%
","
100.0%
","
6.17
","
B+ (3.50)
","
N/A
"
"Kokotovic, Milos","
LTAM 110 - Latin American Lit/Translation (A)
",SP20,52,"
23
","
100.0%
","
100.0%
","
5.72
","
B+ (3.61)
","
B+ (3.59)
"
"Chacon, Gloria Elizabeth","
LTAM 110 - Latin American Lit/Translation (A)
",WI20,36,"
25
","
100.0%
","
95.7%
","
4.82
","
B+ (3.52)
","
B+ (3.51)
"
"Parra, Max","
LTAM 110 - Latin American Lit/Translation (A)
",FA19,40,"
21
","
85.0%
","
75.0%
","
5.70
","
B+ (3.50)
","
B+ (3.35)
"
"Hayes, Zachary Richard","
LTAM 110 - Latin American Lit/Translation (A)
",S219,23,"
6
","
80.0%
","
80.0%
","
4.90
","
B+ (3.60)
","
A- (3.93)
"
"Kokotovic, Milos","
LTAM 110 - Latin American Lit/Translation (A)
",SP19,63,"
22
","
94.4%
","
100.0%
","
8.28
","
B+ (3.44)
","
B+ (3.33)
"
"Martin-Cabrera, Luis","
LTAM 110 - Latin American Lit/Translation (A)
",FA18,54,"
22
","
90.9%
","
95.0%
","
5.32
","
B+ (3.59)
","
B (3.20)
"
"Kokotovic, Milos","
LTAM 110 - Latin American Lit/Translation (A)
",FA17,59,"
27
","
96.2%
","
95.8%
","
5.96
","
B+ (3.67)
","
B (3.29)
"
"Parra, Max","
LTAM 110 - Latin American Lit/Translation (A)
",WI14,11,"
3
","
100.0%
","
100.0%
","
7.17
","
B+ (3.33)
","
N/A
"
"Pita, Beatrice M","
LTAM 110 - Latin American Lit/Translation (A)
",S113,11,"
3
","
100.0%
","
100.0%
","
5.17
","
A (4.00)
","
N/A
"
"Parra, Max","
LTAM 110 - Latin American Lit/Translation (A)
",WI13,12,"
6
","
100.0%
","
100.0%
","
7.50
","
B+ (3.33)
","
N/A
"
"Isfahani-Hammond, Alexandra        ","
LTAM 110 - Latin American Lit/Translation (A)
",SP10,17,"
8
","
87.5%
","
87.5%
","
5.25
","
B+ (3.50)
","
N/A
"
"Isfahani-Hammond, Alexandra        ","
LTAM 110 - Latin American Lit/Translation (A)
",SP09,23,"
15
","
92.9%
","
100.0%
","
3.97
","
B+ (3.62)
","
B (3.11)
"
"Martell, Carlos Jaime              ","
LTAM 110 - Latin American Lit/Translation (A)
",FA08,14,"
10
","
70.0%
","
80.0%
","
5.30
","
B+ (3.44)
","
N/A
"
"Ubilla, Cecilia               ","
LTAM 110 - Latin American Lit/Translation (A)
",WI08,16,"
14
","
100.0%
","
92.9%
","
3.79
","
A (4.00)
","
N/A
"
