Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Mendoza, Andrea","
LTCS 150 - Topics in Cultural Studies (A)
",WI23,19,"
8
","
100.0%
","
100.0%
","
4.79
","
A- (3.86)
","
N/A
"
"Reid-Olds, Tera","
LTCS 150 - Topics in Cultural Studies (A)
",FA20,11,"
3
","
100.0%
","
100.0%
","
5.83
","
A (4.00)
","
N/A
"
"Lopez, Felipe","
LTCS 150 - Topics in Cultural Studies (A)
",FA19,8,"
4
","
100.0%
","
100.0%
","
9.00
","
A- (3.75)
","
N/A
"
"Icreverzi, Kimberly Heathe","
LTCS 150 - Topics in Cultural Studies (A)
",WI19,19,"
10
","
70.0%
","
70.0%
","
7.10
","
B (3.29)
","
N/A
"
"Davidson, R. Michael","
LTCS 150 - Topics in Cultural Studies (A)
",SP18,12,"
5
","
100.0%
","
100.0%
","
5.70
","
A- (3.75)
","
N/A
"
"Nguyen, Hoang Tan","
LTCS 150 - Topics in Cultural Studies (A)
",WI18,13,"
7
","
100.0%
","
100.0%
","
3.50
","
A- (3.83)
","
N/A
"
"Liao, Ping H","
LTCS 150 - Topics in Cultural Studies (A)
",SP16,17,"
6
","
83.3%
","
83.3%
","
6.83
","
B (3.17)
","
N/A
"
"O'Brien, William Arctander","
LTCS 150 - Topics in Cultural Studies (A)
",WI16,21,"
18
","
94.4%
","
100.0%
","
6.72
","
B+ (3.47)
","
B+ (3.43)
"
"Liao, Ping H","
LTCS 150 - Topics in Cultural Studies (A)
",SP13,15,"
7
","
85.7%
","
100.0%
","
4.50
","
A- (3.80)
","
N/A
"
"Jed, Stephanie H                   ","
LTCS 150 - Topics in Cultural Studies     (A)
",SU10,26,"
17
","
94.1%
","
100.0%
","
3.79
","
A (4.00)
","
N/A
"
"Jed, Stephanie H                   ","
LTCS 150 - Topics in Cultural Studies     (A)
",SU09,22,"
6
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
N/A
"
"O'Brien, William Arctander","
LTCS 150 - Topics in Cultural Studies     (A)
",WI09,45,"
29
","
96.4%
","
100.0%
","
3.93
","
B+ (3.56)
","
B (3.15)
"
"Reid, Roddey                  ","
LTCS 150 - Topics in Cultural Studies     (A)
",FA07,17,"
15
","
100.0%
","
93.3%
","
5.07
","
B+ (3.58)
","
N/A
"
