Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Fiss, Geraldine Anna","
LTEA 120A - Chinese Films (A)
",FA22,281,"
192
","
91.6%
","
91.5%
","
6.03
","
A- (3.71)
","
A- (3.81)
"
"Chen, Jing","
LTEA 120A - Chinese Films (A)
",S222,31,"
17
","
94.1%
","
88.2%
","
7.21
","
A- (3.80)
","
B+ (3.52)
"
"Fiss, Geraldine Anna","
LTEA 120A - Chinese Films (A)
",SP22,289,"
210
","
82.8%
","
90.2%
","
7.11
","
B+ (3.67)
","
B+ (3.60)
"
"Tan, Yanqin","
LTEA 120A - Chinese Films (A)
",S220,21,"
4
","
75.0%
","
75.0%
","
11.00
","
A- (3.75)
","
B+ (3.49)
"
"Zhang, Yingjin","
LTEA 120A - Chinese Films (A)
",SP20,308,"
258
","
88.4%
","
92.2%
","
4.83
","
A- (3.75)
","
A- (3.81)
"
"Zhang, Yingjin","
LTEA 120A - Chinese Films (A)
",FA18,322,"
145
","
83.2%
","
83.7%
","
4.32
","
A- (3.71)
","
B+ (3.49)
"
"Zhang, Yingjin","
LTEA 120A - Chinese Films (A)
",SP17,368,"
176
","
85.7%
","
82.7%
","
4.08
","
B+ (3.60)
","
B+ (3.32)
"
"Zhang, Yingjin","
LTEA 120A - Chinese Films (A)
",S115,45,"
12
","
91.7%
","
100.0%
","
5.95
","
B+ (3.57)
","
B+ (3.38)
"
"Zhang, Yingjin","
LTEA 120A - Chinese Films (A)
",S114,83,"
14
","
100.0%
","
84.6%
","
7.17
","
A- (3.77)
","
B (3.06)
"
"Zhang, Yingjin","
LTEA 120A - Chinese Films (A)
",S213,43,"
8
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
B+ (3.50)
"
"Zhang, Yingjin","
LTEA 120A - Chinese Films (A)
",WI13,71,"
20
","
89.5%
","
94.7%
","
5.30
","
B+ (3.44)
","
B (3.29)
"
