Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Lee, Jin-Kyung","
LTEA 142 - Korean Film, Lit & Pop Culture (A)
",FA22,112,"
28
","
84.6%
","
92.3%
","
4.83
","
A- (3.71)
","
A- (3.84)
"
"Lee, Jin-Kyung","
LTEA 142 - Korean Film, Lit & Pop Culture (A)
",WI21,158,"
60
","
82.5%
","
83.6%
","
4.36
","
A- (3.91)
","
A- (3.95)
"
"Lee, Jin-Kyung","
LTEA 142 - Korean Film, Lit & Pop Culture (A)
",WI19,180,"
60
","
91.1%
","
92.7%
","
3.68
","
A- (3.87)
","
A- (3.91)
"
"Berthelier, Benoit P","
LTEA 142 - Korean Film, Lit & Pop Culture (A)
",SP18,156,"
64
","
92.2%
","
96.9%
","
3.53
","
B+ (3.54)
","
B (3.25)
"
"Lee, Jin-Kyung","
LTEA 142 - Korean Film, Lit & Pop Culture (A)
",WI16,86,"
34
","
79.4%
","
79.4%
","
4.91
","
B+ (3.38)
","
B+ (3.49)
"
"Lee, Jin-Kyung","
LTEA 142 - Korean Film, Lit & Pop Culture (A)
",WI14,121,"
34
","
82.4%
","
76.5%
","
4.63
","
B+ (3.57)
","
B+ (3.65)
"
"Lee, Janet","
LTEA 142 - Korean Film, Lit & Pop Culture (A)
",SP13,67,"
19
","
89.5%
","
89.5%
","
3.87
","
B+ (3.63)
","
B+ (3.69)
"
"Lee, Jin-Kyung                     ","
LTEA 142 - Korean Film, Lit & Pop Culture (A)
",FA10,36,"
15
","
80.0%
","
93.3%
","
5.97
","
B+ (3.45)
","
B+ (3.45)
"
"Hwang, Junghyun","
LTEA 142 - Korean Film, Lit & Pop Culture (A)
",WI09,31,"
21
","
75.0%
","
85.0%
","
4.40
","
B (3.13)
","
B+ (3.65)
"
"Lee, Jin-Kyung                ","
LTEA 142 - Korean Film, Lit & Pop Culture (A)
",WI08,37,"
24
","
91.7%
","
95.8%
","
3.92
","
B+ (3.61)
","
B+ (3.37)
"
