Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Ruiz, Ariana","
LTEN 29 - Intro/Chicano/Latino Lit. (A)
",FA22,95,"
37
","
100.0%
","
100.0%
","
4.12
","
B+ (3.68)
","
A- (3.71)
"
"Ruiz, Ariana","
LTEN 29 - Intro/Chicano/Latino Lit. (A)
",FA21,63,"
26
","
96.2%
","
100.0%
","
4.73
","
B+ (3.48)
","
B (3.04)
"
"Chacon, Gloria Elizabeth","
LTEN 29 - Intro/Chicano/Latino Lit. (A)
",SP20,86,"
54
","
84.6%
","
90.2%
","
4.92
","
A- (3.71)
","
B+ (3.60)
"
"Sanchez, Rosaura","
LTEN 29 - Intro/Chicano/Latino Lit. (A)
",WI19,92,"
71
","
93.7%
","
90.3%
","
3.76
","
B+ (3.55)
","
B (3.21)
"
"Sanchez, Rosaura","
LTEN 29 - Intro/Chicano/Latino Lit. (A)
",WI18,76,"
40
","
83.8%
","
83.8%
","
4.28
","
B+ (3.64)
","
B+ (3.59)
"
"Sanchez, Rosaura","
LTEN 29 - Intro/Chicano/Latino Lit. (A)
",WI17,105,"
45
","
85.0%
","
85.0%
","
4.95
","
B+ (3.63)
","
B+ (3.34)
"
"Sanchez, Rosaura","
LTEN 29 - Intro/Chicano/Latino Lit. (A)
",FA15,127,"
55
","
79.6%
","
77.8%
","
5.48
","
A- (3.70)
","
B+ (3.54)
"
"Mariscal, George","
LTEN 29 - Intro/Chicano/Latino Lit. (A)
",SP15,92,"
42
","
95.0%
","
100.0%
","
3.99
","
A- (3.72)
","
A- (3.79)
"
"Sanchez, Rosaura","
LTEN 29 - Intro/Chicano/Latino Lit. (A)
",SP14,89,"
36
","
54.3%
","
65.7%
","
3.97
","
B+ (3.48)
","
B (3.02)
"
"Mariscal, George","
LTEN 29 - Intro/Chicano/Latino Lit. (A)
",SP13,104,"
45
","
93.2%
","
95.5%
","
4.07
","
B+ (3.45)
","
B (3.03)
"
"Sanchez, Rosaura                   ","
LTEN 29 - Intro/Chicano/Latino Lit.      (A)
",WI10,69,"
30
","
83.3%
","
80.0%
","
6.02
","
B+ (3.37)
","
B+ (3.36)
"
"Mariscal, George                   ","
LTEN 29 - Intro/Chicano/Latino Lit.      (A)
",FA08,84,"
62
","
90.3%
","
96.8%
","
4.15
","
B+ (3.38)
","
B (3.17)
"
"Sanchez, Rosaura              ","
LTEN 29 - Intro/Chicano/Latino Lit.      (A)
",SP08,70,"
36
","
82.4%
","
79.4%
","
4.44
","
B+ (3.50)
","
B (3.19)
"
