Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Cassedy, Steven Dennis","
LTEU 158 - Single Author in Russian Lit (A)
",FA17,23,"
6
","
66.7%
","
100.0%
","
5.83
","
B+ (3.50)
","
B+ (3.53)
"
"Hart, Kevin Andrew","
LTEU 158 - Single Author in Russian Lit (A)
",SP16,16,"
8
","
100.0%
","
100.0%
","
6.25
","
A- (3.88)
","
N/A
"
"Cassedy, Steven Dennis","
LTEU 158 - Single Author in Russian Lit (A)
",WI16,12,"
5
","
100.0%
","
75.0%
","
7.00
","
A- (3.75)
","
N/A
"
"Cassedy, Steven Dennis","
LTEU 158 - Single Author in Russian Lit (A)
",WI14,10,"
5
","
100.0%
","
80.0%
","
4.90
","
B (3.00)
","
N/A
"
"Cassedy, Steven Dennis","
LTEU 158 - Single Author in Russian Lit (A)
",SP13,6,"
3
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
"Glaser, Amelia                     ","
LTEU 158 - Single Author in Russian Lit   (A)
",WI10,31,"
10
","
100.0%
","
90.0%
","
7.90
","
A- (3.70)
","
B+ (3.62)
"
"Furman, Yelena                     ","
LTEU 158 - Single Author in Russian Lit   (B)
",FA09,23,"
20
","
100.0%
","
95.0%
","
3.60
","
B (3.25)
","
B (3.18)
"
"Cassedy, Steven Dennis             ","
LTEU 158 - Single Author in Russian Lit   (A)
",SP09,30,"
21
","
85.7%
","
95.2%
","
6.02
","
B+ (3.56)
","
B- (2.82)
"
"Glaser, Amelia                     ","
LTEU 158 - Single Author in Russian Lit   (A)
",FA08,10,"
9
","
100.0%
","
100.0%
","
6.50
","
A- (3.88)
","
N/A
"
"Glaser, Amelia                ","
LTEU 158 - Single Author in Russian Lit   (A)
",FA07,18,"
15
","
100.0%
","
100.0%
","
7.17
","
B+ (3.53)
","
N/A
"
