Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Zhiri, Oumelbanine","
LTFR 116 - Themes/Intellect&Literary Hist (A)
",FA22,9,"
4
","
100.0%
","
100.0%
","
6.50
","
B+ (3.67)
","
N/A
"
"Ploye, Catherine","
LTFR 116 - Themes/Intellect&Literary Hist (A)
",WI21,18,"
5
","
100.0%
","
100.0%
","
3.70
","
A (4.00)
","
N/A
"
"Zhiri, Oumelbanine","
LTFR 116 - Themes/Intellect&Literary Hist (A)
",WI20,9,"
3
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
"Ploye, Catherine","
LTFR 116 - Themes/Intellect&Literary Hist (A)
",WI19,24,"
9
","
100.0%
","
100.0%
","
4.06
","
B+ (3.67)
","
A- (3.77)
"
"Woodhull, Winifred Johanna","
LTFR 116 - Themes/Intellect&Literary Hist (A)
",SP17,11,"
4
","
100.0%
","
100.0%
","
7.50
","
A (4.00)
","
N/A
"
"Ploye, Catherine","
LTFR 116 - Themes/Intellect&Literary Hist (A)
",WI16,13,"
5
","
100.0%
","
100.0%
","
3.30
","
B+ (3.40)
","
N/A
"
"Ploye, Catherine","
LTFR 116 - Themes/Intellect&Literary Hist (A)
",FA14,15,"
8
","
100.0%
","
100.0%
","
3.50
","
B (3.25)
","
N/A
"
"Reid, Roddey","
LTFR 116 - Themes/Intellect&Literary Hist (A)
",SP14,8,"
3
","
100.0%
","
100.0%
","
3.83
","
B+ (3.67)
","
N/A
"
"Zhiri, Oumelbanine","
LTFR 116 - Themes/Intellect&Literary Hist (A)
",SP13,15,"
9
","
77.8%
","
88.9%
","
5.39
","
A- (3.88)
","
N/A
"
"Ploye, Catherine                   ","
LTFR 116 - Themes/Intellect&Literary Hist (A)
",WI10,25,"
16
","
100.0%
","
100.0%
","
5.75
","
B+ (3.50)
","
B+ (3.31)
"
"Zhiri, Oumelbanine            ","
LTFR 116 - Themes/Intellect&Literary Hist (A)
",SP08,19,"
17
","
88.2%
","
94.1%
","
3.91
","
B (3.13)
","
N/A
"
