Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",WI23,10,"
4
","
100.0%
","
100.0%
","
5.17
","
B+ (3.50)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",SP22,15,"
9
","
88.9%
","
100.0%
","
4.94
","
B (3.25)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",WI22,11,"
4
","
100.0%
","
100.0%
","
3.50
","
A- (3.75)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",SP21,10,"
4
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",WI21,16,"
9
","
100.0%
","
100.0%
","
7.75
","
B+ (3.57)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",SP20,12,"
4
","
100.0%
","
100.0%
","
4.00
","
B+ (3.50)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",WI20,12,"
8
","
100.0%
","
100.0%
","
6.00
","
B (3.14)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",SP19,19,"
9
","
100.0%
","
100.0%
","
5.75
","
B+ (3.50)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",WI19,13,"
4
","
75.0%
","
75.0%
","
5.00
","
B+ (3.33)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",SP18,18,"
7
","
100.0%
","
100.0%
","
6.50
","
B+ (3.50)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",WI18,16,"
7
","
100.0%
","
100.0%
","
4.50
","
B+ (3.33)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",SP17,19,"
11
","
100.0%
","
90.0%
","
4.70
","
B+ (3.38)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",WI17,9,"
4
","
100.0%
","
100.0%
","
7.00
","
B+ (3.33)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",FA15,9,"
3
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",FA14,10,"
7
","
100.0%
","
100.0%
","
5.93
","
B (3.17)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",SP14,6,"
3
","
100.0%
","
100.0%
","
9.50
","
B (3.00)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",FA13,8,"
6
","
100.0%
","
100.0%
","
5.00
","
B (3.00)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",SP13,10,"
3
","
100.0%
","
100.0%
","
3.83
","
B+ (3.67)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",WI13,17,"
9
","
88.9%
","
100.0%
","
5.17
","
B (3.25)
","
N/A
"
"Ploye, Catherine","
LTFR 2C - Intermediate French III (A)
",FA12,17,"
9
","
100.0%
","
100.0%
","
5.50
","
B (3.20)
","
N/A
"
