Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Murray, Kourtney Kristine","
LTGK 2 - Intermediate Greek I (A)
",WI23,15,"
6
","
100.0%
","
100.0%
","
2.50
","
A- (3.83)
","
N/A
"
"Murray, Kourtney Kristine","
LTGK 2 - Intermediate Greek I (A)
",WI22,14,"
8
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
N/A
"
"Murray, Kourtney Kristine","
LTGK 2 - Intermediate Greek I (A)
",WI21,12,"
7
","
85.7%
","
100.0%
","
3.36
","
A- (3.86)
","
N/A
"
"Myerston Santana, Jacobo","
LTGK 2 - Intermediate Greek I (A)
",WI20,13,"
8
","
100.0%
","
100.0%
","
6.00
","
A- (3.71)
","
N/A
"
"Petkas, Alexander J","
LTGK 2 - Intermediate Greek I (A)
",WI19,11,"
7
","
83.3%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
"Myerston Santana, Jacobo","
LTGK 2 - Intermediate Greek I (A)
",WI18,23,"
13
","
92.3%
","
100.0%
","
7.12
","
B+ (3.64)
","
A- (3.72)
"
"Edwards, Leslie","
LTGK 2 - Intermediate Greek I (A)
",WI17,21,"
8
","
100.0%
","
100.0%
","
4.75
","
A (4.00)
","
A- (3.70)
"
"Edwards, Leslie","
LTGK 2 - Intermediate Greek I (A)
",WI16,15,"
6
","
100.0%
","
100.0%
","
6.17
","
B+ (3.60)
","
N/A
"
"Edwards, Leslie","
LTGK 2 - Intermediate Greek I (A)
",WI15,15,"
6
","
83.3%
","
100.0%
","
4.17
","
A- (3.80)
","
N/A
"
"Edwards, Leslie","
LTGK 2 - Intermediate Greek I (A)
",WI14,15,"
9
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Edwards, Leslie","
LTGK 2 - Intermediate Greek I (A)
",WI13,11,"
6
","
100.0%
","
100.0%
","
8.17
","
B (3.25)
","
N/A
"
"Edwards, Leslie                    ","
LTGK 2 - Intermediate Greek I           (A)
",WI10,12,"
8
","
100.0%
","
100.0%
","
5.75
","
A- (3.86)
","
N/A
"
