Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Fischer-Grunski, Eva K","
LTGM 2A - Intermediate German I (A)
",FA22,24,"
11
","
100.0%
","
100.0%
","
4.86
","
A- (3.80)
","
B+ (3.51)
"
"Fischer-Grunski, Eva K","
LTGM 2A - Intermediate German I (A)
",FA21,15,"
9
","
100.0%
","
100.0%
","
4.50
","
A- (3.86)
","
N/A
"
"Fischer-Grunski, Eva K","
LTGM 2A - Intermediate German I (A)
",FA20,25,"
18
","
100.0%
","
100.0%
","
4.50
","
B+ (3.69)
","
B+ (3.52)
"
"Fischer-Grunski, Eva K","
LTGM 2A - Intermediate German I (A)
",FA19,20,"
11
","
100.0%
","
90.0%
","
4.90
","
B+ (3.60)
","
B+ (3.55)
"
"Fischer-Grunski, Eva K","
LTGM 2A - Intermediate German I (A)
",FA18,22,"
9
","
100.0%
","
100.0%
","
5.17
","
A- (3.71)
","
B+ (3.47)
"
"Fischer-Grunski, Eva K","
LTGM 2A - Intermediate German I (A)
",FA17,19,"
8
","
100.0%
","
100.0%
","
3.00
","
A- (3.86)
","
N/A
"
"Mohr, Jeannette","
LTGM 2A - Intermediate German I (A)
",FA16,25,"
14
","
100.0%
","
100.0%
","
4.35
","
A- (3.88)
","
A- (3.89)
"
"Mohr, Jeannette","
LTGM 2A - Intermediate German I (A)
",FA15,18,"
6
","
100.0%
","
100.0%
","
3.70
","
A- (3.75)
","
N/A
"
"Mohr, Jeannette","
LTGM 2A - Intermediate German I (A)
",FA14,20,"
7
","
100.0%
","
85.7%
","
5.07
","
A- (3.71)
","
A- (3.77)
"
"Mohr, Jeannette","
LTGM 2A - Intermediate German I (A)
",FA13,23,"
12
","
72.7%
","
72.7%
","
4.86
","
B (3.20)
","
B+ (3.54)
"
"Murdock-Hinrichs, Isa","
LTGM 2A - Intermediate German I (A)
",FA12,10,"
5
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
