Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Fischer-Grunski, Eva K","
LTGM 2B - Intermediate German II (A)
",WI23,15,"
7
","
100.0%
","
100.0%
","
5.36
","
A- (3.83)
","
N/A
"
"Fischer-Grunski, Eva K","
LTGM 2B - Intermediate German II (A)
",WI22,17,"
7
","
100.0%
","
100.0%
","
4.50
","
B+ (3.50)
","
N/A
"
"Fischer-Grunski, Eva K","
LTGM 2B - Intermediate German II (A)
",WI21,21,"
9
","
100.0%
","
100.0%
","
5.61
","
A- (3.88)
","
B+ (3.54)
"
"Fischer-Grunski, Eva K","
LTGM 2B - Intermediate German II (A)
",WI20,12,"
8
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Fischer-Grunski, Eva K","
LTGM 2B - Intermediate German II (A)
",WI19,13,"
6
","
100.0%
","
100.0%
","
5.70
","
B+ (3.50)
","
N/A
"
"Fischer-Grunski, Eva K","
LTGM 2B - Intermediate German II (A)
",WI18,20,"
12
","
100.0%
","
100.0%
","
2.68
","
A- (3.88)
","
B+ (3.52)
"
"Mohr, Jeannette","
LTGM 2B - Intermediate German II (A)
",WI17,16,"
9
","
88.9%
","
100.0%
","
4.21
","
A- (3.88)
","
N/A
"
"Mohr, Jeannette","
LTGM 2B - Intermediate German II (A)
",WI16,13,"
9
","
100.0%
","
100.0%
","
4.28
","
A- (3.78)
","
N/A
"
"Mohr, Jeannette","
LTGM 2B - Intermediate German II (A)
",WI15,13,"
6
","
83.3%
","
100.0%
","
4.50
","
B+ (3.33)
","
N/A
"
"Mohr, Jeannette","
LTGM 2B - Intermediate German II (A)
",WI14,13,"
6
","
83.3%
","
83.3%
","
3.50
","
B+ (3.33)
","
N/A
"
"Murdock-Hinrichs, Isa","
LTGM 2B - Intermediate German II (A)
",WI13,11,"
4
","
100.0%
","
75.0%
","
6.50
","
B+ (3.67)
","
N/A
"
