Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"De Marchi Gherini, Adriana","
LTIT 2A - Intermediate Italian I (A)
",FA22,16,"
6
","
100.0%
","
100.0%
","
2.83
","
A- (3.80)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 2A - Intermediate Italian I (A)
",FA21,19,"
10
","
100.0%
","
100.0%
","
4.30
","
A (4.00)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 2A - Intermediate Italian I (A)
",FA20,19,"
11
","
90.9%
","
90.9%
","
3.05
","
B+ (3.33)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 2A - Intermediate Italian I (A)
",FA19,24,"
13
","
100.0%
","
90.9%
","
2.50
","
B+ (3.44)
","
A- (3.98)
"
"De Marchi Gherini, Adriana","
LTIT 2A - Intermediate Italian I (A)
",FA18,31,"
14
","
100.0%
","
100.0%
","
3.64
","
A- (3.70)
","
A (4.00)
"
"De Marchi Gherini, Adriana","
LTIT 2A - Intermediate Italian I (A)
",FA17,17,"
10
","
87.5%
","
100.0%
","
3.61
","
A (4.00)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 2A - Intermediate Italian I (A)
",FA16,20,"
9
","
100.0%
","
100.0%
","
3.39
","
A- (3.71)
","
A- (3.98)
"
"De Marchi Gherini, Adriana","
LTIT 2A - Intermediate Italian I (A)
",FA15,30,"
19
","
94.7%
","
100.0%
","
3.55
","
A- (3.79)
","
A (4.00)
"
"De Marchi Gherini, Adriana","
LTIT 2A - Intermediate Italian I (A)
",FA14,22,"
10
","
100.0%
","
90.0%
","
3.17
","
A- (3.88)
","
A- (3.89)
"
"De Marchi Gherini, Adriana","
LTIT 2A - Intermediate Italian I (A)
",FA13,21,"
7
","
80.0%
","
80.0%
","
3.30
","
B+ (3.67)
","
A- (3.86)
"
"De Marchi Gherini, Adriana","
LTIT 2A - Intermediate Italian I (A)
",FA12,21,"
8
","
100.0%
","
85.7%
","
1.93
","
A- (3.71)
","
A- (3.81)
"
