Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"De Marchi Gherini, Adriana","
LTIT 2B - Intermediate Italian II (A)
",WI22,9,"
3
","
100.0%
","
100.0%
","
3.17
","
B+ (3.67)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 2B - Intermediate Italian II (A)
",WI21,9,"
3
","
100.0%
","
100.0%
","
3.17
","
B+ (3.67)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 2B - Intermediate Italian II (A)
",WI20,14,"
7
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 2B - Intermediate Italian II (A)
",WI19,11,"
4
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 2B - Intermediate Italian II (A)
",WI18,11,"
7
","
100.0%
","
100.0%
","
3.64
","
A (4.00)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 2B - Intermediate Italian II (A)
",WI17,13,"
6
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 2B - Intermediate Italian II (A)
",WI16,21,"
14
","
92.9%
","
92.9%
","
2.36
","
A (4.00)
","
A- (3.99)
"
"De Marchi Gherini, Adriana","
LTIT 2B - Intermediate Italian II (A)
",WI15,10,"
5
","
80.0%
","
80.0%
","
2.10
","
A (4.00)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 2B - Intermediate Italian II (A)
",WI14,12,"
6
","
100.0%
","
100.0%
","
3.00
","
A- (3.75)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 2B - Intermediate Italian II (A)
",WI13,17,"
7
","
100.0%
","
85.7%
","
2.79
","
B+ (3.57)
","
N/A
"
