Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"De Marchi Gherini, Adriana","
LTIT 50 - Advanced Italian (A)
",SP22,8,"
4
","
100.0%
","
100.0%
","
5.50
","
A (4.00)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 50 - Advanced Italian (A)
",SP20,11,"
5
","
100.0%
","
100.0%
","
1.70
","
A (4.00)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 50 - Advanced Italian (A)
",SP19,12,"
5
","
100.0%
","
100.0%
","
2.10
","
A (4.00)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 50 - Advanced Italian (A)
",SP18,9,"
5
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 50 - Advanced Italian (A)
",SP17,11,"
3
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 50 - Advanced Italian (A)
",SP16,17,"
7
","
83.3%
","
83.3%
","
2.17
","
A (4.00)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 50 - Advanced Italian (A)
",SP15,10,"
3
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 50 - Advanced Italian (A)
",SP14,14,"
3
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
N/A
"
"De Marchi Gherini, Adriana","
LTIT 50 - Advanced Italian (A)
",SP13,15,"
5
","
100.0%
","
100.0%
","
2.10
","
B+ (3.60)
","
N/A
"
"De Marchi Gherini, Adriana         ","
LTIT 50 - Advanced Italian               (A)
",SP10,25,"
15
","
100.0%
","
86.7%
","
4.23
","
B+ (3.53)
","
A- (3.92)
"
"De Marchi Gherini, Adriana         ","
LTIT 50 - Advanced Italian               (A)
",SP09,24,"
19
","
100.0%
","
100.0%
","
2.39
","
A- (3.76)
","
A- (3.91)
"
"De Marchi Gherini, Adriana    ","
LTIT 50 - Advanced Italian               (A)
",SP08,16,"
14
","
92.9%
","
92.9%
","
2.36
","
A- (3.86)
","
N/A
"
