Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Lee, Jin-Kyung","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",WI21,16,"
6
","
100.0%
","
100.0%
","
3.50
","
A- (3.83)
","
N/A
"
"Lee, Jin-Kyung","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",SP20,33,"
8
","
75.0%
","
100.0%
","
4.50
","
B+ (3.63)
","
A- (3.83)
"
"Lee, Jin-Kyung","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",WI20,13,"
3
","
100.0%
","
100.0%
","
5.50
","
A (4.00)
","
N/A
"
"Lee, Jin-Kyung","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",SP19,23,"
5
","
100.0%
","
100.0%
","
5.30
","
A- (3.80)
","
A- (3.82)
"
"Lee, Jin-Kyung","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",WI19,29,"
9
","
75.0%
","
75.0%
","
8.00
","
A- (3.75)
","
A- (3.78)
"
"Lee, Jin-Kyung","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",SP17,30,"
13
","
91.7%
","
91.7%
","
5.17
","
B+ (3.60)
","
B+ (3.60)
"
"Lee, Jin-Kyung","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",FA16,43,"
11
","
70.0%
","
60.0%
","
5.10
","
B+ (3.33)
","
B+ (3.31)
"
"Lee, Jin-Kyung","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",SP16,36,"
7
","
83.3%
","
83.3%
","
4.50
","
A- (3.80)
","
B+ (3.31)
"
"Lee, Jin-Kyung","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",FA15,45,"
6
","
83.3%
","
66.7%
","
6.50
","
B+ (3.40)
","
B+ (3.46)
"
"Lee, Jin-Kyung","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",SP15,29,"
8
","
100.0%
","
100.0%
","
6.50
","
B+ (3.50)
","
B+ (3.43)
"
"Lee, Jin-Kyung","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",FA14,53,"
9
","
100.0%
","
100.0%
","
4.50
","
A- (3.71)
","
B+ (3.63)
"
"Lee, Jin-Kyung","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",SP14,51,"
11
","
90.9%
","
72.7%
","
3.17
","
B+ (3.67)
","
B+ (3.49)
"
"Lee, Jin-Kyung","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",FA13,39,"
7
","
85.7%
","
85.7%
","
3.36
","
B+ (3.50)
","
B+ (3.49)
"
"Lee, Janet","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",WI13,40,"
11
","
100.0%
","
100.0%
","
3.95
","
A- (3.90)
","
A- (3.84)
"
"Lee, Jin-Kyung                     ","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",FA10,40,"
12
","
90.9%
","
81.8%
","
8.32
","
B+ (3.44)
","
B (3.23)
"
"Lee, Jin-Kyung                     ","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",SP10,38,"
5
","
100.0%
","
80.0%
","
2.50
","
B+ (3.60)
","
B (3.20)
"
"Lee, Jin-Kyung                     ","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",WI10,33,"
8
","
87.5%
","
75.0%
","
2.75
","
B+ (3.50)
","
B (3.18)
"
"Lee, Jin-Kyung                     ","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",FA09,35,"
25
","
88.0%
","
72.0%
","
3.38
","
B+ (3.62)
","
B (3.18)
"
"Hwang, Junghyun                    ","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",SP09,42,"
28
","
89.3%
","
89.3%
","
4.00
","
A- (3.91)
","
B+ (3.38)
"
"Lee, Jin-Kyung                ","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",SP08,24,"
16
","
100.0%
","
100.0%
","
3.38
","
B+ (3.47)
","
B+ (3.37)
"
"Lee, Jin-Kyung                ","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",WI08,31,"
18
","
77.8%
","
72.2%
","
5.06
","
B (3.08)
","
B (3.27)
"
"Lee, Jin-Kyung                ","
LTKO 100 - Adv Readngs/Korean Lit&Culture (A)
",FA07,32,"
20
","
100.0%
","
100.0%
","
4.50
","
B+ (3.53)
","
B+ (3.37)
"
