Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Cho, Hye Jin","
LTKO 1B - Beginning Korean:First Yr. II (A)
",WI23,15,"
8
","
100.0%
","
100.0%
","
5.00
","
A- (3.88)
","
N/A
"
"Cho, Hye Jin","
LTKO 1B - Beginning Korean:First Yr. II (B)
",WI23,20,"
10
","
100.0%
","
100.0%
","
5.50
","
A- (3.89)
","
A- (3.78)
"
"Cho, Hye Jin","
LTKO 1B - Beginning Korean:First Yr. II (C)
",WI23,24,"
4
","
100.0%
","
100.0%
","
4.00
","
B+ (3.50)
","
B+ (3.63)
"
"Tark, Eun Sun","
LTKO 1B - Beginning Korean:First Yr. II (D)
",WI23,17,"
8
","
100.0%
","
100.0%
","
5.07
","
A- (3.71)
","
N/A
"
"Yim, Nancy","
LTKO 1B - Beginning Korean:First Yr. II (E)
",WI23,25,"
6
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
A- (3.89)
"
"Yim, Nancy","
LTKO 1B - Beginning Korean:First Yr. II (F)
",WI23,24,"
7
","
100.0%
","
100.0%
","
3.50
","
B+ (3.67)
","
A- (3.87)
"
"Yim, Nancy","
LTKO 1B - Beginning Korean:First Yr. II (G)
",WI23,19,"
8
","
100.0%
","
100.0%
","
5.00
","
B+ (3.60)
","
N/A
"
"Cho, Hye Jin","
LTKO 1B - Beginning Korean:First Yr. II (A)
",WI22,13,"
7
","
100.0%
","
100.0%
","
5.36
","
B+ (3.50)
","
N/A
"
"Cho, Hye Jin","
LTKO 1B - Beginning Korean:First Yr. II (B)
",WI22,27,"
8
","
100.0%
","
100.0%
","
3.50
","
A- (3.71)
","
B+ (3.55)
"
"Cho, Hye Jin","
LTKO 1B - Beginning Korean:First Yr. II (C)
",WI22,26,"
9
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
B+ (3.55)
"
"Yim, Nancy","
LTKO 1B - Beginning Korean:First Yr. II (D)
",WI22,15,"
5
","
100.0%
","
100.0%
","
2.90
","
B (3.25)
","
N/A
"
"Yim, Nancy","
LTKO 1B - Beginning Korean:First Yr. II (E)
",WI22,23,"
6
","
100.0%
","
100.0%
","
5.50
","
B+ (3.40)
","
B+ (3.42)
"
"Yim, Nancy","
LTKO 1B - Beginning Korean:First Yr. II (F)
",WI22,24,"
6
","
100.0%
","
100.0%
","
4.50
","
A- (3.80)
","
B+ (3.58)
"
"Lee, Don Uk","
LTKO 1B - Beginning Korean:First Yr. II (A)
",WI21,24,"
12
","
100.0%
","
91.7%
","
4.67
","
A- (3.75)
","
A- (3.86)
"
"Lee, Don Uk","
LTKO 1B - Beginning Korean:First Yr. II (B)
",WI21,25,"
11
","
100.0%
","
100.0%
","
5.05
","
A- (3.71)
","
A- (3.75)
"
"Lee, Don Uk","
LTKO 1B - Beginning Korean:First Yr. II (C)
",WI21,19,"
9
","
100.0%
","
100.0%
","
7.17
","
A- (3.83)
","
N/A
"
"Yim, Nancy","
LTKO 1B - Beginning Korean:First Yr. II (D)
",WI21,24,"
8
","
87.5%
","
87.5%
","
6.25
","
A (4.00)
","
B+ (3.62)
"
"Yim, Nancy","
LTKO 1B - Beginning Korean:First Yr. II (E)
",WI21,27,"
14
","
100.0%
","
92.3%
","
5.12
","
A (4.00)
","
B+ (3.53)
"
"Lee, Jeyseon","
LTKO 1B - Beginning Korean:First Yr. II (F)
",WI21,26,"
9
","
88.9%
","
100.0%
","
6.50
","
B+ (3.63)
","
A- (3.73)
"
