Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Cho, Hye Jin","
LTKO 1C - Beginning Korean:First Yr. III (A)
",SP23,17,"
8
","
100.0%
","
100.0%
","
4.00
","
A- (3.71)
","
N/A
"
"Cho, Hye Jin","
LTKO 1C - Beginning Korean:First Yr. III (B)
",SP23,24,"
7
","
100.0%
","
100.0%
","
5.64
","
A- (3.71)
","
B+ (3.52)
"
"Tark, Eun Sun","
LTKO 1C - Beginning Korean:First Yr. III (C)
",SP23,24,"
9
","
100.0%
","
100.0%
","
4.06
","
A- (3.80)
","
A- (3.74)
"
"Yim, Nancy","
LTKO 1C - Beginning Korean:First Yr. III (E)
",SP23,22,"
8
","
100.0%
","
100.0%
","
3.50
","
B+ (3.67)
","
A- (3.70)
"
"Yim, Nancy","
LTKO 1C - Beginning Korean:First Yr. III (F)
",SP23,20,"
8
","
100.0%
","
100.0%
","
5.75
","
A- (3.80)
","
B+ (3.67)
"
"Cho, Hye Jin","
LTKO 1C - Beginning Korean:First Yr. III (A)
",SP22,28,"
14
","
100.0%
","
100.0%
","
4.19
","
A- (3.70)
","
B+ (3.32)
"
"Cho, Hye Jin","
LTKO 1C - Beginning Korean:First Yr. III (B)
",SP22,28,"
12
","
100.0%
","
100.0%
","
5.00
","
B+ (3.64)
","
A- (3.73)
"
"Yim, Nancy","
LTKO 1C - Beginning Korean:First Yr. III (C)
",SP22,16,"
5
","
100.0%
","
100.0%
","
5.30
","
B+ (3.67)
","
N/A
"
"Yim, Nancy","
LTKO 1C - Beginning Korean:First Yr. III (D)
",SP22,27,"
9
","
100.0%
","
100.0%
","
4.50
","
B+ (3.63)
","
B+ (3.66)
"
"Lee, Jeyseon","
LTKO 1C - Beginning Korean:First Yr. III (E)
",SP22,14,"
4
","
100.0%
","
100.0%
","
6.50
","
B (3.25)
","
N/A
"
"Lee, Jeyseon","
LTKO 1C - Beginning Korean:First Yr. III (A)
",SP21,25,"
13
","
92.3%
","
76.9%
","
5.73
","
A- (3.89)
","
B+ (3.63)
"
"Lee, Don Uk","
LTKO 1C - Beginning Korean:First Yr. III (B)
",SP21,23,"
7
","
100.0%
","
100.0%
","
5.36
","
B+ (3.60)
","
B (3.20)
"
"Lee, Don Uk","
LTKO 1C - Beginning Korean:First Yr. III (C)
",SP21,28,"
10
","
100.0%
","
100.0%
","
6.28
","
A- (3.86)
","
B+ (3.51)
"
"Yim, Nancy","
LTKO 1C - Beginning Korean:First Yr. III (D)
",SP21,27,"
15
","
93.3%
","
100.0%
","
6.10
","
B (3.00)
","
B+ (3.41)
"
"Yim, Nancy","
LTKO 1C - Beginning Korean:First Yr. III (E)
",SP21,18,"
3
","
100.0%
","
100.0%
","
5.83
","
A (4.00)
","
N/A
"
"Lee, Jeyseon                       ","
LTKO 1C - Beginning Korean:First Yr. III (F)
",SP20,17,"
5
","
100.0%
","
100.0%
","
3.30
","
A- (3.80)
","
N/A
"
"Lee, Jeyseon","
LTKO 1C - Beginning Korean:First Yr. III (R)
",SP19,24,"
14
","
92.9%
","
92.9%
","
4.65
","
A- (3.70)
","
B+ (3.61)
"
