Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Jung, Ji Yun","
LTKO 2A - Intermediate Korean:2nd Yr I (A)
",FA22,25,"
8
","
87.5%
","
100.0%
","
4.75
","
B+ (3.60)
","
B+ (3.61)
"
"Jung, Ji Yun","
LTKO 2A - Intermediate Korean:2nd Yr I (B)
",FA22,25,"
7
","
100.0%
","
100.0%
","
4.50
","
A- (3.86)
","
A- (3.74)
"
"Lee, Jeyseon","
LTKO 2A - Intermediate Korean:2nd Yr I (C)
",FA22,20,"
9
","
88.9%
","
88.9%
","
4.06
","
B+ (3.50)
","
B+ (3.42)
"
"Jung, Ji Yun","
LTKO 2A - Intermediate Korean:2nd Yr I (A)
",FA21,19,"
10
","
90.0%
","
100.0%
","
7.30
","
B+ (3.63)
","
N/A
"
"Tark, Eun Sun","
LTKO 2A - Intermediate Korean:2nd Yr I (B)
",FA21,27,"
12
","
100.0%
","
100.0%
","
5.05
","
A- (3.71)
","
A- (3.95)
"
"Tark, Eun Sun","
LTKO 2A - Intermediate Korean:2nd Yr I (C)
",FA21,6,"
3
","
100.0%
","
50.0%
","
1.50
","
B+ (3.50)
","
N/A
"
"Lee, Jeyseon","
LTKO 2A - Intermediate Korean:2nd Yr I (D)
",FA21,22,"
13
","
100.0%
","
100.0%
","
6.50
","
B+ (3.63)
","
B+ (3.51)
"
"Lee, Jeyseon","
LTKO 2A - Intermediate Korean:2nd Yr I (D)
",FA20,16,"
10
","
90.0%
","
90.0%
","
3.70
","
B+ (3.67)
","
N/A
"
"Lee, Jeyseon","
LTKO 2A - Intermediate Korean: 2nd Yr I (A)
",FA18,22,"
8
","
83.3%
","
100.0%
","
4.79
","
B (3.00)
","
B (3.07)
"
"Lee, Jeyseon","
LTKO 2A - Intermediate Korean: 2nd Yr I (B)
",FA18,18,"
6
","
100.0%
","
100.0%
","
4.90
","
A (4.00)
","
N/A
"
"Lee, Jeyseon","
LTKO 2A - Intermediate Korean: 2nd Yr I (C)
",FA18,24,"
10
","
88.9%
","
88.9%
","
4.30
","
B+ (3.50)
","
B (3.07)
"
"Lee, Jeyseon","
LTKO 2A - Intermediate Korean: 2nd Yr I (D)
",FA18,24,"
13
","
83.3%
","
83.3%
","
4.67
","
B (3.29)
","
B (3.07)
"
"Lee, Jeyseon","
LTKO 2A - Intermediate Korean: 2nd Yr I (D)
",FA17,25,"
9
","
100.0%
","
100.0%
","
3.83
","
A- (3.83)
","
A- (3.81)
"
"Lee, Jeyseon","
LTKO 2A - Intermediate Korean: 2nd Yr I (B)
",WI17,16,"
6
","
100.0%
","
83.3%
","
3.83
","
B (3.20)
","
N/A
"
