Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Wells, Patricia Rebecca","
LTRU 1A - First-Year Russian (A)
",FA22,19,"
6
","
100.0%
","
100.0%
","
6.50
","
A- (3.75)
","
N/A
"
"Wells, Patricia Rebecca","
LTRU 1A - First-Year Russian (A)
",FA21,24,"
14
","
100.0%
","
100.0%
","
4.36
","
A- (3.79)
","
B+ (3.62)
"
"Wells, Patricia Rebecca","
LTRU 1A - First-Year Russian (A)
",FA20,23,"
10
","
100.0%
","
100.0%
","
4.90
","
A- (3.75)
","
A- (3.76)
"
"Wells, Patricia Rebecca","
LTRU 1A - First-Year Russian (A)
",FA19,32,"
17
","
100.0%
","
100.0%
","
4.25
","
B+ (3.57)
","
A- (3.75)
"
"Wells, Patricia Rebecca","
LTRU 1A - First-Year Russian (A)
",FA18,34,"
18
","
100.0%
","
93.3%
","
7.21
","
B (3.15)
","
A- (3.70)
"
"Wells, Patricia Rebecca","
LTRU 1A - First-Year Russian (A)
",FA17,37,"
14
","
100.0%
","
100.0%
","
6.36
","
B+ (3.64)
","
A- (3.82)
"
"Wells, Patricia Rebecca","
LTRU 1A - First-Year Russian (A)
",FA16,29,"
17
","
100.0%
","
100.0%
","
5.09
","
B+ (3.50)
","
A- (3.78)
"
"Wells, Patricia Rebecca","
LTRU 1A - First-Year Russian (A)
",FA15,29,"
13
","
100.0%
","
100.0%
","
4.32
","
B+ (3.60)
","
A- (3.80)
"
"Wells, Patricia Rebecca","
LTRU 1A - First-Year Russian (A)
",FA14,32,"
14
","
100.0%
","
100.0%
","
5.50
","
A- (3.75)
","
B+ (3.58)
"
"Wells, Patricia Rebecca","
LTRU 1A - First-Year Russian (A)
",FA13,30,"
13
","
92.3%
","
100.0%
","
4.81
","
A- (3.70)
","
B+ (3.46)
"
"Wells, Patricia Rebecca","
LTRU 1A - First-Year Russian (A)
",FA12,21,"
6
","
100.0%
","
100.0%
","
6.83
","
B+ (3.50)
","
B+ (3.55)
"
