Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Wells, Patricia Rebecca","
LTRU 1B - First-Year Russian (A)
",WI23,12,"
5
","
100.0%
","
100.0%
","
5.00
","
A (4.00)
","
N/A
"
"Wells, Patricia Rebecca","
LTRU 1B - First-Year Russian (A)
",WI22,19,"
10
","
100.0%
","
100.0%
","
5.70
","
A- (3.90)
","
N/A
"
"Wells, Patricia Rebecca","
LTRU 1B - First-Year Russian (A)
",WI21,21,"
8
","
100.0%
","
100.0%
","
5.00
","
A- (3.88)
","
A- (3.92)
"
"Wells, Patricia Rebecca","
LTRU 1B - First-Year Russian (A)
",WI20,25,"
17
","
100.0%
","
100.0%
","
3.75
","
A- (3.85)
","
A- (3.89)
"
"Wells, Patricia Rebecca","
LTRU 1B - First-Year Russian (A)
",WI19,27,"
12
","
100.0%
","
100.0%
","
6.00
","
A- (3.78)
","
B+ (3.36)
"
"Wells, Patricia Rebecca","
LTRU 1B - First-Year Russian (A)
",WI18,31,"
16
","
100.0%
","
100.0%
","
5.13
","
A (4.00)
","
B+ (3.69)
"
"Wells, Patricia Rebecca","
LTRU 1B - First-Year Russian (A)
",WI17,29,"
16
","
100.0%
","
100.0%
","
5.30
","
A- (3.92)
","
B+ (3.70)
"
"Wells, Patricia Rebecca","
LTRU 1B - First-Year Russian (A)
",WI16,22,"
12
","
100.0%
","
100.0%
","
6.83
","
B+ (3.40)
","
B+ (3.67)
"
"Wells, Patricia Rebecca","
LTRU 1B - First-Year Russian (A)
",WI15,27,"
7
","
100.0%
","
100.0%
","
4.21
","
A (4.00)
","
B+ (3.57)
"
"Wells, Patricia Rebecca","
LTRU 1B - First-Year Russian (A)
",WI14,23,"
8
","
100.0%
","
100.0%
","
5.93
","
B+ (3.67)
","
B+ (3.62)
"
"Wells, Patricia Rebecca","
LTRU 1B - First-Year Russian (A)
",WI13,18,"
4
","
75.0%
","
100.0%
","
7.00
","
B (3.25)
","
N/A
"
