Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Wells, Patricia Rebecca","
LTRU 1C - First Year Russian (A)
",SP23,11,"
4
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
N/A
"
"Wells, Patricia Rebecca","
LTRU 1C - First Year Russian (A)
",SP22,18,"
10
","
100.0%
","
100.0%
","
4.90
","
A (4.00)
","
N/A
"
"Wells, Patricia Rebecca","
LTRU 1C - First Year Russian (A)
",SP21,20,"
8
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
A- (3.86)
"
"Wells, Patricia Rebecca","
LTRU 1C - First Year Russian (A)
",SP20,26,"
11
","
100.0%
","
100.0%
","
3.59
","
A- (3.88)
","
A- (3.99)
"
"Wells, Patricia Rebecca","
LTRU 1C - First Year Russian (A)
",SP19,21,"
5
","
100.0%
","
100.0%
","
7.70
","
A- (3.75)
","
A- (3.75)
"
"Wells, Patricia Rebecca","
LTRU 1C - First Year Russian (A)
",SP18,32,"
12
","
100.0%
","
100.0%
","
4.14
","
A- (3.86)
","
A- (3.79)
"
"Wells, Patricia Rebecca","
LTRU 1C - First Year Russian (A)
",SP17,23,"
8
","
100.0%
","
100.0%
","
6.25
","
B+ (3.67)
","
A- (3.74)
"
"Wells, Patricia Rebecca","
LTRU 1C - First Year Russian (A)
",SP16,22,"
11
","
90.9%
","
100.0%
","
4.50
","
B+ (3.50)
","
B+ (3.63)
"
"Wells, Patricia Rebecca","
LTRU 1C - First Year Russian (A)
",SP15,21,"
5
","
100.0%
","
100.0%
","
3.30
","
A (4.00)
","
A- (3.85)
"
"Wells, Patricia Rebecca","
LTRU 1C - First Year Russian (A)
",SP14,17,"
6
","
100.0%
","
100.0%
","
3.30
","
B+ (3.50)
","
N/A
"
