Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Kokotovic, Milos","
LTSP 142 - Latin American Short Story (A)
",FA19,27,"
17
","
100.0%
","
100.0%
","
4.63
","
B+ (3.67)
","
B+ (3.54)
"
"Kokotovic, Milos","
LTSP 142 - Latin American Short Story (A)
",WI18,27,"
17
","
87.5%
","
100.0%
","
4.50
","
B+ (3.60)
","
B+ (3.50)
"
"Parra, Max","
LTSP 142 - Latin American Short Story (A)
",SP17,25,"
8
","
100.0%
","
100.0%
","
9.64
","
B+ (3.43)
","
B+ (3.63)
"
"Kokotovic, Milos","
LTSP 142 - Latin American Short Story (A)
",WI16,26,"
16
","
100.0%
","
100.0%
","
5.97
","
B+ (3.53)
","
B+ (3.50)
"
"Parra, Max","
LTSP 142 - Latin American Short Story (A)
",FA14,20,"
10
","
100.0%
","
100.0%
","
8.70
","
B+ (3.40)
","
B+ (3.36)
"
"Kokotovic, Milos","
LTSP 142 - Latin American Short Story (A)
",FA13,20,"
12
","
100.0%
","
100.0%
","
6.32
","
B+ (3.60)
","
B+ (3.34)
"
"Concha, Jaime","
LTSP 142 - Latin American Short Story (A)
",SP13,29,"
13
","
92.3%
","
76.9%
","
4.00
","
B+ (3.54)
","
B (3.29)
"
"Sanchez, Rosaura","
LTSP 142 - Latin American Short Story     (A)
",WI09,26,"
20
","
95.0%
","
95.0%
","
5.80
","
B+ (3.63)
","
B+ (3.55)
"
"Concha, Jaime                 ","
LTSP 142 - Latin American Short Story     (A)
",WI08,21,"
15
","
93.3%
","
93.3%
","
3.57
","
B+ (3.40)
","
B+ (3.33)
"
"Ubilla, Cecilia               ","
LTSP 142 - Latin American Short Story     (A)
",FA07,22,"
21
","
95.0%
","
95.0%
","
4.88
","
B+ (3.47)
","
B+ (3.49)
"
