Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Guillermoprieto, Maria Del","
LTSP 2A - Intermed Spanish I:Foundations (B)
",SP23,23,"
11
","
81.8%
","
72.7%
","
5.41
","
B (3.20)
","
B (3.25)
"
"Guillermoprieto, Maria Del","
LTSP 2A - Intermed Spanish I:Foundations (A)
",FA22,20,"
11
","
90.0%
","
80.0%
","
5.10
","
B (3.25)
","
B (3.05)
"
"Guillermoprieto, Maria Del","
LTSP 2A - Intermed Spanish I:Foundations (B)
",FA22,23,"
12
","
41.7%
","
58.3%
","
5.33
","
B+ (3.33)
","
B- (2.83)
"
"Mastromartino, Alexandra L","
LTSP 2A - Intermed Spanish I:Foundations (C)
",FA22,22,"
9
","
88.9%
","
100.0%
","
3.83
","
B+ (3.63)
","
B+ (3.44)
"
"Caro Melendez, Eduardo","
LTSP 2A - Intermed Spanish I:Foundations (A)
",SP22,18,"
5
","
100.0%
","
100.0%
","
4.50
","
B (3.25)
","
N/A
"
"Caro Melendez, Eduardo","
LTSP 2A - Intermed Spanish I:Foundations (B)
",SP22,27,"
9
","
88.9%
","
88.9%
","
4.28
","
B+ (3.50)
","
B (3.28)
"
"Caro Melendez, Eduardo","
LTSP 2A - Intermed Spanish I:Foundations (A)
",FA21,26,"
19
","
94.4%
","
88.9%
","
3.72
","
B+ (3.59)
","
B+ (3.35)
"
"Caro Melendez, Eduardo","
LTSP 2A - Intermed Spanish I:Foundations (B)
",FA21,26,"
24
","
81.8%
","
81.8%
","
4.95
","
B+ (3.59)
","
B+ (3.41)
"
"Caro Melendez, Eduardo","
LTSP 2A - Intermed Spanish I:Foundations (C)
",FA21,21,"
11
","
90.9%
","
100.0%
","
2.68
","
B+ (3.67)
","
B+ (3.67)
"
"Caro Melendez, Eduardo","
LTSP 2A - Intermed Spanish I:Foundations (A)
",SP21,20,"
9
","
100.0%
","
100.0%
","
4.50
","
B+ (3.63)
","
B+ (3.50)
"
"Caro Melendez, Eduardo","
LTSP 2A - Intermed Spanish I:Foundations (B)
",SP21,26,"
12
","
100.0%
","
100.0%
","
4.33
","
A- (3.91)
","
B+ (3.62)
"
