Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Dominguez, Noelia","
LTSP 2C - Intermed Span III:Cultrl Topcs (A)
",SP23,17,"
5
","
100.0%
","
100.0%
","
4.10
","
B+ (3.60)
","
N/A
"
"Dominguez, Noelia","
LTSP 2C - Intermed Span III:Cultrl Topcs (B)
",SP23,7,"
4
","
100.0%
","
100.0%
","
3.50
","
A- (3.75)
","
N/A
"
"Mastromartino, Alexandra L","
LTSP 2C - Intermed Span III:Cultrl Topcs (C)
",SP23,10,"
6
","
100.0%
","
100.0%
","
6.90
","
A- (3.80)
","
N/A
"
"Dominguez, Noelia","
LTSP 2C - Intermed Span III:Cultrl Topcs (A)
",WI23,14,"
9
","
87.5%
","
100.0%
","
6.50
","
B (3.14)
","
N/A
"
"Dominguez, Noelia","
LTSP 2C - Intermed Span III:Cultrl Topcs (B)
",WI23,21,"
9
","
100.0%
","
100.0%
","
3.39
","
B+ (3.33)
","
B (3.20)
"
"Mastromartino, Alexandra L","
LTSP 2C - Intermed Span III:Cultrl Topcs (C)
",WI23,11,"
10
","
100.0%
","
100.0%
","
3.70
","
B+ (3.67)
","
N/A
"
"Dominguez, Noelia","
LTSP 2C - Intermed Span III:Cultrl Topcs (A)
",SP22,18,"
7
","
100.0%
","
85.7%
","
6.21
","
A- (3.80)
","
N/A
"
"Ruiz Blanco, Angel","
LTSP 2C - Intermed Span III:Cultrl Topcs (B)
",SP22,26,"
11
","
100.0%
","
100.0%
","
2.50
","
A- (3.91)
","
A- (3.74)
"
"Ruiz Blanco, Angel","
LTSP 2C - Intermed Span III:Cultrl Topcs (C)
",SP22,27,"
16
","
92.9%
","
85.7%
","
3.21
","
A- (3.83)
","
B+ (3.64)
"
"Caro Melendez, Eduardo","
LTSP 2C - Intermed Span III:Cultrl Topcs (A)
",WI22,28,"
19
","
84.2%
","
73.7%
","
4.29
","
B+ (3.50)
","
B (3.19)
"
"Caro Melendez, Eduardo","
LTSP 2C - Intermed Span III:Cultrl Topcs (B)
",WI22,22,"
12
","
54.5%
","
54.5%
","
5.95
","
B+ (3.45)
","
B- (2.87)
"
"Caro Melendez, Eduardo","
LTSP 2C - Intermed Span III:Cultrl Topcs (C)
",WI22,26,"
19
","
70.6%
","
29.4%
","
7.17
","
B+ (3.39)
","
B (3.14)
"
"Ruiz Blanco, Angel","
LTSP 2C - Intermed Span III:Cultrl Topcs (A)
",SP21,27,"
11
","
100.0%
","
100.0%
","
4.90
","
A- (3.90)
","
B+ (3.61)
"
"Ruiz Blanco, Angel","
LTSP 2C - Intermed Span III:Cultrl Topcs (B)
",SP21,28,"
13
","
92.3%
","
92.3%
","
4.35
","
B+ (3.54)
","
B+ (3.48)
"
"Dominguez, Noelia","
LTSP 2C - Intermed Span III:Cultrl Topcs (C)
",SP21,26,"
7
","
83.3%
","
100.0%
","
5.83
","
B (3.00)
","
B+ (3.39)
"
"Dominguez, Noelia","
LTSP 2C - Intermed Span III:Cultrl Topcs (A)
",WI21,27,"
14
","
100.0%
","
100.0%
","
4.50
","
B+ (3.40)
","
B (3.27)
"
"Dominguez, Noelia","
LTSP 2C - Intermed Span III:Cultrl Topcs (B)
",WI21,25,"
9
","
88.9%
","
88.9%
","
3.50
","
B+ (3.57)
","
B+ (3.41)
"
"Dominguez, Noelia","
LTSP 2C - Intermed Span III:Cultrl Topcs (C)
",WI21,22,"
6
","
100.0%
","
100.0%
","
3.83
","
B+ (3.50)
","
B+ (3.66)
"
"Pita, Beatrice M","
LTSP 2C - Intermed Span III:Cultrl Topcs (A)
",WI18,25,"
15
","
92.3%
","
100.0%
","
4.36
","
B+ (3.30)
","
B (3.29)
"
"Pita, Beatrice M","
LTSP 2C - Intermed Span III:Cultrl Topcs (B)
",WI18,24,"
13
","
92.3%
","
84.6%
","
4.96
","
B+ (3.33)
","
B (3.29)
"
"Pita, Beatrice M","
LTSP 2C - Intermed Span III:Cultrl Topcs (C)
",WI18,22,"
14
","
100.0%
","
78.6%
","
3.50
","
B+ (3.67)
","
B (3.29)
"
