Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Mastromartino, Alexandra L","
LTSP 2E - Int. Span II: Bilingual Spkrs (A)
",SP23,24,"
22
","
100.0%
","
100.0%
","
3.59
","
B+ (3.59)
","
B+ (3.58)
"
"Mastromartino, Alexandra L","
LTSP 2E - Int. Span II: Bilingual Spkrs (A)
",WI23,30,"
30
","
100.0%
","
100.0%
","
2.83
","
A- (3.83)
","
A- (3.89)
"
"Bessett, Ryan Matthew","
LTSP 2E - Int. Span II: Bilingual Spkrs (B)
",WI23,30,"
12
","
100.0%
","
100.0%
","
3.23
","
A- (3.73)
","
A (4.00)
"
"Mastromartino, Alexandra L","
LTSP 2E - Int. Span II: Bilingual Spkrs (A)
",FA22,11,"
9
","
100.0%
","
100.0%
","
3.39
","
A- (3.89)
","
N/A
"
"Ruiz Blanco, Angel","
LTSP 2E - Int. Span II: Bilingual Spkrs (A)
",WI22,26,"
10
","
100.0%
","
100.0%
","
4.10
","
A- (3.70)
","
A- (3.78)
"
"Ruiz Blanco, Angel","
LTSP 2E - Int. Span II: Bilingual Spkrs (B)
",WI22,21,"
10
","
100.0%
","
100.0%
","
5.10
","
A- (3.80)
","
B+ (3.34)
"
"Pita, Beatrice M","
LTSP 2E - Adv Read & Comp-Bilingual Spkr (A)
",SP19,25,"
18
","
100.0%
","
100.0%
","
5.94
","
B+ (3.53)
","
B+ (3.57)
"
"Pita, Beatrice M","
LTSP 2E - Adv Read & Comp-Bilingual Spkr (A)
",SP18,25,"
11
","
100.0%
","
100.0%
","
3.30
","
B+ (3.30)
","
B+ (3.40)
"
"Pita, Beatrice M","
LTSP 2E - Adv Read & Comp-Bilingual Spkr (A)
",SP17,21,"
9
","
100.0%
","
100.0%
","
4.06
","
A- (3.88)
","
B+ (3.44)
"
"Pita, Beatrice M","
LTSP 2E - Adv Read & Comp-Bilingual Spkr (A)
",WI17,15,"
8
","
100.0%
","
100.0%
","
3.25
","
B+ (3.50)
","
N/A
"
