Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Vitkus, Daniel J.","
LTTH 115 - Introduction/Critical Theory (A)
",WI23,38,"
15
","
86.7%
","
86.7%
","
6.10
","
B (3.07)
","
B+ (3.38)
"
"Vitkus, Daniel J.","
LTTH 115 - Introduction/Critical Theory (A)
",FA21,28,"
9
","
55.6%
","
77.8%
","
7.83
","
B- (2.75)
","
B (3.01)
"
"Jed, Stephanie H","
LTTH 115 - Introduction/Critical Theory (A)
",WI20,42,"
15
","
100.0%
","
100.0%
","
4.35
","
A- (3.77)
","
A- (3.94)
"
"Vitkus, Daniel J.","
LTTH 115 - Introduction/Critical Theory (A)
",WI19,19,"
6
","
83.3%
","
83.3%
","
6.50
","
B (3.00)
","
N/A
"
"Vitkus, Daniel J.","
LTTH 115 - Introduction/Critical Theory (A)
",WI18,29,"
10
","
100.0%
","
100.0%
","
8.10
","
B (3.10)
","
B (3.18)
"
"Vitkus, Daniel J.","
LTTH 115 - Introduction/Critical Theory (A)
",WI17,24,"
12
","
90.9%
","
63.6%
","
7.05
","
B+ (3.30)
","
B+ (3.51)
"
"Jed, Stephanie H","
LTTH 115 - Introduction/Critical Theory (A)
",FA15,40,"
14
","
100.0%
","
100.0%
","
4.36
","
A- (3.86)
","
A- (3.91)
"
"Jed, Stephanie H","
LTTH 115 - Introduction/Critical Theory (A)
",FA14,31,"
13
","
100.0%
","
100.0%
","
6.70
","
A (4.00)
","
A- (3.99)
"
"Kontje, Todd Curtis","
LTTH 115 - Introduction/Critical Theory (A)
",SP14,14,"
8
","
100.0%
","
100.0%
","
6.79
","
A- (3.75)
","
N/A
"
"Jed, Stephanie H","
LTTH 115 - Introduction/Critical Theory (A)
",WI13,31,"
11
","
100.0%
","
100.0%
","
5.59
","
A- (3.82)
","
A- (3.77)
"
"Isfahani-Hammond, Alexandra        ","
LTTH 115 - Introduction/Critical Theory   (A)
",SP10,13,"
7
","
100.0%
","
100.0%
","
5.07
","
A (4.00)
","
N/A
"
"Jed, Stephanie H                   ","
LTTH 115 - Introduction/Critical Theory   (A)
",WI10,39,"
17
","
76.5%
","
75.0%
","
4.97
","
B+ (3.65)
","
A- (3.88)
"
"Williams, Randall Jay              ","
LTTH 115 - Introduction/Critical Theory   (A)
",SP09,23,"
22
","
95.0%
","
100.0%
","
3.93
","
B+ (3.53)
","
B (3.29)
"
"Jed, Stephanie H                   ","
LTTH 115 - Introduction/Critical Theory   (A)
",FA08,32,"
20
","
94.7%
","
80.0%
","
6.00
","
A- (3.74)
","
A- (3.72)
"
"Glaser, Amelia                ","
LTTH 115 - Introduction/Critical Theory   (A)
",WI08,21,"
15
","
86.7%
","
100.0%
","
4.50
","
B+ (3.67)
","
B+ (3.57)
"
"Jed, Stephanie H              ","
LTTH 115 - Introduction/Critical Theory   (A)
",FA07,38,"
27
","
92.6%
","
96.3%
","
3.91
","
B+ (3.67)
","
A- (3.93)
"
