Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"De Marchi Gherini, Adriana","
LTWL 172 - Special Topics in Literature (A)
",SP23,14,"
8
","
100.0%
","
100.0%
","
4.50
","
A- (3.88)
","
N/A
"
"De Marchi Gherini, Adriana","
LTWL 172 - Special Topics in Literature (A)
",FA22,40,"
12
","
100.0%
","
100.0%
","
2.86
","
A (4.00)
","
A- (3.84)
"
"Kelting, Edward William","
LTWL 172 - Special Topics in Literature (A)
",FA21,35,"
19
","
100.0%
","
100.0%
","
4.18
","
B+ (3.47)
","
B+ (3.47)
"
"De Marchi Gherini, Adriana","
LTWL 172 - Special Topics in Literature (B)
",FA21,39,"
14
","
100.0%
","
100.0%
","
4.17
","
A (4.00)
","
A- (3.98)
"
"De Marchi Gherini, Adriana","
LTWL 172 - Special Topics in Literature (A)
",SP21,48,"
13
","
100.0%
","
100.0%
","
4.04
","
A (4.00)
","
A- (3.90)
"
"De Marchi Gherini, Adriana","
LTWL 172 - Special Topics in Literature (A)
",WI21,47,"
18
","
100.0%
","
100.0%
","
3.17
","
A- (3.94)
","
A (4.00)
"
"Glaser, Amelia","
LTWL 172 - Special Topics in Literature (A)
",FA20,21,"
10
","
100.0%
","
100.0%
","
4.50
","
A- (3.71)
","
B+ (3.59)
"
"De Marchi Gherini, Adriana","
LTWL 172 - Special Topics in Literature (A)
",SP20,31,"
14
","
100.0%
","
100.0%
","
3.79
","
A (4.00)
","
A (4.00)
"
"O'Brien, William Arctander","
LTWL 172 - Special Topics in Literature (A)
",WI19,14,"
7
","
100.0%
","
100.0%
","
2.79
","
B+ (3.40)
","
N/A
"
"De Marchi Gherini, Adriana","
LTWL 172 - Special Topics in Literature (A)
",SP18,35,"
13
","
84.6%
","
92.3%
","
3.12
","
A (4.00)
","
A (4.00)
"
"De Marchi Gherini, Adriana","
LTWL 172 - Special Topics in Literature (A)
",WI17,29,"
9
","
100.0%
","
88.9%
","
3.17
","
A- (3.78)
","
A- (3.98)
"
"Kokotovic, Milos","
LTWL 172 - Special Topics in Literature (A)
",FA16,9,"
3
","
100.0%
","
100.0%
","
6.50
","
B+ (3.33)
","
N/A
"
"Kontje, Todd Curtis","
LTWL 172 - Special Topics in Literature (A)
",WI16,9,"
3
","
66.7%
","
66.7%
","
2.50
","
B (3.00)
","
N/A
"
"Frolich, Margrit Luise","
LTWL 172 - Special Topics in Literature (A)
",FA15,6,"
3
","
100.0%
","
100.0%
","
3.83
","
B+ (3.33)
","
N/A
"
"Zhiri, Oumelbanine","
LTWL 172 - Special Topics in Literature (A)
",FA13,8,"
3
","
100.0%
","
100.0%
","
3.50
","
B+ (3.50)
","
N/A
"
"De Marchi Gherini, Adriana","
LTWL 172 - Special Topics in Literature (A)
",WI13,38,"
17
","
100.0%
","
100.0%
","
3.79
","
A- (3.81)
","
A- (3.93)
"
"Lampert-Weissig, Lisa              ","
LTWL 172 - Special Topics in Literature   (A)
",SP10,9,"
7
","
100.0%
","
100.0%
","
7.93
","
A- (3.71)
","
N/A
"
"GUIDARELLI, LODOVICA          ","
LTWL 172 - Special Topics in Literature   (A)
",SP08,15,"
6
","
100.0%
","
100.0%
","
5.83
","
B (3.00)
","
N/A
"
"Plapp, Laurel A               ","
LTWL 172 - Special Topics in Literature   (A)
",FA07,18,"
14
","
100.0%
","
100.0%
","
6.64
","
B+ (3.36)
","
N/A
"
"Lampert-Weissig, Lisa         ","
LTWL 172 - Special Topics in Literature   (A)
",SU07,12,"
12
","
100.0%
","
100.0%
","
6.68
","
B (3.18)
","
N/A
"
