Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Som, Brandon D","
LTWR 102 - Poetry Workshop (A)
",SP23,14,"
6
","
100.0%
","
100.0%
","
3.50
","
A- (3.83)
","
N/A
"
"Ok, Cindy Juyoung","
LTWR 102 - Poetry Workshop (A)
",FA22,15,"
14
","
92.9%
","
92.9%
","
3.79
","
A- (3.93)
","
N/A
"
"Ok, Cindy Juyoung","
LTWR 102 - Poetry Workshop (A)
",SP22,22,"
19
","
100.0%
","
100.0%
","
3.76
","
A- (3.89)
","
B+ (3.67)
"
"Wilkinson, Marco","
LTWR 102 - Poetry Workshop (A)
",WI22,23,"
14
","
100.0%
","
100.0%
","
3.58
","
A (4.00)
","
A- (3.71)
"
"Doller, Ben","
LTWR 102 - Poetry Workshop (A)
",S221,20,"
6
","
100.0%
","
100.0%
","
4.83
","
A (4.00)
","
A (4.00)
"
"Doller, Ben","
LTWR 102 - Poetry Workshop (A)
",SP21,23,"
8
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
B+ (3.69)
"
"Doller, Ben","
LTWR 102 - Poetry Workshop (A)
",WI21,26,"
7
","
100.0%
","
100.0%
","
3.07
","
A- (3.86)
","
A- (3.80)
"
"Darini, Bruna Maria","
LTWR 102 - Poetry Workshop (A)
",FA20,22,"
9
","
88.9%
","
88.9%
","
5.17
","
A- (3.89)
","
A- (3.95)
"
"Doller, Ben","
LTWR 102 - Poetry Workshop (A)
",SP20,23,"
9
","
100.0%
","
100.0%
","
3.36
","
A- (3.75)
","
A (4.00)
"
"Darini, Bruna Maria","
LTWR 102 - Poetry Workshop (A)
",WI20,23,"
6
","
100.0%
","
83.3%
","
3.17
","
A (4.00)
","
A- (3.96)
"
"Som, Brandon D","
LTWR 102 - Poetry Workshop (A)
",SP19,23,"
15
","
100.0%
","
100.0%
","
5.42
","
A- (3.85)
","
A- (3.90)
"
"Doller, Ben","
LTWR 102 - Poetry Workshop (A)
",WI19,23,"
4
","
100.0%
","
100.0%
","
3.00
","
A (4.00)
","
B+ (3.66)
"
"Banales, Melissa","
LTWR 102 - Poetry Workshop (A)
",FA18,23,"
5
","
100.0%
","
100.0%
","
4.50
","
A- (3.80)
","
A- (3.97)
"
"Som, Brandon D","
LTWR 102 - Poetry Workshop (A)
",FA17,11,"
8
","
100.0%
","
100.0%
","
3.75
","
A- (3.75)
","
N/A
"
"Som, Brandon D","
LTWR 102 - Poetry Workshop (A)
",SP17,23,"
19
","
100.0%
","
100.0%
","
4.74
","
A- (3.89)
","
A- (3.74)
"
"Doller, Ben","
LTWR 102 - Poetry Workshop (A)
",WI17,17,"
7
","
100.0%
","
100.0%
","
4.17
","
B+ (3.67)
","
N/A
"
"Som, Brandon D","
LTWR 102 - Poetry Workshop (A)
",FA16,22,"
13
","
100.0%
","
100.0%
","
4.50
","
A- (3.77)
","
A- (3.81)
"
"Doller, Ben","
LTWR 102 - Poetry Workshop (A)
",S216,19,"
6
","
100.0%
","
100.0%
","
3.17
","
B+ (3.50)
","
N/A
"
"Doller, Ben","
LTWR 102 - Poetry Workshop (A)
",S115,15,"
4
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Flis, Brad","
LTWR 102 - Poetry Workshop (A)
",SP15,23,"
11
","
100.0%
","
100.0%
","
4.14
","
B+ (3.60)
","
A- (3.86)
"
"Fowler, Heather Marie","
LTWR 102 - Poetry Workshop (A)
",WI15,10,"
7
","
100.0%
","
100.0%
","
2.21
","
A (4.00)
","
N/A
"
"Doller, Ben","
LTWR 102 - Poetry Workshop (A)
",SP14,23,"
8
","
85.7%
","
100.0%
","
4.79
","
A- (3.86)
","
A- (3.93)
"
"Veal, Adam","
LTWR 102 - Poetry Workshop (A)
",WI14,24,"
11
","
100.0%
","
100.0%
","
3.10
","
A- (3.90)
","
A (4.00)
"
"Graham, Kathryn Lorraine","
LTWR 102 - Poetry Workshop (A)
",FA13,11,"
5
","
100.0%
","
60.0%
","
4.50
","
A- (3.80)
","
N/A
"
"Armantrout, Rae","
LTWR 102 - Poetry Workshop (A)
",SP13,22,"
8
","
75.0%
","
62.5%
","
3.50
","
A- (3.86)
","
A- (3.80)
"
"Doller, Ben","
LTWR 102 - Poetry Workshop (A)
",WI13,24,"
8
","
100.0%
","
100.0%
","
6.00
","
A- (3.88)
","
A- (3.73)
"
"Armantrout, Rae","
LTWR 102 - Poetry Workshop (A)
",FA12,22,"
12
","
91.7%
","
83.3%
","
4.00
","
B+ (3.67)
","
A- (3.74)
"
"Darini, Bruna Maria                ","
LTWR 102 - Poetry Workshop                (A)
",FA10,23,"
10
","
100.0%
","
100.0%
","
3.10
","
A- (3.90)
","
A- (3.77)
"
"Darini, Bruna Maria                ","
LTWR 102 - Poetry                         (A)
",SP10,20,"
10
","
90.0%
","
100.0%
","
4.30
","
A- (3.80)
","
B+ (3.51)
"
"Armantrout, Rae                    ","
LTWR 102 - Poetry                         (A)
",WI10,22,"
9
","
100.0%
","
88.9%
","
3.17
","
B+ (3.67)
","
B+ (3.65)
"
"Meetze, James                      ","
LTWR 102 - Poetry                         (A)
",FA09,23,"
19
","
94.4%
","
100.0%
","
3.87
","
A- (3.89)
","
A- (3.77)
"
"Armantrout, Rae                    ","
LTWR 102 - Poetry                         (A)
",SP09,21,"
16
","
100.0%
","
93.8%
","
3.25
","
A- (3.77)
","
A- (3.71)
"
"Doller, Ben","
LTWR 102 - Poetry                         (A)
",WI09,19,"
16
","
100.0%
","
100.0%
","
3.38
","
A- (3.93)
","
N/A
"
"Meetze, James                      ","
LTWR 102 - Poetry                         (A)
",FA08,17,"
12
","
100.0%
","
100.0%
","
5.67
","
A- (3.91)
","
N/A
"
"Nakayasu, Sawako                   ","
LTWR 102 - Poetry                         (A)
",SU08,19,"
19
","
94.7%
","
84.2%
","
5.50
","
A- (3.73)
","
N/A
"
"Armantrout, Rae               ","
LTWR 102 - Poetry                         (A)
",SP08,21,"
17
","
94.1%
","
94.1%
","
3.09
","
A- (3.88)
","
A- (3.77)
"
"Nakayasu, Sawako              ","
LTWR 102 - Poetry                         (A)
",SU07,16,"
14
","
100.0%
","
100.0%
","
5.07
","
B+ (3.64)
","
N/A
"
