Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Springer, Anna Joy","
LTWR 8A - Writing Fiction (A)
",SP23,86,"
77
","
79.2%
","
81.6%
","
4.73
","
B+ (3.53)
","
B+ (3.69)
"
"Jemc, Jaclyn","
LTWR 8A - Writing Fiction (A)
",FA22,99,"
33
","
96.8%
","
90.3%
","
4.02
","
A- (3.93)
","
B (3.00)
"
"Springer, Anna Joy","
LTWR 8A - Writing Fiction (A)
",SP22,92,"
76
","
89.3%
","
90.5%
","
4.53
","
A- (3.72)
","
B+ (3.59)
"
"Hoang, Lily Kim","
LTWR 8A - Writing Fiction (A)
",FA21,99,"
38
","
94.6%
","
86.1%
","
5.28
","
A (4.00)
","
A- (3.79)
"
"Jemc, Jaclyn","
LTWR 8A - Writing Fiction (A)
",WI21,98,"
50
","
98.0%
","
98.0%
","
4.58
","
A- (3.88)
","
A- (3.76)
"
"Springer, Anna Joy","
LTWR 8A - Writing Fiction (A)
",FA20,98,"
82
","
96.3%
","
89.0%
","
3.72
","
A- (3.87)
","
A- (3.86)
"
"Jemc, Jaclyn","
LTWR 8A - Writing Fiction (A)
",WI20,80,"
36
","
100.0%
","
100.0%
","
4.03
","
B+ (3.67)
","
B+ (3.55)
"
"Hoang, Lily Kim","
LTWR 8A - Writing Fiction (A)
",FA19,101,"
43
","
92.9%
","
85.7%
","
3.79
","
A- (3.88)
","
A- (3.79)
"
"Springer, Anna Joy","
LTWR 8A - Writing Fiction (A)
",WI19,73,"
39
","
88.2%
","
75.8%
","
4.56
","
B+ (3.55)
","
B+ (3.37)
"
"Springer, Anna Joy","
LTWR 8A - Writing Fiction (A)
",FA18,86,"
49
","
93.8%
","
91.7%
","
5.75
","
B+ (3.59)
","
A- (3.75)
"
"Hoang, Lily Kim","
LTWR 8A - Writing Fiction (A)
",SP18,94,"
40
","
92.1%
","
89.5%
","
5.06
","
B+ (3.54)
","
B+ (3.57)
"
"Springer, Anna Joy","
LTWR 8A - Writing Fiction (A)
",FA17,90,"
41
","
82.5%
","
61.5%
","
4.50
","
A- (3.73)
","
A- (3.80)
"
"Springer, Anna Joy","
LTWR 8A - Writing Fiction (A)
",SP17,85,"
38
","
91.4%
","
82.9%
","
3.64
","
A- (3.77)
","
A- (3.81)
"
"Freilicher, Melvyn Stanley","
LTWR 8A - Writing Fiction (A)
",FA16,82,"
40
","
94.6%
","
89.2%
","
4.39
","
B+ (3.39)
","
B+ (3.43)
"
"Springer, Anna Joy","
LTWR 8A - Writing Fiction (A)
",SP16,81,"
30
","
88.5%
","
84.6%
","
4.00
","
B+ (3.68)
","
B (3.20)
"
"Rivera-Garza, Cristina","
LTWR 8A - Writing Fiction (A)
",WI16,92,"
67
","
89.1%
","
81.3%
","
4.56
","
B+ (3.57)
","
B+ (3.51)
"
"Rivera-Garza, Cristina","
LTWR 8A - Writing Fiction (A)
",SP15,74,"
58
","
86.0%
","
84.2%
","
4.18
","
A- (3.74)
","
B+ (3.51)
"
"Springer, Anna Joy","
LTWR 8A - Writing Fiction (A)
",WI15,85,"
33
","
97.0%
","
90.9%
","
4.92
","
B+ (3.67)
","
B+ (3.49)
"
"Springer, Anna Joy","
LTWR 8A - Writing Fiction (A)
",SP14,61,"
23
","
81.0%
","
95.2%
","
4.31
","
B+ (3.53)
","
B+ (3.61)
"
"Rivera-Garza, Cristina","
LTWR 8A - Writing Fiction (A)
",WI14,77,"
43
","
95.1%
","
90.2%
","
5.50
","
B+ (3.69)
","
B+ (3.55)
"
"Springer, Anna Joy","
LTWR 8A - Writing Fiction (A)
",SP13,57,"
21
","
100.0%
","
100.0%
","
5.64
","
B+ (3.67)
","
B+ (3.42)
"
"Freilicher, Melvyn Stanley","
LTWR 8A - Writing Fiction (A)
",WI13,68,"
29
","
92.9%
","
89.3%
","
5.07
","
B+ (3.44)
","
B+ (3.33)
"
