Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Doller, Ben","
LTWR 8B - Writing Poetry (A)
",SP23,95,"
33
","
93.8%
","
93.8%
","
2.25
","
A- (3.93)
","
B+ (3.51)
"
"Som, Brandon D","
LTWR 8B - Writing Poetry (A)
",WI23,100,"
51
","
94.0%
","
95.9%
","
2.74
","
A- (3.90)
","
B+ (3.67)
"
"Som, Brandon D","
LTWR 8B - Writing Poetry (A)
",WI22,91,"
24
","
91.7%
","
95.8%
","
3.11
","
A- (3.90)
","
A- (3.83)
"
"Doller, Ben","
LTWR 8B - Writing Poetry (A)
",FA21,66,"
29
","
100.0%
","
100.0%
","
4.36
","
A- (3.93)
","
A- (3.77)
"
"Ali, Mohammad Kazim","
LTWR 8B - Writing Poetry (A)
",SP21,96,"
33
","
93.8%
","
100.0%
","
3.66
","
B+ (3.65)
","
A- (3.89)
"
"Som, Brandon D","
LTWR 8B - Writing Poetry (A)
",FA20,100,"
45
","
95.5%
","
97.7%
","
3.32
","
A- (3.88)
","
A- (3.74)
"
"Doller, Ben","
LTWR 8B - Writing Poetry (A)
",SP20,101,"
32
","
100.0%
","
100.0%
","
3.43
","
A- (3.93)
","
A- (3.92)
"
"Ali, Mohammad Kazim","
LTWR 8B - Writing Poetry (A)
",FA19,74,"
22
","
100.0%
","
95.2%
","
3.36
","
A- (3.90)
","
A- (3.87)
"
"Doller, Ben","
LTWR 8B - Writing Poetry (A)
",SP19,100,"
47
","
97.7%
","
97.7%
","
2.68
","
A- (3.83)
","
A- (3.87)
"
"Som, Brandon D","
LTWR 8B - Writing Poetry (A)
",FA18,83,"
54
","
100.0%
","
100.0%
","
3.50
","
A- (3.85)
","
B+ (3.69)
"
"Doller, Ben","
LTWR 8B - Writing Poetry (A)
",WI18,99,"
50
","
95.8%
","
91.7%
","
2.83
","
A- (3.87)
","
A- (3.92)
"
"Som, Brandon D","
LTWR 8B - Writing Poetry (A)
",FA17,64,"
41
","
100.0%
","
97.5%
","
2.90
","
A- (3.87)
","
B+ (3.70)
"
"Doller, Ben","
LTWR 8B - Writing Poetry (A)
",WI17,69,"
30
","
96.3%
","
100.0%
","
2.72
","
A- (3.88)
","
A- (3.91)
"
"Som, Brandon D","
LTWR 8B - Writing Poetry (A)
",FA16,75,"
44
","
97.6%
","
97.6%
","
3.06
","
A- (3.82)
","
B+ (3.68)
"
"Verdicchio, Pasquale","
LTWR 8B - Writing Poetry (A)
",WI16,64,"
30
","
85.7%
","
57.1%
","
3.43
","
A- (3.76)
","
B+ (3.69)
"
"Armantrout, Rae","
LTWR 8B - Writing Poetry (A)
",FA15,80,"
44
","
92.7%
","
90.2%
","
3.20
","
A- (3.78)
","
B+ (3.53)
"
"Doller, Ben","
LTWR 8B - Writing Poetry (A)
",SP15,94,"
56
","
92.3%
","
88.5%
","
3.05
","
A- (3.73)
","
A- (3.70)
"
"Armantrout, Rae","
LTWR 8B - Writing Poetry (A)
",FA14,83,"
37
","
90.3%
","
87.1%
","
3.73
","
A- (3.79)
","
B+ (3.66)
"
"Armantrout, Rae","
LTWR 8B - Writing Poetry (A)
",WI14,77,"
38
","
81.6%
","
73.7%
","
3.04
","
A- (3.77)
","
A- (3.70)
"
"Doller, Ben","
LTWR 8B - Writing Poetry (A)
",FA13,65,"
37
","
97.3%
","
100.0%
","
3.85
","
A- (3.88)
","
A- (3.73)
"
"Armantrout, Rae","
LTWR 8B - Writing Poetry (A)
",WI13,55,"
23
","
82.6%
","
82.6%
","
3.02
","
A- (3.90)
","
B+ (3.56)
"
"Doller, Ben","
LTWR 8B - Writing Poetry (A)
",FA12,92,"
42
","
100.0%
","
100.0%
","
3.78
","
A- (3.77)
","
B+ (3.59)
"
