Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Lopez, Casandra","
LTWR 8C - Writing Non-Fiction (A)
",WI23,70,"
34
","
90.6%
","
90.0%
","
3.74
","
A- (3.94)
","
A- (3.78)
"
"Forbes, Camille","
LTWR 8C - Writing Non-Fiction (A)
",FA22,90,"
28
","
96.2%
","
92.3%
","
2.72
","
B+ (3.57)
","
A (4.00)
"
"Jemc, Jaclyn","
LTWR 8C - Writing Non-Fiction (A)
",SP22,57,"
40
","
94.9%
","
97.4%
","
4.09
","
A- (3.88)
","
B+ (3.55)
"
"Forbes, Camille","
LTWR 8C - Writing Non-Fiction (A)
",WI22,63,"
30
","
96.7%
","
100.0%
","
4.97
","
A- (3.76)
","
B (3.25)
"
"Forbes, Camille","
LTWR 8C - Writing Non-Fiction (A)
",SP21,67,"
36
","
93.9%
","
90.9%
","
3.29
","
B+ (3.60)
","
B (3.29)
"
"Carroll, Amy Sara","
LTWR 8C - Writing Non-Fiction (A)
",WI21,64,"
36
","
80.0%
","
88.6%
","
4.04
","
A- (3.76)
","
B+ (3.58)
"
"Hoang, Lily Kim","
LTWR 8C - Writing Non-Fiction (A)
",SP20,65,"
18
","
100.0%
","
100.0%
","
3.83
","
A- (3.94)
","
A- (3.99)
"
"Doller, Ben","
LTWR 8C - Writing Non-Fiction (A)
",WI20,65,"
24
","
90.5%
","
85.7%
","
2.77
","
A- (3.95)
","
A- (3.89)
"
"Hoang, Lily Kim","
LTWR 8C - Writing Non-Fiction (A)
",SP19,61,"
41
","
100.0%
","
100.0%
","
3.09
","
A- (3.72)
","
B+ (3.54)
"
"Forbes, Camille","
LTWR 8C - Writing Non-Fiction (A)
",WI19,56,"
46
","
86.7%
","
97.7%
","
4.99
","
B+ (3.56)
","
B+ (3.56)
"
"Pafunda, Danielle","
LTWR 8C - Writing Non-Fiction (A)
",SP18,66,"
28
","
88.9%
","
92.3%
","
4.20
","
B+ (3.61)
","
B+ (3.60)
"
"Forbes, Camille","
LTWR 8C - Writing Non-Fiction (A)
",WI18,61,"
47
","
83.0%
","
89.1%
","
3.31
","
B+ (3.45)
","
B+ (3.38)
"
"Forbes, Camille","
LTWR 8C - Writing Non-Fiction (A)
",SP17,44,"
31
","
90.0%
","
90.0%
","
3.47
","
B+ (3.65)
","
B+ (3.49)
"
"Forbes, Camille","
LTWR 8C - Writing Non-Fiction (A)
",WI17,48,"
28
","
89.3%
","
96.4%
","
3.71
","
B+ (3.46)
","
B (3.30)
"
"Forbes, Camille","
LTWR 8C - Writing Non-Fiction (A)
",SP16,56,"
46
","
84.8%
","
87.0%
","
3.89
","
B+ (3.40)
","
B+ (3.49)
"
"Granger, John F","
LTWR 8C - Writing Non-Fiction (A)
",FA15,61,"
27
","
66.7%
","
59.3%
","
4.28
","
B+ (3.36)
","
B (3.28)
"
"Forbes, Camille","
LTWR 8C - Writing Non-Fiction (A)
",WI15,46,"
35
","
82.9%
","
94.3%
","
4.50
","
A- (3.87)
","
B+ (3.68)
"
"Granger, John F","
LTWR 8C - Writing Non-Fiction (A)
",FA14,46,"
15
","
71.4%
","
78.6%
","
5.73
","
B+ (3.38)
","
B+ (3.47)
"
"Forbes, Camille","
LTWR 8C - Writing Non-Fiction (A)
",SP14,44,"
40
","
86.8%
","
89.5%
","
4.24
","
B (3.29)
","
B+ (3.34)
"
"Granger, John F","
LTWR 8C - Writing Non-Fiction (A)
",FA13,49,"
22
","
95.2%
","
85.7%
","
4.60
","
B+ (3.56)
","
B+ (3.33)
"
"Forbes, Camille","
LTWR 8C - Writing Non-Fiction (A)
",SP13,54,"
18
","
66.7%
","
61.1%
","
3.17
","
A- (3.73)
","
B+ (3.45)
"
"Granger, John F","
LTWR 8C - Writing Non-Fiction (A)
",FA12,52,"
23
","
87.0%
","
78.3%
","
4.67
","
A- (3.85)
","
B+ (3.62)
"
