Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Chen, Renkun","
MAE 101C - Heat Transfer (A)
",SP23,57,"
32
","
81.3%
","
93.8%
","
7.02
","
B- (2.97)
","
B (3.07)
"
"Poulikakos, Lisa Voula","
MAE 101C - Heat Transfer (C)
",FA22,186,"
164
","
87.7%
","
90.2%
","
5.94
","
B (3.01)
","
N/A
"
"Bahadori, Mohammad Yousef","
MAE 101C - Heat Transfer (A)
",SP22,65,"
54
","
85.2%
","
77.8%
","
7.91
","
B (3.15)
","
B- (2.81)
"
"Chen, Renkun","
MAE 101C - Heat Transfer (A)
",FA21,65,"
36
","
91.4%
","
88.6%
","
7.01
","
B (3.09)
","
B (3.04)
"
"Poulikakos, Lisa Voula","
MAE 101C - Heat Transfer (B)
",FA21,68,"
62
","
93.5%
","
96.8%
","
5.31
","
B (3.29)
","
B+ (3.51)
"
"Pham, Hieu Tan","
MAE 101C - Heat Transfer (A)
",S121,20,"
8
","
87.5%
","
100.0%
","
9.75
","
B (3.13)
","
B (3.16)
"
"Coimbra, Carlos F.","
MAE 101C - Heat Transfer (A)
",SP21,27,"
19
","
89.5%
","
94.7%
","
8.50
","
B- (2.94)
","
B (3.26)
"
"Poulikakos, Lisa Voula","
MAE 101C - Heat Transfer (B)
",SP21,26,"
24
","
100.0%
","
100.0%
","
7.83
","
B (3.29)
","
B+ (3.42)
"
"Chen, Renkun","
MAE 101C - Heat Transfer (A)
",FA20,63,"
33
","
84.8%
","
84.8%
","
6.69
","
B (3.18)
","
B (3.10)
"
"Bahadori, Mohammad Yousef","
MAE 101C - Heat Transfer (B)
",FA20,74,"
59
","
96.6%
","
96.6%
","
8.13
","
B (3.17)
","
B (3.09)
"
"Bahadori, Mohammad Yousef","
MAE 101C - Heat Transfer (C)
",FA20,75,"
64
","
90.6%
","
90.6%
","
7.84
","
B (3.22)
","
B (3.10)
"
"Bahadori, Mohammad Yousef","
MAE 101C - Heat Transfer (A)
",S120,60,"
53
","
92.5%
","
94.3%
","
9.50
","
B (3.10)
","
B- (2.91)
"
"Bahadori, Mohammad Yousef","
MAE 101C - Heat Transfer (A)
",SP20,118,"
86
","
92.9%
","
85.7%
","
7.29
","
B (3.08)
","
B+ (3.39)
"
"Chen, Renkun","
MAE 101C - Heat Transfer (A)
",FA19,146,"
42
","
90.0%
","
90.0%
","
7.10
","
B+ (3.35)
","
B- (2.99)
"
"Bahadori, Mohammad Yousef","
MAE 101C - Heat Transfer (B)
",FA19,49,"
37
","
94.6%
","
100.0%
","
7.96
","
B (3.03)
","
B (3.02)
"
"Seshadri, Kalyanasundaram","
MAE 101C - Heat Transfer (C)
",FA19,35,"
15
","
100.0%
","
100.0%
","
5.93
","
B (3.21)
","
B (3.25)
"
"Bahadori, Mohammad Yousef","
MAE 101C - Heat Transfer (A)
",S119,35,"
17
","
87.5%
","
81.3%
","
7.43
","
B (3.00)
","
C+ (2.56)
"
"Li, Mengying","
MAE 101C - Heat Transfer (A)
",SP19,44,"
29
","
93.1%
","
96.6%
","
7.26
","
B (3.28)
","
B (3.17)
"
"Chen, Renkun","
MAE 101C - Heat Transfer (A)
",FA18,213,"
71
","
93.9%
","
93.8%
","
6.07
","
B+ (3.44)
","
B+ (3.32)
"
"Wang, Qingyang","
MAE 101C - Heat Transfer (B)
",FA18,13,"
9
","
100.0%
","
100.0%
","
6.28
","
B+ (3.44)
","
N/A
"
"Bahadori, Mohammad Yousef","
MAE 101C - Heat Transfer (A)
",S218,20,"
5
","
100.0%
","
100.0%
","
8.90
","
B (3.00)
","
B- (2.94)
"
"Li, Mengying","
MAE 101C - Heat Transfer (A)
",SP18,42,"
37
","
97.3%
","
97.3%
","
7.83
","
B+ (3.43)
","
B+ (3.32)
"
