Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Nomura, Keiko K.","
MAE 110A - Thermodynamics (A)
",FA17,145,"
40
","
89.2%
","
89.2%
","
9.69
","
B (3.25)
","
B (3.03)
"
"Bahadori, Mohammad Yousef","
MAE 110A - Thermodynamics (A)
",S117,73,"
20
","
95.0%
","
90.0%
","
12.60
","
B (3.15)
","
B- (2.76)
"
"Nomura, Keiko K.","
MAE 110A - Thermodynamics (A)
",WI17,160,"
70
","
92.6%
","
86.8%
","
9.53
","
B (3.20)
","
B- (2.82)
"
"Rangamani, Padmini","
MAE 110A - Thermodynamics (A)
",FA16,135,"
112
","
90.2%
","
90.2%
","
8.52
","
B (3.06)
","
C+ (2.64)
"
"Bahadori, Mohammad Yousef","
MAE 110A - Thermodynamics (A)
",S116,58,"
10
","
100.0%
","
90.0%
","
11.70
","
A- (3.70)
","
C+ (2.47)
"
"Nomura, Keiko K.","
MAE 110A - Thermodynamics (A)
",WI16,141,"
70
","
95.6%
","
95.6%
","
8.62
","
B (3.27)
","
B (3.09)
"
"Rangamani, Padmini","
MAE 110A - Thermodynamics (A)
",FA15,139,"
115
","
90.4%
","
86.1%
","
8.17
","
B (3.26)
","
B- (2.78)
"
"Bahadori, Mohammad Yousef","
MAE 110A - Thermodynamics (A)
",S115,52,"
11
","
90.9%
","
90.9%
","
9.17
","
B+ (3.40)
","
B- (2.85)
"
"Rangamani, Padmini","
MAE 110A - Thermodynamics (A)
",WI15,104,"
91
","
90.1%
","
80.2%
","
7.71
","
B- (2.81)
","
C (2.23)
"
"Nomura, Keiko K.","
MAE 110A - Thermodynamics (A)
",FA14,121,"
56
","
88.9%
","
75.9%
","
8.05
","
B (3.25)
","
B (3.02)
"
"Folz, Patrick J","
MAE 110A - Thermodynamics (A)
",S114,32,"
29
","
89.7%
","
79.3%
","
7.81
","
B (3.28)
","
B (3.14)
"
"Kleissl, Jan","
MAE 110A - Thermodynamics (A)
",WI14,82,"
38
","
97.2%
","
83.3%
","
9.00
","
B (3.21)
","
B (3.07)
"
"Nomura, Keiko K.","
MAE 110A - Thermodynamics (B)
",FA13,160,"
78
","
95.9%
","
91.9%
","
8.66
","
B (3.05)
","
C+ (2.57)
"
"Bahadori, Mohammad Yousef","
MAE 110A - Thermodynamics (A)
",S113,62,"
20
","
85.0%
","
100.0%
","
10.00
","
B+ (3.35)
","
B (3.01)
"
"Goddard, Joe D","
MAE 110A - Thermodynamics (A)
",WI13,67,"
39
","
74.4%
","
17.9%
","
7.74
","
B- (2.76)
","
B- (2.79)
"
"Bahadori, Mohammad Yousef","
MAE 110A - Thermodynamics (A)
",FA12,150,"
70
","
89.9%
","
89.9%
","
7.66
","
B+ (3.35)
","
C+ (2.47)
"
