Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Hidalgo-Gonzalez, Patricia","
MAE 119 - Intro Renew Energ/Solar & Wind (A)
",SP23,140,"
115
","
84.2%
","
82.5%
","
5.53
","
B (3.16)
","
B+ (3.37)
"
"Hidalgo-Gonzalez, Patricia","
MAE 119 - Intro Renew Energ/Solar & Wind (A)
",WI22,118,"
94
","
90.3%
","
90.2%
","
5.73
","
B+ (3.36)
","
B (3.02)
"
"Hidalgo-Gonzalez, Patricia","
MAE 119 - Intro Renew Energ/Solar & Wind (A)
",SP21,175,"
156
","
78.6%
","
89.6%
","
6.46
","
B+ (3.42)
","
A- (3.71)
"
"Kleissl, Jan","
MAE 119 - Intro Renew Energ/Solar & Wind (A)
",WI20,91,"
45
","
85.7%
","
95.1%
","
8.88
","
B (3.19)
","
B+ (3.40)
"
"Coimbra, Carlos F.","
MAE 119 - Intro Renew Energ/Solar & Wind (A)
",SP19,49,"
39
","
97.4%
","
94.7%
","
6.24
","
B+ (3.36)
","
B+ (3.33)
"
"Tynan, George Robert","
MAE 119 - Intro Renew Energ/Solar & Wind (A)
",WI18,112,"
51
","
86.0%
","
82.0%
","
5.46
","
B (3.29)
","
B (3.22)
"
"Tynan, George Robert","
MAE 119 - Intro Renew Energ/Solar & Wind (A)
",WI17,105,"
31
","
75.9%
","
75.9%
","
5.04
","
B (3.08)
","
B (3.15)
"
"Chen, Renkun","
MAE 119 - Intro Renew Energ/Solar & Wind (A)
",WI16,140,"
57
","
76.4%
","
65.5%
","
4.09
","
B+ (3.57)
","
B+ (3.35)
"
"Tynan, George Robert","
MAE 119 - Intro Renew Energ/Solar & Wind (A)
",WI15,85,"
31
","
89.3%
","
96.4%
","
5.93
","
B (3.12)
","
B (3.03)
"
"Chen, Renkun","
MAE 119 - Intro Renew Energ/Solar & Wind (A)
",WI14,136,"
45
","
73.7%
","
68.4%
","
5.39
","
B+ (3.46)
","
B+ (3.45)
"
"Tynan, George Robert","
MAE 119 - Intro Renew Energ/Solar & Wind (A)
",WI13,133,"
69
","
75.8%
","
75.8%
","
4.53
","
B (3.09)
","
C+ (2.61)
"
"Chen, Renkun                       ","
MAE 119 - 21st Century Energy Tech I     (A)
",WI11,90,"
51
","
88.2%
","
84.0%
","
5.34
","
B+ (3.46)
","
B (3.18)
"
"Chen, Renkun                       ","
MAE 119 - 21st Century Energy Tech I     (A)
",WI10,67,"
25
","
96.0%
","
76.0%
","
6.67
","
B+ (3.32)
","
B (3.12)
"
"Tynan, George Robert","
MAE 119 - 21st Century Energy Tech I     (A)
",WI09,47,"
28
","
85.7%
","
92.9%
","
4.00
","
B+ (3.54)
","
C+ (2.69)
"
"Tynan, George Robert          ","
MAE 119 - 21st Century Energy Tech I     (A)
",WI08,43,"
31
","
93.3%
","
93.3%
","
3.10
","
B+ (3.59)
","
C+ (2.57)
"
