Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Herbert, Sylvia Lee","
MAE 143B - Linear Control (A)
",SP23,143,"
92
","
74.4%
","
97.8%
","
9.05
","
B (3.00)
","
C+ (2.69)
"
"Diagne, Mamadou Lamine","
MAE 143B - Linear Control (B)
",SP23,119,"
99
","
98.0%
","
98.0%
","
6.58
","
B+ (3.41)
","
B- (2.82)
"
"Morimoto, Tania","
MAE 143B - Linear Control (A)
",WI23,98,"
82
","
77.5%
","
97.5%
","
9.43
","
B- (2.75)
","
C+ (2.42)
"
"Morimoto, Tania","
MAE 143B - Linear Control (B)
",SP22,190,"
177
","
79.1%
","
94.4%
","
9.11
","
B- (2.97)
","
B- (2.85)
"
"de Oliveira, Mauricio","
MAE 143B - Linear Control (A)
",WI22,61,"
28
","
42.3%
","
61.5%
","
9.81
","
B- (2.73)
","
B- (2.83)
"
"Morimoto, Tania","
MAE 143B - Linear Control (B)
",SP21,51,"
42
","
92.9%
","
97.6%
","
10.02
","
B (3.13)
","
B (3.14)
"
"Herbert, Sylvia Lee","
MAE 143B - Linear Control (D)
",SP21,45,"
41
","
75.6%
","
87.8%
","
7.38
","
B (3.00)
","
B+ (3.56)
"
"Anderson, Mark Ronald","
MAE 143B - Linear Control (E)
",SP21,65,"
43
","
95.3%
","
100.0%
","
4.97
","
A- (3.81)
","
A- (3.92)
"
"de Oliveira, Mauricio","
MAE 143B - Linear Control (A)
",WI21,49,"
29
","
53.6%
","
53.6%
","
8.64
","
B (3.00)
","
B+ (3.65)
"
"Morimoto, Tania","
MAE 143B - Linear Control (A)
",SP20,141,"
89
","
62.8%
","
64.0%
","
10.52
","
B- (2.78)
","
A- (3.85)
"
"de Oliveira, Mauricio","
MAE 143B - Linear Control (C)
",SP20,188,"
100
","
61.1%
","
62.1%
","
9.19
","
B (3.08)
","
A- (3.94)
"
"de Oliveira, Mauricio","
MAE 143B - Linear Control (B)
",WI20,76,"
28
","
69.2%
","
84.6%
","
7.83
","
B- (2.74)
","
B (3.20)
"
"de Oliveira, Mauricio","
MAE 143B - Linear Control (B)
",SP19,260,"
126
","
59.3%
","
76.9%
","
8.31
","
B- (2.92)
","
B (3.09)
"
"de Oliveira, Mauricio","
MAE 143B - Linear Control (A)
",SP18,253,"
201
","
57.5%
","
61.5%
","
7.09
","
B (3.18)
","
B (3.14)
"
"de Oliveira, Mauricio","
MAE 143B - Linear Control (A)
",SP17,206,"
151
","
75.3%
","
83.3%
","
7.46
","
B (3.13)
","
B (3.13)
"
"de Oliveira, Mauricio","
MAE 143B - Linear Control (A)
",SP16,176,"
47
","
77.8%
","
77.8%
","
8.23
","
B (3.18)
","
B (3.12)
"
"de Oliveira, Mauricio","
MAE 143B - Linear Control (A)
",SP15,151,"
53
","
71.2%
","
61.5%
","
7.81
","
B- (2.92)
","
B (3.11)
"
"Bewley, Thomas R","
MAE 143B - Linear Control (A)
",S214,40,"
9
","
66.7%
","
77.8%
","
8.28
","
B (3.11)
","
B (3.29)
"
"de Oliveira, Mauricio","
MAE 143B - Linear Control (A)
",SP14,127,"
43
","
76.2%
","
88.1%
","
6.91
","
B+ (3.40)
","
B (3.17)
"
"Bewley, Thomas R","
MAE 143B - Linear Control (A)
",S213,48,"
5
","
100.0%
","
100.0%
","
6.00
","
B (3.00)
","
B (3.11)
"
"Krstic, Miroslav","
MAE 143B - Linear Control (B)
",SP13,131,"
39
","
89.7%
","
97.4%
","
6.07
","
B (3.20)
","
C+ (2.61)
"
