Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Chow, Bennett","
MATH 110A - Intro to PDE I (B)
",S119,33,"
10
","
100.0%
","
90.0%
","
9.30
","
B+ (3.60)
","
B (3.11)
"
"Elgindi, Tarek M","
MATH 110A - Intro/Partial Differ Equations (A)
",FA18,23,"
11
","
70.0%
","
70.0%
","
8.30
","
C+ (2.67)
","
B- (2.76)
"
"McKernan, James","
MATH 110A - Intro/Partial Differ Equations (B)
",FA18,23,"
8
","
85.7%
","
42.9%
","
7.36
","
B+ (3.43)
","
B- (2.86)
"
"Behzadan, Ali","
MATH 110A - Intro/Partial Differ Equations (A)
",S118,91,"
53
","
100.0%
","
100.0%
","
7.56
","
A- (3.75)
","
B+ (3.45)
"
"Zlatos, Andrej","
MATH 110A - Intro/Partial Differ Equations (A)
",FA17,53,"
10
","
40.0%
","
66.7%
","
7.90
","
B (3.10)
","
B- (2.79)
"
"Behzadan, Ali","
MATH 110A - Intro/Partial Differ Equations (A)
",S117,89,"
53
","
96.2%
","
100.0%
","
7.29
","
A- (3.74)
","
B+ (3.56)
"
"Li, Bo","
MATH 110A - Intro/Partial Differ Equations (A)
",FA16,82,"
38
","
62.2%
","
67.6%
","
7.01
","
B (3.00)
","
B- (2.79)
"
"Oliver, Jesus R","
MATH 110A - Intro/Partial Differ Equations (A)
",S116,86,"
17
","
81.3%
","
93.8%
","
7.93
","
B+ (3.50)
","
B- (2.92)
"
"Sterbenz, Jacob","
MATH 110A - Intro/Partial Differ Equations (A)
",WI16,42,"
18
","
55.6%
","
44.4%
","
8.50
","
B (3.27)
","
B- (2.82)
"
"Jones, Miles E","
MATH 110A - Intro/Partial Differ Equations (A)
",S215,31,"
5
","
40.0%
","
40.0%
","
8.90
","
B- (2.75)
","
B- (2.79)
"
"Wenzl, Hans G","
MATH 110A - Intro/Partial Differ Equations (A)
",FA14,45,"
20
","
66.7%
","
72.2%
","
5.91
","
B (3.19)
","
B- (2.96)
"
"Sun, Hui","
MATH 110A - Intro/Partial Differ Equations (A)
",S214,31,"
11
","
100.0%
","
100.0%
","
8.10
","
B+ (3.50)
","
B (3.06)
"
"Li, Bo","
MATH 110A - Intro/Partial Differ Equations (A)
",WI14,48,"
18
","
82.4%
","
76.5%
","
8.04
","
B+ (3.44)
","
B+ (3.34)
"
"Bejenaru, Ioan","
MATH 110A - Intro/Partial Differ Equations (A)
",FA12,45,"
25
","
68.2%
","
72.7%
","
8.68
","
B (3.10)
","
C+ (2.57)
"
"Agler, Jim                         ","
MATH 110A - Intro/Partial Differ Equations (A)
",FA09,38,"
26
","
80.8%
","
84.6%
","
6.81
","
B+ (3.33)
","
B (3.23)
"
"Meyer, David A.                    ","
MATH 110A - Intro/Partial Differ Equations (A)
",SP09,54,"
43
","
82.9%
","
97.5%
","
6.45
","
B (3.00)
","
B- (2.87)
"
"Sterbenz, Jacob","
MATH 110A - Intro/Partial Differ Equations (A)
",WI09,20,"
16
","
87.5%
","
81.3%
","
6.25
","
B (3.29)
","
B (3.11)
"
"Wenzl, Hans G                 ","
MATH 110A - Intro/Partial Differ Equations (A)
",WI08,24,"
18
","
55.6%
","
83.3%
","
5.28
","
B (3.13)
","
B- (2.90)
"
"Sterbenz, Jacob               ","
MATH 110A - Intro/Partial Differ Equations (A)
",FA07,25,"
13
","
84.6%
","
92.3%
","
5.27
","
B+ (3.40)
","
C+ (2.68)
"
