Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Zlatos, Andrej","
MATH 140C - Foundations/Real Analysis III (A)
",SP23,24,"
7
","
100.0%
","
100.0%
","
9.07
","
B+ (3.50)
","
B+ (3.42)
"
"Spolaor, Luca","
MATH 140C - Foundations/Real Analysis III (A)
",SP22,51,"
21
","
100.0%
","
100.0%
","
10.98
","
B+ (3.33)
","
B (3.07)
"
"Seward, Brandon M.","
MATH 140C - Foundations/Real Analysis III (A)
",SP21,28,"
14
","
100.0%
","
92.9%
","
9.50
","
A- (3.85)
","
B+ (3.37)
"
"Saab, Rayan","
MATH 140C - Foundations/Real Analysis III (A)
",SP20,42,"
18
","
94.4%
","
100.0%
","
9.28
","
A- (3.79)
","
A- (3.75)
"
"Zlatos, Andrej","
MATH 140C - Foundations/Real Analysis III (A)
",SP19,27,"
13
","
92.3%
","
84.6%
","
11.27
","
B+ (3.31)
","
B- (2.97)
"
"Saab, Rayan","
MATH 140C - Foundations/Real Analysis III (A)
",SP18,38,"
31
","
96.8%
","
93.5%
","
10.37
","
B+ (3.50)
","
B (3.19)
"
"Saab, Rayan","
MATH 140C - Foundations/Real Analysis III (A)
",SP17,28,"
23
","
100.0%
","
90.9%
","
7.45
","
B+ (3.50)
","
B- (2.92)
"
"Ioana, Adrian","
MATH 140C - Foundations/Real Analysis III (A)
",SP16,31,"
13
","
100.0%
","
100.0%
","
8.04
","
B+ (3.58)
","
B- (2.98)
"
"Saab, Rayan","
MATH 140C - Foundations/Real Analysis III (A)
",SP15,19,"
17
","
94.1%
","
100.0%
","
6.63
","
B (3.13)
","
N/A
"
"Ioana, Adrian","
MATH 140C - Foundations/Real Analysis III (B)
",SP14,13,"
5
","
100.0%
","
100.0%
","
7.30
","
B- (2.80)
","
N/A
"
"Driver, Bruce K","
MATH 140C - Foundations/Real Analysis III (A)
",SP13,20,"
8
","
100.0%
","
100.0%
","
6.75
","
B+ (3.63)
","
B+ (3.65)
"
