Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Jin, Muzhi","
MATH 20B - Calculus/Science & Engineering (A)
",WI23,152,"
81
","
75.0%
","
77.0%
","
6.76
","
B (3.01)
","
C+ (2.44)
"
"Jin, Muzhi","
MATH 20B - Calculus/Science & Engineering (B)
",WI23,165,"
67
","
83.6%
","
67.2%
","
7.66
","
B (3.05)
","
C+ (2.67)
"
"Rogalski, Daniel","
MATH 20B - Calculus/Science & Engineering (C)
",WI23,383,"
196
","
78.1%
","
67.5%
","
7.06
","
B (3.23)
","
C+ (2.67)
"
"Quarfoot, David James","
MATH 20B - Calculus/Science & Engineering (A)
",FA22,399,"
208
","
91.7%
","
93.6%
","
7.70
","
B+ (3.32)
","
B (3.16)
"
"Lahiri, Aranya","
MATH 20B - Calculus/Science & Engineering (B)
",FA22,168,"
82
","
84.0%
","
83.5%
","
7.70
","
B (3.28)
","
B (3.09)
"
"Lahiri, Aranya","
MATH 20B - Calculus/Science & Engineering (C)
",FA22,163,"
82
","
85.0%
","
84.8%
","
7.73
","
B+ (3.41)
","
B (3.05)
"
"Um, Ko Woon","
MATH 20B - Calculus/Science & Engineering (A)
",S222,52,"
10
","
90.0%
","
90.0%
","
7.30
","
B (3.20)
","
B- (2.89)
"
"Um, Ko Woon","
MATH 20B - Calculus/Science & Engineering (B)
",S222,45,"
5
","
100.0%
","
100.0%
","
7.70
","
B+ (3.40)
","
C+ (2.68)
"
"Briones, Jor-el Thomas Caparas","
MATH 20B - Calculus/Science & Engineering (A)
",S122,100,"
58
","
91.4%
","
87.7%
","
7.29
","
B+ (3.34)
","
A- (3.93)
"
"Lahiri, Aranya","
MATH 20B - Calculus/Science & Engineering (A)
",SP22,199,"
63
","
83.6%
","
88.5%
","
6.60
","
B (3.10)
","
C+ (2.53)
"
"Liu, Shuang","
MATH 20B - Calculus/Science & Engineering (B)
",SP22,272,"
105
","
84.2%
","
78.0%
","
6.86
","
B (3.04)
","
C+ (2.61)
"
"Stevens, Laura Jeanne","
MATH 20B - Calculus/Science & Engineering (A)
",WI22,574,"
403
","
96.2%
","
98.7%
","
7.24
","
B+ (3.34)
","
B- (2.88)
"
"Lahiri, Aranya","
MATH 20B - Calculus/Science & Engineering (B)
",WI22,198,"
122
","
89.3%
","
87.5%
","
7.36
","
B (3.05)
","
C+ (2.50)
"
"Eggers, John Dietrich","
MATH 20B - Calculus/Science & Engineering (A)
",FA21,513,"
269
","
86.2%
","
74.6%
","
6.60
","
B+ (3.61)
","
B+ (3.35)
"
"Anzaldo, Leesa B","
MATH 20B - Calculus/Science & Engineering (B)
",FA21,230,"
125
","
89.3%
","
86.7%
","
6.29
","
B+ (3.63)
","
B+ (3.35)
"
"Liu, Shuang","
MATH 20B - Calculus/Science & Engineering (C)
",FA21,188,"
107
","
85.1%
","
68.4%
","
6.19
","
B+ (3.56)
","
B+ (3.48)
"
"Um, Ko Woon","
MATH 20B - Calculus/Science & Engineering (A)
",S221,43,"
12
","
100.0%
","
100.0%
","
9.50
","
B+ (3.33)
","
B- (2.97)
"
"Um, Ko Woon","
MATH 20B - Calculus/Science & Engineering (B)
",S221,35,"
15
","
100.0%
","
100.0%
","
11.21
","
B (3.00)
","
C+ (2.61)
"
"Green, Nathan E","
MATH 20B - Calculus/Science & Engineering (A)
",S121,39,"
12
","
90.9%
","
90.9%
","
8.83
","
B- (2.83)
","
C+ (2.61)
"
"Green, Nathan E","
MATH 20B - Calculus/Science & Engineering (B)
",S121,37,"
8
","
87.5%
","
87.5%
","
10.00
","
B (3.17)
","
C (2.25)
"
"Um, Ko Woon","
MATH 20B - Calculus/Science & Engineering (A)
",SP21,217,"
85
","
88.0%
","
92.8%
","
7.16
","
B (3.20)
","
B- (2.99)
"
"Zhang, Yuming","
MATH 20B - Calculus/Science & Engineering (B)
",SP21,161,"
55
","
71.7%
","
56.9%
","
7.29
","
B (3.12)
","
B- (2.76)
"
"Licht, Martin W","
MATH 20B - Calculus/Science & Engineering (A)
",WI21,297,"
221
","
97.3%
","
88.5%
","
5.39
","
A- (3.81)
","
A- (3.75)
"
"Liu, Shuang","
MATH 20B - Calculus/Science & Engineering (B)
",WI21,221,"
162
","
91.3%
","
77.6%
","
5.87
","
B+ (3.52)
","
A- (3.71)
"
"Fulek, Radoslav","
MATH 20B - Calculus/Science & Engineering (C)
",WI21,253,"
191
","
87.4%
","
64.7%
","
5.85
","
B+ (3.63)
","
B+ (3.67)
"
"Anzaldo, Leesa B","
MATH 20B - Calculus/Science & Engineering (A)
",FA20,350,"
192
","
94.5%
","
95.6%
","
6.13
","
B+ (3.45)
","
B+ (3.45)
"
"Ciotti, Benjamin","
MATH 20B - Calculus/Science & Engineering (B)
",FA20,199,"
125
","
85.4%
","
73.8%
","
7.43
","
B (3.05)
","
C+ (2.59)
"
"Lebl, Jiri","
MATH 20B - Calculus/Science & Engineering (C)
",FA20,216,"
101
","
93.7%
","
76.3%
","
6.07
","
B+ (3.69)
","
B+ (3.42)
"
"Green, Nathan E","
MATH 20B - Calculus/Science & Engineering (D)
",FA20,297,"
259
","
85.9%
","
88.1%
","
6.59
","
B (3.05)
","
C+ (2.68)
"
"Um, Ko Woon","
MATH 20B - Calculus/Science & Engineering (A)
",S220,90,"
21
","
80.0%
","
89.5%
","
10.10
","
B (3.00)
","
C+ (2.60)
"
"Ceccherini-Silberstein, Tullio","
MATH 20B - Calculus/Science & Engineering (A)
",S120,84,"
22
","
71.4%
","
57.9%
","
6.79
","
B+ (3.38)
","
B (3.05)
"
"De Vleming, Kristin Elizab","
MATH 20B - Calculus/Science & Engineering (A)
",SP20,228,"
143
","
96.5%
","
99.3%
","
6.43
","
B+ (3.45)
","
B+ (3.39)
"
"Jiang, Zonglin","
MATH 20B - Calculus/Science & Engineering (B)
",SP20,140,"
48
","
65.1%
","
58.1%
","
6.55
","
B- (2.85)
","
C+ (2.60)
"
"Stevens, Laura Jeanne","
MATH 20B - Calculus/Science & Engineering (A)
",WI20,189,"
89
","
95.2%
","
98.8%
","
5.99
","
B+ (3.48)
","
C+ (2.45)
"
"Moosmueller, Caroline","
MATH 20B - Calculus/Science & Engineering (B)
",WI20,281,"
151
","
74.1%
","
74.1%
","
6.78
","
B- (2.91)
","
C+ (2.57)
"
"Anzaldo, Leesa B","
MATH 20B - Calculus/Science & Engineering (C)
",WI20,192,"
88
","
93.2%
","
91.8%
","
6.31
","
B+ (3.36)
","
B- (2.70)
"
"Stevens, Laura Jeanne","
MATH 20B - Calculus/Science & Engineering (C)
",WI20,192,"
88
","
93.2%
","
98.6%
","
6.31
","
B+ (3.36)
","
B- (2.70)
"
"Zhang, Yuming","
MATH 20B - Calculus/Science & Engineering (D)
",WI20,70,"
25
","
82.6%
","
59.1%
","
7.89
","
B- (2.90)
","
B- (2.88)
"
"Tang, Xindong","
MATH 20B - Calculus/Science & Engineering (A)
",FA19,132,"
78
","
73.3%
","
30.0%
","
7.89
","
B (3.15)
","
C+ (2.67)
"
"Tamam, Nattalie","
MATH 20B - Calculus/Science & Engineering (B)
",FA19,299,"
145
","
81.5%
","
61.4%
","
5.20
","
B+ (3.33)
","
C+ (2.69)
"
"Green, Nathan E","
MATH 20B - Calculus/Science & Engineering (C)
",FA19,308,"
204
","
90.0%
","
92.3%
","
6.20
","
B (3.20)
","
B- (2.96)
"
"Ben-Ezra, David El-Chai","
MATH 20B - Calculus/Science & Engineering (E)
",FA19,155,"
74
","
84.1%
","
88.2%
","
6.56
","
B- (2.98)
","
B- (2.88)
"
"Anzaldo, Leesa B","
MATH 20B - Calculus/Science & Engineering (A)
",S219,52,"
9
","
100.0%
","
100.0%
","
8.75
","
B+ (3.63)
","
C+ (2.33)
"
"Ceccherini-Silberstein, Tullio","
MATH 20B - Calculus/Science & Engineering (A)
",S119,41,"
8
","
100.0%
","
100.0%
","
7.50
","
B (3.13)
","
C+ (2.37)
"
"Postema, Jacob","
MATH 20B - Calculus/Science & Engineering (A)
",SP19,201,"
90
","
43.0%
","
33.3%
","
7.58
","
C (2.29)
","
C+ (2.67)
"
"Tucker, Henry Jackson","
MATH 20B - Calculus/Science & Engineering (B)
",SP19,194,"
66
","
87.9%
","
76.8%
","
5.92
","
B (3.02)
","
C+ (2.57)
"
"Eggers, John Dietrich","
MATH 20B - Calculus/Science & Engineering (A)
",WI19,198,"
100
","
75.5%
","
80.2%
","
6.79
","
C+ (2.61)
","
C (2.19)
"
"Kitsela, Roman","
MATH 20B - Calculus/Science & Engineering (B)
",WI19,197,"
98
","
77.6%
","
72.9%
","
6.50
","
B (3.09)
","
C+ (2.47)
"
"Buskin, Nikolay","
MATH 20B - Calculus/Science & Engineering (C)
",WI19,221,"
111
","
57.0%
","
50.0%
","
7.41
","
C+ (2.67)
","
C+ (2.37)
"
"Anzaldo, Leesa B","
MATH 20B - Calculus/Science & Engineering (D)
",WI19,240,"
125
","
83.5%
","
97.4%
","
6.39
","
B- (2.94)
","
C+ (2.44)
"
"Bowers, Adam R.","
MATH 20B - Calculus/Science & Engineering (A)
",FA18,284,"
143
","
91.2%
","
100.0%
","
6.30
","
B+ (3.35)
","
C+ (2.30)
"
"Quarfoot, David James","
MATH 20B - Calculus/Science & Engineering (B)
",FA18,286,"
160
","
77.6%
","
86.2%
","
8.38
","
B- (2.90)
","
C (2.29)
"
"Stapleton, David John","
MATH 20B - Calculus/Science & Engineering (C)
",FA18,286,"
164
","
87.2%
","
86.5%
","
5.98
","
B (3.21)
","
B- (2.85)
"
"Ciotti, Benjamin","
MATH 20B - Calculus/Science & Engineering (D)
",FA18,247,"
139
","
80.3%
","
75.0%
","
7.77
","
B- (2.94)
","
C+ (2.59)
"
"Um, Ko Woon","
MATH 20B - Calculus/Science & Engineering (A)
",S218,44,"
10
","
80.0%
","
90.0%
","
7.50
","
B- (2.90)
","
C+ (2.37)
"
"Mohanty, Sara","
MATH 20B - Calculus/Science & Engineering (A)
",S118,65,"
22
","
76.2%
","
81.0%
","
7.93
","
B (3.00)
","
D+ (1.60)
"
"Charlesworth, Ian L","
MATH 20B - Calculus/Science & Engineering (A)
",SP18,138,"
53
","
64.0%
","
24.0%
","
7.56
","
C+ (2.59)
","
C (2.25)
"
"Ciotti, Benjamin","
MATH 20B - Calculus/Science & Engineering (B)
",SP18,156,"
61
","
75.0%
","
72.7%
","
7.70
","
B- (2.78)
","
C+ (2.45)
"
"Curry, Sean N","
MATH 20B - Calculus/Science & Engineering (A)
",WI18,200,"
123
","
85.8%
","
93.2%
","
6.70
","
B (3.00)
","
C (2.28)
"
"Eggers, John Dietrich","
MATH 20B - Calculus/Science & Engineering (B)
",WI18,200,"
112
","
82.7%
","
89.3%
","
7.28
","
B- (2.74)
","
C+ (2.38)
"
"Petkov, Vladislav V","
MATH 20B - Calculus/Science & Engineering (C)
",WI18,192,"
106
","
61.2%
","
42.0%
","
7.78
","
C+ (2.70)
","
C+ (2.51)
"
"Strahl, Perry Robert","
MATH 20B - Calculus/Science & Engineering (D)
",WI18,165,"
139
","
71.5%
","
63.2%
","
7.03
","
B- (2.82)
","
C+ (2.57)
"
"Strahl, Perry Robert","
MATH 20B - Calculus/Science & Engineering (A)
",FA17,106,"
93
","
75.0%
","
53.3%
","
6.93
","
B- (2.72)
","
C+ (2.43)
"
"Carter, Anne Toulson","
MATH 20B - Calculus/Science & Engineering (B)
",FA17,283,"
174
","
89.8%
","
93.9%
","
6.29
","
B+ (3.34)
","
B (3.10)
"
"Bowers, Adam R.","
MATH 20B - Calculus/Science & Engineering (C)
",FA17,277,"
129
","
85.2%
","
91.7%
","
6.97
","
B- (2.92)
","
C+ (2.32)
"
"Quarfoot, David James","
MATH 20B - Calculus/Science & Engineering (E)
",FA17,290,"
134
","
88.6%
","
88.6%
","
7.86
","
B (3.23)
","
C+ (2.66)
"
"Briones, Jor-el Thomas Caparas","
MATH 20B - Calculus/Science & Engineering (A)
",S217,33,"
29
","
89.7%
","
89.7%
","
8.98
","
B- (2.93)
","
N/A
"
"Um, Ko Woon","
MATH 20B - Calculus/Science & Engineering (A)
",S117,38,"
12
","
83.3%
","
83.3%
","
11.67
","
B- (2.92)
","
C+ (2.31)
"
"Stevens, Laura Jeanne","
MATH 20B - Calculus/Science & Engineering (A)
",SP17,193,"
79
","
80.3%
","
100.0%
","
6.45
","
C+ (2.68)
","
C (2.25)
"
"Um, Ko Woon","
MATH 20B - Calculus/Science & Engineering (B)
",SP17,172,"
56
","
72.7%
","
67.3%
","
7.09
","
B- (2.83)
","
C+ (2.43)
"
"Bowers, Adam R.","
MATH 20B - Calculus/Science & Engineering (A)
",WI17,369,"
160
","
70.8%
","
94.2%
","
7.75
","
B- (2.76)
","
C (2.21)
"
"Huynh, Thang L","
MATH 20B - Calculus/Science & Engineering (B)
",WI17,145,"
63
","
74.1%
","
74.1%
","
6.75
","
B- (2.88)
","
B- (2.79)
"
"Dewey, Edward Harold","
MATH 20B - Calculus/Science & Engineering (C)
",WI17,202,"
85
","
80.0%
","
70.0%
","
7.21
","
B (3.05)
","
C+ (2.69)
"
"Barrese, Kenneth William","
MATH 20B - Calculus/Science & Engineering (D)
",WI17,131,"
51
","
78.3%
","
63.0%
","
7.61
","
B- (2.96)
","
C+ (2.32)
"
"Eggers, John Dietrich","
MATH 20B - Calculus/Science & Engineering (A)
",FA16,317,"
165
","
71.6%
","
53.5%
","
7.49
","
B- (2.71)
","
C+ (2.56)
"
"Um, Ko Woon","
MATH 20B - Calculus/Science & Engineering (B)
",FA16,188,"
110
","
88.2%
","
68.6%
","
7.21
","
B+ (3.37)
","
C+ (2.40)
"
"Deotte, Christopher George","
MATH 20B - Calculus/Science & Engineering (C)
",FA16,211,"
111
","
97.1%
","
96.2%
","
5.41
","
B+ (3.48)
","
B (3.19)
"
"Buskin, Nikolay","
MATH 20B - Calculus/Science & Engineering (D)
",FA16,272,"
155
","
75.5%
","
14.6%
","
7.17
","
B (3.13)
","
B- (2.75)
"
"Jolany, Hassan","
MATH 20B - Calculus/Science & Engineering (E)
",FA16,103,"
58
","
92.3%
","
69.2%
","
5.46
","
B+ (3.62)
","
C+ (2.66)
"
"Chow, Bennett","
MATH 20B - Calculus/Science & Engineering (A)
",S216,62,"
25
","
87.5%
","
45.8%
","
10.59
","
B+ (3.38)
","
B- (2.85)
"
"Rideout, David Porter","
MATH 20B - Calculus/Science & Engineering (A)
",S116,53,"
37
","
81.1%
","
78.4%
","
9.42
","
B (3.03)
","
B- (2.84)
"
"Li, Bo","
MATH 20B - Calculus/Science & Engineering (A)
",SP16,209,"
84
","
75.3%
","
58.4%
","
7.11
","
B- (2.72)
","
C+ (2.63)
"
"Tiee, Christopher Landrick","
MATH 20B - Calculus/Science & Engineering (B)
",SP16,90,"
73
","
86.3%
","
84.9%
","
5.35
","
B+ (3.32)
","
C+ (2.63)
"
"Bowers, Adam R.","
MATH 20B - Calculus/Science & Engineering (A)
",WI16,318,"
174
","
86.7%
","
98.8%
","
7.37
","
B- (2.85)
","
C+ (2.33)
"
"Novak, Jonathan I","
MATH 20B - Calculus/Science & Engineering (B)
",WI16,259,"
123
","
83.3%
","
70.2%
","
6.36
","
B (3.24)
","
B (3.13)
"
"Kim, Yeon Kyung","
MATH 20B - Calculus/Science & Engineering (C)
",WI16,196,"
95
","
85.6%
","
80.0%
","
5.91
","
B (3.15)
","
C+ (2.36)
"
"Martirosyan, Lilit","
MATH 20B - Calculus/Science & Engineering (D)
",WI16,167,"
80
","
82.7%
","
33.3%
","
6.47
","
B (3.08)
","
C+ (2.63)
"
"Barrese, Kenneth William","
MATH 20B - Calculus/Science & Engineering (A)
",FA15,272,"
138
","
81.1%
","
34.8%
","
7.46
","
C+ (2.62)
","
C+ (2.66)
"
"Behzadan, Ali","
MATH 20B - Calculus/Science & Engineering (B)
",FA15,238,"
133
","
98.4%
","
100.0%
","
6.50
","
B+ (3.65)
","
B (3.18)
"
"Saab, Rayan","
MATH 20B - Calculus/Science & Engineering (C)
",FA15,224,"
164
","
86.4%
","
93.2%
","
6.69
","
B- (2.87)
","
C+ (2.47)
"
"Kim, Yeon Kyung","
MATH 20B - Calculus/Science & Engineering (D)
",FA15,214,"
112
","
84.5%
","
63.6%
","
5.95
","
B (3.10)
","
B- (2.83)
"
"Medrano, Archie T.","
MATH 20B - Calculus/Science & Engineering (E)
",FA15,215,"
112
","
93.7%
","
74.8%
","
5.15
","
A- (3.71)
","
B (3.07)
"
"Rotar, Vladimir","
MATH 20B - Calculus/Science & Engineering (A)
",S215,58,"
18
","
100.0%
","
83.3%
","
8.50
","
B+ (3.42)
","
C+ (2.66)
"
"Rotar, Vladimir","
MATH 20B - Calculus/Science & Engineering (A)
",S115,62,"
16
","
92.9%
","
85.7%
","
8.65
","
B- (2.79)
","
C+ (2.65)
"
"Pelletier, Bruno","
MATH 20B - Calculus/Science & Engineering (A)
",SP15,159,"
58
","
83.6%
","
74.5%
","
6.69
","
B- (2.87)
","
C (2.17)
"
"Wang, Jie","
MATH 20B - Calculus/Science & Engineering (B)
",SP15,201,"
77
","
79.5%
","
63.0%
","
6.70
","
B (3.06)
","
C- (1.91)
"
"Bryan, Paul Anthony","
MATH 20B - Calculus/Science & Engineering (A)
",WI15,168,"
69
","
88.9%
","
66.7%
","
6.34
","
B (3.26)
","
C+ (2.66)
"
"Allen, Grant","
MATH 20B - Calculus/Science & Engineering (B)
",WI15,213,"
96
","
92.2%
","
60.0%
","
6.72
","
B+ (3.30)
","
C+ (2.52)
"
"Bowers, Adam R.","
MATH 20B - Calculus/Science & Engineering (C)
",WI15,384,"
183
","
88.5%
","
97.7%
","
6.73
","
B- (2.94)
","
C (2.23)
"
"Banaszak, Grzegorz Marian","
MATH 20B - Calculus/Science & Engineering (D)
",WI15,121,"
53
","
88.5%
","
44.2%
","
6.38
","
B (3.24)
","
C+ (2.38)
"
"Wen, Jiayi","
MATH 20B - Calculus/Science & Engineering (A)
",FA14,176,"
87
","
97.3%
","
72.0%
","
6.18
","
B+ (3.53)
","
B (3.05)
"
