Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Ramachandran, Nandagopal","
MATH 20D - Intro/Differential Equations (A)
",SP23,135,"
54
","
94.1%
","
92.2%
","
5.67
","
B+ (3.65)
","
B+ (3.38)
"
"Lee, Kisun","
MATH 20D - Intro/Differential Equations (B)
",SP23,191,"
154
","
97.4%
","
100.0%
","
6.11
","
B+ (3.60)
","
B+ (3.34)
"
"McGlade, Finley Desmond MacIver","
MATH 20D - Intro/Differential Equations (C)
",SP23,174,"
77
","
61.1%
","
40.3%
","
9.10
","
B (3.28)
","
B (3.29)
"
"Gambheera Arachchige, Rusiru","
MATH 20D - Intro/Differential Equations (A)
",WI23,57,"
24
","
87.5%
","
79.2%
","
5.92
","
B+ (3.58)
","
B (3.03)
"
"Hammock, Frances H","
MATH 20D - Intro/Differential Equations (B)
",WI23,183,"
58
","
88.7%
","
92.0%
","
6.87
","
B+ (3.39)
","
B- (2.79)
"
"Lee, Kisun","
MATH 20D - Intro/Differential Equations (C)
",WI23,207,"
168
","
93.4%
","
97.0%
","
5.91
","
B+ (3.38)
","
B (3.21)
"
"Bach, Quang Tran","
MATH 20D - Intro/Differential Equations (D)
",WI23,183,"
93
","
91.0%
","
89.8%
","
6.93
","
B+ (3.53)
","
B (3.01)
"
"Lee, Kisun","
MATH 20D - Intro/Differential Equations (A)
",FA22,214,"
88
","
95.3%
","
96.5%
","
6.90
","
B+ (3.42)
","
B (3.02)
"
"Lee, Kisun","
MATH 20D - Intro/Differential Equations (B)
",FA22,285,"
120
","
94.8%
","
95.7%
","
6.77
","
B (3.29)
","
B (3.19)
"
"Ramachandran, Nandagopal","
MATH 20D - Intro/Differential Equations (C)
",FA22,143,"
45
","
97.7%
","
90.9%
","
6.22
","
B+ (3.67)
","
B+ (3.34)
"
"Bach, Quang Tran","
MATH 20D - Intro/Differential Equations (A)
",S222,33,"
6
","
83.3%
","
83.3%
","
7.50
","
B (3.00)
","
C+ (2.38)
"
"Bach, Quang Tran","
MATH 20D - Intro/Differential Equations (B)
",S222,40,"
7
","
100.0%
","
100.0%
","
9.36
","
B (3.29)
","
B- (2.84)
"
"Tran, Brian Kha","
MATH 20D - Intro/Differential Equations (A)
",S122,74,"
49
","
87.8%
","
83.7%
","
8.66
","
B+ (3.46)
","
B+ (3.35)
"
"Hammock, Frances H","
MATH 20D - Intro/Differential Equations (A)
",SP22,216,"
86
","
88.2%
","
81.2%
","
6.98
","
B+ (3.43)
","
B- (2.84)
"
"Um, Ko Woon","
MATH 20D - Intro/Differential Equations (B)
",SP22,161,"
68
","
91.2%
","
80.3%
","
7.41
","
B+ (3.44)
","
B- (2.81)
"
"Tu, Yucheng","
MATH 20D - Intro/Differential Equations (C)
",SP22,250,"
100
","
91.8%
","
96.9%
","
5.85
","
B+ (3.64)
","
B+ (3.31)
"
"Tu, Yucheng","
MATH 20D - Intro/Differential Equations (A)
",WI22,223,"
102
","
95.8%
","
100.0%
","
5.62
","
A- (3.71)
","
B+ (3.55)
"
"Um, Ko Woon","
MATH 20D - Intro/Differential Equations (B)
",WI22,185,"
91
","
86.4%
","
87.5%
","
6.98
","
B+ (3.42)
","
B- (2.85)
"
"Lee, Kisun","
MATH 20D - Intro/Differential Equations (C)
",WI22,199,"
100
","
97.9%
","
97.9%
","
6.85
","
B+ (3.50)
","
B+ (3.38)
"
